2016-04-12 09:38:39.189868 I | etcdmain: etcd Version: 2.3.0+git
2016-04-12 09:38:39.189944 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-12 09:38:39.189951 I | etcdmain: Go Version: go1.6
2016-04-12 09:38:39.189958 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-12 09:38:39.189974 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-12 09:38:39.190052 I | etcdmain: listening for peers on http://10.240.0.14:2380
2016-04-12 09:38:39.190080 I | etcdmain: listening for client requests on 10.240.0.14:2379
2016-04-12 09:38:39.194683 I | etcdserver: name = etcd-2
2016-04-12 09:38:39.194712 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-12 09:38:39.194730 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-12 09:38:39.194736 I | etcdserver: heartbeat = 100ms
2016-04-12 09:38:39.194742 I | etcdserver: election = 1000ms
2016-04-12 09:38:39.194748 I | etcdserver: snapshot count = 10000
2016-04-12 09:38:39.194758 I | etcdserver: advertise client URLs = http://10.240.0.14:2379
2016-04-12 09:38:39.194765 I | etcdserver: initial advertise peer URLs = http://10.240.0.14:2380
2016-04-12 09:38:39.194796 I | etcdserver: initial cluster = etcd-1=http://10.240.0.13:2380,etcd-2=http://10.240.0.14:2380,etcd-3=http://10.240.0.15:2380
2016-04-12 09:38:39.197267 I | etcdserver: starting member f9e96ef8c0d0e08c in cluster 3c1022ef339089ca
2016-04-12 09:38:39.197314 I | raft: f9e96ef8c0d0e08c became follower at term 0
2016-04-12 09:38:39.197327 I | raft: newRaft f9e96ef8c0d0e08c [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-12 09:38:39.197334 I | raft: f9e96ef8c0d0e08c became follower at term 1
2016-04-12 09:38:39.212603 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-12 09:38:39.213101 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-12 09:38:39.213123 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-12 09:38:39.213576 N | etcdmain: serving insecure client requests on 10.240.0.14:2379, this is strongly discouraged!
2016-04-12 09:38:39.214444 I | rafthttp: the connection with cfc6e2e1de0e7922 became active
2016-04-12 09:38:39.214504 N | etcdserver: added member 1eb6406549e3d4e [http://10.240.0.15:2380] to cluster 3c1022ef339089ca
2016-04-12 09:38:39.214661 N | etcdserver: added member cfc6e2e1de0e7922 [http://10.240.0.13:2380] to cluster 3c1022ef339089ca
2016-04-12 09:38:39.214798 N | etcdserver: added local member f9e96ef8c0d0e08c [http://10.240.0.14:2380] to cluster 3c1022ef339089ca
2016-04-12 09:38:39.698953 I | raft: f9e96ef8c0d0e08c [term: 1] received a MsgVote message with higher term from cfc6e2e1de0e7922 [term: 3]
2016-04-12 09:38:39.699047 I | raft: f9e96ef8c0d0e08c became follower at term 3
2016-04-12 09:38:39.699100 I | raft: f9e96ef8c0d0e08c [logterm: 1, index: 3, vote: 0] voted for cfc6e2e1de0e7922 [logterm: 1, index: 3] at term 3
2016-04-12 09:38:39.701139 I | raft: raft.node: f9e96ef8c0d0e08c elected leader cfc6e2e1de0e7922 at term 3
2016-04-12 09:38:39.704805 I | etcdserver: published {Name:etcd-2 ClientURLs:[http://10.240.0.14:2379]} to cluster 3c1022ef339089ca
2016-04-12 09:38:39.705918 N | membership: set the initial cluster version to 2.2
2016-04-12 09:38:39.713660 I | v2http: enabled capabilities for version 2.2.0
2016-04-12 09:38:40.213142 I | rafthttp: the connection with 1eb6406549e3d4e became active
2016-04-12 09:38:43.707655 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-12 09:38:43.715251 I | v2http: enabled capabilities for version 2.3.0
2016-04-12 09:39:04.847435 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2016-04-12 09:39:04.851195 I | etcdserver: saved snapshot at index 10001
2016-04-12 09:39:04.851421 I | etcdserver: compacted raft log at 5001
2016-04-12 09:39:27.058851 I | etcdserver: start to snapshot (applied: 20002, lastsnap: 10001)
2016-04-12 09:39:27.063628 I | etcdserver: saved snapshot at index 20002
2016-04-12 09:39:27.063874 I | etcdserver: compacted raft log at 15002
