second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,18.283713,6625,6625,2.92,21.40,13.365671,11231,11231,8.35,58.08
1,17.479423,16985,23610,32.70,77.01,13.304581,24356,35587,59.27,197.21
2,18.172266,16298,39908,57.04,95.88,13.092149,25320,60907,92.71,379.97
3,18.588884,16021,55929,77.34,100.13,10.613573,28235,89142,115.19,545.04
4,18.939885,15700,71629,94.42,112.26,11.427904,26202,115344,136.78,745.69
5,19.047760,15712,87341,109.99,118.90,9.375081,24500,139844,151.77,920.88
6,19.028430,15615,102956,123.43,127.84,16.160738,22820,162664,161.34,1029.79
7,19.708901,15233,118189,134.80,135.55,11.493145,25974,188638,175.66,1193.66
8,20.710538,14422,132611,144.69,143.01,10.406318,28866,217504,186.94,1422.49
9,20.602425,14205,146816,152.25,144.69,18.398963,16239,233743,194.25,1422.49
10,20.614193,14771,161587,159.81,153.92,15.658591,15993,249736,201.30,1486.19
11,21.812386,13728,175315,165.98,161.57,12.042961,28923,278659,211.71,1717.36
12,20.415225,14512,189827,172.24,171.37,9.446369,30974,309633,217.25,1737.23
13,20.771926,13180,203007,176.86,175.56,11.269696,27131,336764,223.75,1820.62
14,22.501021,11945,214952,178.21,180.97,10.360832,28524,365288,229.60,1820.91
15,25.058401,14105,229057,182.24,198.39,11.389146,26673,391961,236.62,1871.94
16,20.784542,14375,243432,186.65,203.39,12.383063,6622,398583,240.68,1899.83
17,21.031773,14302,257734,190.89,205.40,19.164221,25889,424472,242.05,1940.17
18,19.825062,15029,272763,194.98,212.18,12.389565,25827,450299,246.71,2009.91
19,19.608518,14981,287744,198.85,220.69,10.676845,27649,477948,250.38,2010.43
20,20.524024,14748,302492,201.86,225.56,10.073118,28836,506784,253.59,2012.92
21,20.718626,14511,317003,205.28,234.58,10.915118,24987,531771,256.17,2048.22
22,20.231296,13861,330864,208.26,241.47,18.810976,17646,549417,261.51,2137.69
23,25.362573,12106,342970,208.80,247.18,16.456290,18181,567598,262.51,2149.21
24,26.043329,11795,354765,209.14,250.44,10.818596,24477,592075,262.75,2149.21
25,17.030950,11640,366405,209.51,261.41,15.874501,16850,608925,266.11,2237.88
26,27.480047,12247,378652,209.37,271.91,19.486999,18232,627157,264.15,2238.34
27,16.426661,11806,390458,209.75,280.28,396.952718,487,627644,262.59,2238.43
28,33.472955,11962,402420,209.84,284.96,559.279725,301,627945,255.57,2238.43
29,18.515388,10505,412925,209.39,290.43,999.614333,125,628070,248.67,2238.43
30,45.678109,10079,423004,209.28,296.14,0.000000,0,628070,242.87,2238.43
31,19.845485,10307,433311,208.99,305.25,0.000000,0,628070,236.47,2238.69
32,18.127797,10886,444197,208.59,317.09,0.000000,0,628070,230.58,2238.99
33,18.053821,10967,455164,208.23,320.08,0.000000,0,628070,225.11,2239.66
34,48.561046,10532,465696,208.13,328.32,0.000000,0,628070,219.60,2239.70
35,18.438439,10686,476382,207.81,332.46,0.000000,0,628070,215.08,2241.36
36,18.006970,10523,486905,207.47,336.15,0.000000,0,628070,210.86,2243.05
37,50.073907,10609,497514,207.61,346.50,0.000000,0,628070,206.32,2242.90
38,17.874111,11069,508583,207.83,359.38,0.000000,0,628070,201.86,2242.98
39,18.286636,10752,519335,207.41,376.47,0.000000,0,628070,198.41,2243.00
40,19.634601,10100,529435,207.17,381.31,0.000000,0,628070,195.13,2243.38
41,57.486801,10651,540086,206.91,387.59,0.000000,0,628070,191.16,2243.76
42,19.198188,10313,550399,206.81,391.36,0.000000,0,628070,187.55,2243.76
43,19.096151,10350,560749,206.35,391.96,0.000000,0,628070,183.93,2243.52
44,17.595330,10555,571304,206.54,399.53,0.000000,0,628070,180.85,2247.25
45,43.589560,10181,581485,205.91,410.04,0.000000,0,628070,177.23,2247.25
46,42.784918,10034,591519,206.32,418.15,0.000000,0,628070,173.74,2247.64
47,18.814047,10878,602397,205.87,423.25,0.000000,0,628070,170.59,2248.03
48,19.365520,10247,612644,205.74,429.27,0.000000,0,628070,167.47,2247.88
49,16.130133,11845,624489,205.94,440.45,0.000000,0,628070,164.56,2247.67
50,56.763753,11585,636074,206.87,447.68,0.000000,0,628070,161.62,2247.60
51,16.783478,11743,647817,207.85,465.87,0.000000,0,628070,159.38,2247.60
52,16.731082,11357,659174,207.79,481.64,0.000000,0,628070,157.02,2247.60
53,15.187847,13502,672676,207.57,497.07,0.000000,0,628070,154.81,2247.60
54,19.207109,10102,682778,207.23,502.92,0.000000,0,628070,152.65,2247.60
55,26.568532,6964,689742,205.72,512.33,0.000000,0,628070,150.18,2247.38
56,30.096098,7081,696823,204.41,523.13,3499.966935,33,628103,147.88,2248.12
57,28.092466,7063,703886,202.62,528.09,0.000000,0,628103,145.61,2248.87
58,27.050659,7297,711183,201.05,533.36,0.000000,0,628103,143.41,2247.72
59,27.400785,7183,718366,199.78,548.28,0.000000,0,628103,141.33,2247.72
60,27.877595,6941,725307,198.28,553.40,0.000000,0,628103,139.24,2247.72
61,25.804079,7351,732658,197.36,559.61,0.000000,0,628103,137.22,2247.72
62,28.671014,6974,739632,196.27,569.96,0.000000,0,628103,135.30,2247.72
63,27.514642,7449,747081,194.95,578.94,0.000000,0,628103,133.41,2247.72
64,28.373298,7033,754114,193.94,586.88,0.000000,0,628103,131.61,2247.72
65,28.424469,6962,761076,192.50,588.25,0.000000,0,628103,129.82,2247.72
66,25.877077,7063,768139,191.41,599.94,0.000000,0,628103,128.08,2247.72
67,27.470778,7157,775296,190.04,606.63,0.000000,0,628103,126.37,2247.54
68,27.236135,7801,783097,188.83,617.33,0.000000,0,628103,124.71,2247.37
69,26.500734,6969,790066,187.49,620.07,0.000000,0,628103,123.13,2247.37
70,28.274916,7413,797479,186.59,632.02,0.000000,0,628103,121.57,2248.51
71,28.382685,6975,804454,185.38,633.43,0.000000,0,628103,120.16,2248.52
72,26.025650,7355,811809,184.48,652.01,0.000000,0,628103,118.84,2248.52
73,27.381493,6890,818699,183.37,652.42,0.000000,0,628103,117.38,2247.34
74,27.694607,7066,825765,182.50,664.78,0.000000,0,628103,116.53,2241.42
75,29.640754,7212,832977,181.01,665.02,0.000000,0,628103,115.68,2235.49
76,25.714703,7297,840274,179.98,673.74,324.745260,1415,629518,115.18,2237.76
77,29.132283,7109,847383,179.23,687.30,13.301483,15523,645041,115.22,2243.18
78,27.425317,7155,854538,178.20,689.83,13.946133,2201,647242,115.62,2241.38
79,29.452153,6568,861106,177.39,708.65,21.811621,16975,664217,117.67,2304.40
80,28.265692,7022,868128,176.29,710.11,9.906378,20179,684396,119.14,2344.46
81,27.691059,7261,875389,175.42,711.05,27.827171,3411,687807,120.49,2352.02
82,28.301978,7005,882394,174.81,726.47,0.000000,0,687807,120.23,2353.75
83,28.172381,7015,889409,173.88,727.60,0.000000,0,687807,119.93,2352.85
84,27.148577,7275,896684,172.95,731.14,0.000000,0,687807,119.54,2389.60
85,29.059194,6762,903446,172.39,906.65,0.000000,0,687807,118.85,2389.60
86,27.365512,7253,910699,171.86,986.76,0.000000,0,687807,119.16,2569.31
87,29.307776,6687,917386,171.42,1068.54,0.000000,0,687807,119.36,2536.98
88,27.548922,7052,924438,171.71,1136.67,0.000000,0,687807,118.59,2537.01
89,573.471114,7315,931753,170.87,1203.86,0.000000,0,687807,118.23,2537.04
90,26.820048,6978,938731,170.68,1251.04,239.947773,2503,690310,118.71,2525.16
91,29.161978,7132,945863,170.21,1272.18,12.614431,15829,706139,118.89,2525.03
92,28.979784,6812,952675,169.28,1273.60,12.528150,15996,722135,119.31,2558.01
93,25.402527,7220,959895,168.44,1274.10,12.740745,15607,737742,119.54,2558.01
94,29.119132,7079,966974,167.75,1291.40,13.192650,15198,752940,120.25,2559.08
95,29.150286,6904,973878,167.37,1296.56,12.589225,15842,768782,122.81,2561.67
96,27.827342,7123,981001,166.75,1300.21,18.402324,14686,783468,124.17,2567.20
97,27.894844,7079,988080,166.04,1301.03,15.196010,22957,806425,126.68,2586.15
98,27.801846,5030,993110,165.33,1303.86,15.782840,16077,822502,128.57,2594.06
99,29.675006,6788,999898,164.73,1331.13,30.104465,7546,830048,131.30,2701.73
100,0.000000,0,999898,163.90,1371.00,25.145403,16851,846899,132.84,2702.43
101,0.000000,0,999898,162.46,1372.05,13.693135,3144,850043,133.77,2725.83
102,0.000000,0,999898,161.06,1374.58,0.000000,0,850043,133.14,2727.26
103,0.000000,0,999898,159.70,1377.10,0.000000,0,850043,132.08,2723.03
104,0.000000,0,999898,158.27,1377.10,0.000000,0,850043,131.21,2720.91
105,0.000000,0,999898,156.95,1395.50,0.000000,0,850043,130.35,2718.79
106,0.000000,0,999898,155.85,1413.02,0.000000,0,850043,129.20,2712.28
107,0.000000,0,999898,154.58,1418.62,0.000000,0,850043,128.05,2712.63
108,0.000000,0,999898,153.83,1446.28,0.000000,0,850043,126.93,2712.97
109,0.000000,0,999898,152.81,1447.48,0.000000,0,850043,125.60,2712.97
110,0.000000,0,999898,151.63,1481.54,0.000000,0,850043,124.53,2712.76
111,0.000000,0,999898,150.65,1493.08,3540.868326,170,850213,123.47,2712.56
112,0.000000,0,999898,149.49,1494.44,0.000000,0,850213,122.39,2714.75
113,0.000000,0,999898,148.54,1507.75,3490.929581,4,850217,121.65,2715.84
114,0.000000,0,999898,147.44,1509.67,0.000000,0,850217,120.90,2716.93
115,0.000000,0,999898,146.32,1509.81,0.000000,0,850217,119.94,2716.93
116,0.000000,0,999898,145.43,1509.88,0.000000,0,850217,118.95,2715.55
117,0.000000,0,999898,144.34,1509.91,0.000000,0,850217,117.96,2714.17
118,0.000000,0,999898,143.46,1510.12,0.000000,0,850217,117.11,2714.17
119,0.000000,0,999898,142.45,1510.37,0.000000,0,850217,116.28,2714.17
120,0.000000,0,999898,141.40,1510.49,0.000000,0,850217,115.40,2714.17
121,0.000000,0,999898,140.63,1510.53,0.000000,0,850217,114.46,2712.61
122,0.000000,0,999898,139.61,1510.74,0.000000,0,850217,113.50,2712.61
123,0.000000,0,999898,138.62,1510.84,0.000000,0,850217,112.67,2712.61
124,34973.029033,102,,,,0.000000,0,850217,111.84,2712.61
125,,,,,,0.000000,0,850217,111.16,2712.61
126,,,,,,0.000000,0,850217,110.48,2712.61
127,,,,,,0.000000,0,850217,109.63,2712.61
128,,,,,,0.000000,0,850217,108.75,2712.61
129,,,,,,0.000000,0,850217,108.05,2712.61
130,,,,,,0.000000,0,850217,107.32,2712.61
131,,,,,,0.000000,0,850217,106.70,2712.61
132,,,,,,0.000000,0,850217,106.07,2712.61
