unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460457514,12.294019,16622,16622,48.45,150.32,76.46,172.91,60.83,147.77,61.91,157.00
1460457515,9.145868,28824,45446,70.29,233.10,130.12,254.55,88.29,233.53,96.23,240.39
1460457516,30.281766,27228,72674,81.05,272.58,158.62,389.58,100.55,273.07,113.41,311.74
1460457517,36.280905,34156,106830,93.85,392.13,184.68,581.33,115.15,395.00,131.23,456.15
1460457518,28.341643,40024,146854,105.44,468.41,207.14,680.48,128.62,461.31,147.07,536.73
1460457519,22.762620,43686,190540,115.19,591.53,234.97,753.84,148.42,723.08,166.19,689.48
1460457520,28.099338,35557,226097,124.93,714.65,256.98,1060.76,156.26,762.13,179.39,845.85
1460457521,21.951151,45246,271343,139.27,795.10,279.07,1147.21,164.11,801.18,194.15,914.50
1460457522,22.752562,44126,315469,151.65,796.33,295.95,1151.64,176.50,801.18,208.03,916.38
1460457523,21.752154,45792,361261,164.57,1117.72,312.02,1476.78,190.43,1123.89,222.34,1239.46
1460457524,45.479819,22037,383298,171.21,1117.04,328.35,1638.35,199.75,1129.08,233.10,1294.82
1460457525,26.919778,16123,399421,168.36,1117.04,321.62,1638.35,200.76,1130.12,230.25,1295.17
1460457526,31.170024,50161,449582,183.85,1247.78,330.56,1638.35,219.93,1254.95,244.78,1380.36
1460457527,21.353192,46736,496318,187.80,1246.57,340.06,1693.38,228.49,1259.74,252.12,1399.90
1460457528,22.546675,44138,540456,190.40,1265.00,345.85,1693.38,229.26,1272.02,255.17,1410.13
1460457529,26.577798,9871,550327,195.80,1671.33,353.30,1742.86,233.65,1688.16,260.92,1700.78
1460457530,47.181025,36964,587291,190.00,1671.33,360.75,1792.34,225.56,1688.16,258.77,1717.28
1460457531,19.466473,51129,638420,191.19,1671.34,367.86,1795.32,224.49,1688.16,261.18,1718.27
1460457532,20.526085,34278,672698,194.18,1671.34,374.01,1793.60,225.79,1688.16,264.66,1717.70
1460457533,79.783430,16258,688956,203.14,1776.42,374.32,1803.56,232.70,1787.45,270.05,1789.14
1460457534,20.759217,47875,736831,215.15,1796.39,367.29,1803.56,245.76,1807.57,276.07,1802.51
1460457535,19.773080,49596,786427,216.59,1796.39,373.59,1817.30,245.77,1807.57,278.65,1807.09
1460457536,26.821629,36021,822448,217.46,1796.39,378.08,1817.30,245.71,1807.57,280.42,1807.09
1460457537,22.409755,46813,869261,218.64,1862.19,380.54,1902.14,245.98,1862.40,281.72,1875.58
1460457538,22.604253,44093,913354,219.39,1862.19,385.02,1906.32,245.68,1862.40,283.36,1876.97
1460457539,22.390906,44686,958040,219.62,1862.29,388.98,1914.61,244.89,1862.40,284.50,1879.77
1460457540,18.819864,39538,997578,221.62,1930.24,391.55,1914.61,246.29,1922.35,286.49,1922.40
1460457541,0.000000,0,997578,220.57,1930.24,397.71,2036.01,244.43,1922.35,287.57,1962.87
1460457542,1191.475675,1468,,,,,,,,,
