unix_ts,avg_latency_ms,throughput
1460457514,12.294019,16622
1460457515,9.145868,28824
1460457516,30.281766,27228
1460457517,36.280905,34156
1460457518,28.341643,40024
1460457519,22.762620,43686
1460457520,28.099338,35557
1460457521,21.951151,45246
1460457522,22.752562,44126
1460457523,21.752154,45792
1460457524,45.479819,22037
1460457525,26.919778,16123
1460457526,31.170024,50161
1460457527,21.353192,46736
1460457528,22.546675,44138
1460457529,26.577798,9871
1460457530,47.181025,36964
1460457531,19.466473,51129
1460457532,20.526085,34278
1460457533,79.783430,16258
1460457534,20.759217,47875
1460457535,19.773080,49596
1460457536,26.821629,36021
1460457537,22.409755,46813
1460457538,22.604253,44093
1460457539,22.390906,44686
1460457540,18.819864,39538
1460457541,0.000000,0
1460457542,1191.475675,1468
