unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1460674774,21.141397,4686,4686,6.86,54.66,9.26,65.48,9.48,52.92,8.53,57.69
1460674775,32.549488,18152,22838,42.19,151.78,74.56,154.98,51.50,148.35,56.08,151.70
1460674776,65.252098,16825,39663,71.39,257.70,123.26,262.52,84.66,242.23,93.10,254.15
1460674777,30.004901,33406,73069,79.35,305.32,145.66,396.79,98.67,302.40,107.89,334.84
1460674778,29.600422,33544,106613,90.86,459.81,176.61,693.81,117.47,456.05,128.31,536.56
1460674779,27.666829,36311,142924,98.77,707.80,201.91,763.74,126.32,641.64,142.33,704.39
1460674780,27.886120,35807,178731,108.39,733.02,224.92,1044.39,137.99,722.61,157.10,833.34
1460674781,38.425696,26020,204751,115.67,819.31,243.95,1082.19,145.97,809.24,168.53,903.58
1460674782,37.308165,26782,231533,117.50,991.18,263.85,1205.51,147.47,968.09,176.27,1054.93
1460674783,26.152138,38185,269718,132.69,1188.34,268.54,1205.26,163.94,1179.58,188.39,1191.06
1460674784,28.868924,34569,304287,135.09,1188.44,282.05,1620.88,165.40,1179.58,194.18,1329.63
1460674785,24.893816,39530,343817,140.95,1287.02,293.52,1620.88,170.54,1277.98,201.67,1395.29
1460674786,43.425707,23331,367148,140.09,1287.02,310.70,1759.68,168.46,1277.98,206.42,1441.56
1460674787,44.951314,22188,389336,150.40,1631.60,318.34,1760.64,175.07,1609.66,214.60,1667.30
1460674788,28.556857,35068,424404,160.34,1669.43,318.08,1760.64,186.68,1645.60,221.70,1691.89
1460674789,25.354243,39487,463891,162.06,1669.43,327.37,1783.88,187.51,1645.60,225.65,1699.64
1460674790,27.914473,35708,499599,165.60,1802.87,334.33,1783.88,190.80,1793.96,230.24,1793.57
1460674791,24.643872,40486,540085,166.69,1802.87,342.52,1837.19,191.59,1793.96,233.60,1811.34
1460674792,23.175676,4849,544934,165.71,1801.81,352.85,1944.82,189.98,1793.96,236.18,1846.86
1460674793,61.850288,30481,575415,162.41,1801.81,361.29,1976.53,185.47,1793.96,236.39,1857.43
1460674794,24.694771,40407,615822,165.39,1880.88,365.17,1976.53,187.88,1868.08,239.48,1908.50
1460674795,24.785233,40308,656130,166.61,1880.88,371.10,1972.36,188.70,1868.08,242.14,1907.11
1460674796,25.980058,3570,659700,174.50,2021.56,370.21,1972.36,196.33,2007.70,247.01,2000.54
1460674797,56.044528,34037,693737,184.74,2024.09,363.81,1972.59,207.71,2012.06,252.09,2002.91
1460674798,25.563549,38988,732725,184.84,2024.09,369.38,1976.68,207.25,2012.06,253.82,2004.28
1460674799,30.228206,33067,765792,184.79,2024.62,374.14,2045.03,206.82,2012.06,255.25,2027.24
1460674800,30.156865,31760,797552,185.89,2024.62,377.48,2045.03,207.60,2013.12,256.99,2027.59
1460674801,30.645951,32449,830001,188.68,2024.92,380.37,2079.37,206.64,2013.12,258.56,2039.14
1460674802,27.928917,28807,858808,192.64,2110.36,382.70,2079.37,208.53,2099.74,261.29,2096.49
1460674803,0.000000,0,858808,191.42,2110.36,391.31,2178.52,204.27,2099.74,262.33,2129.54
1460674804,91.028647,24560,883368,188.94,2110.30,397.58,2247.84,199.58,2099.74,262.03,2152.63
1460674805,24.136992,19952,903320,191.37,2228.46,399.16,2247.84,199.33,2099.74,263.29,2192.01
1460674806,75.217177,20191,923511,201.47,2332.37,391.11,2247.84,213.03,2327.68,268.54,2302.63
1460674807,25.653760,38522,962033,200.97,2332.37,395.27,2248.24,213.44,2329.41,269.89,2303.34
1460674808,30.776612,32824,994857,200.59,2311.68,398.71,2248.42,215.34,2329.69,271.55,2296.60
1460674809,25.076092,39765,1034622,200.63,2311.68,402.89,2248.50,217.78,2329.80,273.77,2296.66
1460674810,24.205731,41319,1075941,201.22,2311.68,406.92,2248.50,220.07,2323.44,276.07,2294.54
1460674811,28.505232,34911,1110852,200.91,2311.68,411.39,2284.03,221.52,2323.44,277.94,2306.38
1460674812,36.525689,27309,1138161,201.28,2311.89,413.96,2288.33,223.55,2323.44,279.60,2307.89
1460674813,26.372319,37841,1176002,200.76,2311.89,416.96,2304.04,223.67,2323.37,280.46,2313.10
1460674814,27.580255,36298,1212300,201.72,2323.34,420.39,2304.20,224.15,2323.64,282.09,2317.06
1460674815,26.705179,37283,1249583,201.38,2323.34,422.27,2302.32,223.31,2323.64,282.32,2316.43
1460674816,27.282151,36610,1286193,202.65,2408.84,424.48,2303.01,224.53,2396.12,283.89,2369.32
1460674817,29.160371,34141,1320334,202.60,2408.86,427.16,2303.94,224.01,2396.12,284.59,2369.64
1460674818,31.807508,28242,1348576,203.66,2509.22,428.24,2304.63,224.73,2503.38,285.54,2439.08
1460674819,35.724421,30799,1379375,203.16,2509.22,430.35,2393.86,224.45,2500.47,285.99,2467.85
