second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,29.387270,15427,15427,2.62,23.05,16.532814,7203,7203,8.50,57.83,13.606413,13596,13596,44.74,123.14,13.648913,6099,6099,8.36,57.42
1,29.459723,33125,48552,49.95,76.09,36.795264,18547,25750,59.04,145.09,31.473004,22933,36529,85.29,200.68,35.449914,16321,22420,59.57,148.33
2,33.760112,29223,77775,90.28,86.65,47.604462,21760,47510,92.86,213.49,73.608046,17158,53687,104.22,269.78,50.219138,17643,40063,88.88,219.03
3,49.996969,19758,97533,122.95,98.16,28.963648,35927,83437,110.65,301.15,23.155076,42972,96659,120.35,341.33,29.911238,36876,76939,101.62,296.72
4,33.527206,28998,126531,139.14,104.92,26.172813,38627,122064,135.38,422.51,24.260715,41093,137752,137.60,495.62,27.018079,37150,114089,121.25,413.54
5,33.740836,29322,155853,163.57,117.44,23.586128,41844,163908,153.42,522.85,22.303401,44739,182491,153.11,542.22,23.021009,43157,157246,136.63,515.62
6,34.928304,27835,183688,185.51,129.13,24.889955,40264,204172,172.12,721.29,24.791578,39214,221705,164.26,771.76,23.159666,43259,200505,152.48,712.41
7,36.158662,27476,211164,203.64,139.82,26.474176,37895,242067,186.78,827.07,20.626826,47684,269389,171.90,831.53,23.385856,42558,243063,163.33,835.29
8,37.520690,26367,237531,217.15,150.32,25.606882,39039,281106,203.03,878.91,23.352983,44011,313400,183.51,903.51,26.152203,38307,281370,173.31,868.95
9,38.166799,25752,263283,229.71,160.48,27.523716,35970,317076,212.14,987.06,23.084346,43764,357164,193.43,1089.47,24.815548,40258,321628,181.53,1002.93
10,37.201953,26089,289372,241.03,167.97,25.919778,38426,355502,222.60,1123.50,46.809846,21304,378468,204.99,1215.25,24.566340,40634,362262,189.50,1144.95
11,36.206294,27792,317164,251.63,178.52,44.875920,22432,377934,229.27,1275.38,37.599015,22045,400513,212.54,1278.98,53.247846,18806,381068,193.81,1270.98
12,41.664580,23661,340825,260.69,187.91,58.461929,17130,395064,235.05,1351.76,23.467371,49874,450387,226.65,1360.50,26.210493,17941,399009,199.87,1354.16
13,42.835000,22785,363610,268.15,196.63,22.573968,44323,439387,242.09,1349.37,21.039268,47473,497860,232.13,1360.31,33.494319,45477,444486,208.59,1357.98
14,46.434712,21037,384647,271.30,205.58,25.451963,39153,478540,249.17,1371.48,21.794139,45781,543641,237.29,1401.44,24.956511,40110,484596,213.00,1382.53
15,38.224311,26684,411331,276.99,214.84,23.601720,42350,520890,255.36,1462.26,167.765595,5960,549601,243.38,1680.79,23.208172,43072,527668,217.23,1438.57
16,37.531412,26251,437582,283.69,221.96,21.757789,13532,534422,260.60,1692.26,20.164088,49515,599116,243.63,1706.14,28.525771,22415,550083,221.56,1671.19
17,38.568902,25466,463048,289.91,235.34,47.654492,35286,569708,260.78,1703.67,22.028947,45440,644556,247.83,1706.14,73.447101,18526,568609,222.45,1704.66
18,39.112987,25625,488673,295.07,242.27,26.059185,39075,608783,264.31,1703.70,17.243758,28523,673079,251.21,1708.60,22.142225,44989,613598,226.16,1705.08
19,39.910841,23919,512592,299.84,249.80,23.829628,37015,645798,268.36,1703.97,58.809233,25610,698689,258.74,1784.71,23.056024,43269,656867,229.34,1705.08
20,37.843301,27098,539690,304.48,260.79,85.904866,8993,654791,276.26,1782.81,23.148083,43159,741848,264.10,1791.75,22.058092,15882,672749,233.80,1774.01
21,39.459217,23949,563639,308.97,269.52,29.740396,45226,700017,280.53,1787.49,20.800014,44579,786427,266.18,1797.20,54.444951,30249,702998,242.91,1788.56
22,41.021922,23932,587571,311.92,279.04,25.326358,39338,739355,283.48,1792.02,27.497639,38750,825177,268.68,1797.20,25.534726,39141,742139,246.32,1788.97
