second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,10.314492,16467,16467,8.47,58.64,22.376069,3597,3597,8.52,58.90,12.564066,14661,14661,60.42,151.84
1,24.212908,25509,41976,62.76,160.45,52.276978,12667,16264,59.83,151.99,47.789083,19230,33891,92.95,194.42
2,93.897545,14095,56071,95.85,244.92,38.443296,23372,39636,91.74,192.51,51.270424,23852,57743,108.41,300.27
3,26.507238,37717,93788,106.97,303.23,33.687764,32137,71773,108.10,296.80,24.721543,40217,97960,128.47,411.40
4,29.608547,33882,127670,132.28,409.12,27.333449,36749,108522,125.51,385.75,23.740557,42203,140163,145.13,519.23
5,26.130165,38067,165737,147.73,523.07,23.021667,43578,152100,142.28,524.38,26.519688,37694,177857,158.47,715.73
6,27.481183,36405,202142,165.57,719.73,22.973260,43329,195429,162.88,692.66,26.216226,38111,215968,168.49,820.55
7,26.480729,37785,239927,176.75,790.07,25.164971,39576,235005,178.03,817.55,24.038980,41605,257573,178.57,873.31
8,25.680027,38515,278442,188.94,875.99,23.599873,42467,277472,193.36,846.18,20.679203,48118,305691,188.44,1002.32
9,27.797591,36281,314723,199.62,901.13,22.292697,44627,322099,207.73,996.18,23.595833,42325,348016,196.92,1153.19
10,27.100934,36687,351410,210.43,1110.25,22.563158,40377,362476,221.59,1091.16,51.571831,18949,366965,200.42,1273.48
11,54.759362,18251,369661,217.88,1219.50,54.523174,20007,382483,234.26,1257.34,27.625907,32004,398969,206.09,1356.98
12,26.469043,18063,387724,220.37,1270.49,23.299579,41670,424153,246.35,1298.40,40.854119,27744,426713,214.51,1359.31
13,41.465074,36689,424413,229.47,1347.79,22.858503,44919,469072,256.11,1365.90,23.149660,43315,470028,219.79,1383.02
14,25.821435,38681,463094,236.18,1348.69,21.817660,45606,514678,260.23,1466.12,20.110579,49639,519667,224.10,1490.95
15,26.437152,37884,500978,242.12,1371.12,21.814406,30476,545154,263.76,1607.89,23.496315,33158,552825,228.00,1666.30
16,26.117591,35305,536283,246.41,1495.04,77.173121,17291,562445,263.10,1639.24,80.470228,15166,567991,228.76,1689.60
17,136.908530,7849,544132,251.19,1692.69,18.585999,42945,605390,266.49,1683.06,22.209989,44797,612788,237.09,1701.22
18,25.646327,39123,583255,251.65,1704.88,26.366292,45453,650843,273.93,1693.51,23.073662,43446,656234,241.63,1701.23
19,24.529466,40690,623945,255.77,1704.90,17.892676,44346,695189,276.94,1729.72,17.758749,14951,671185,252.58,1764.49
20,25.681751,20301,644246,260.29,1705.06,30.244260,39921,735110,282.98,1800.91,40.957921,42239,713424,253.32,1785.25
21,66.897901,22088,666334,267.46,1784.96,22.796241,43776,778886,285.86,1801.77,24.517313,40571,753995,256.85,1785.54
22,26.540298,37618,703952,271.37,1785.50,28.415860,35166,814052,288.23,1820.30,23.597878,41245,795240,259.60,1811.13
23,28.036841,35567,739519,273.22,1785.50,22.501940,44314,858366,291.12,1853.42,23.477076,43577,838817,261.34,1811.13
24,23.580350,42531,782050,276.01,1790.37,23.849225,41966,900332,294.02,1885.63,23.178112,42994,881811,264.17,1861.83
25,29.342812,33888,815938,280.75,1821.69,24.253744,41003,941335,295.38,1895.44,22.224409,44367,926178,267.39,1873.71
26,23.804469,42063,858001,282.82,1850.74,19.549886,32807,974142,297.30,1928.29,25.328380,39876,966054,271.04,1888.19
27,28.391198,35152,893153,285.67,1850.74,0.000000,0,974142,304.33,1985.33,23.169374,28505,994559,274.03,1912.49
28,24.067695,41662,934815,287.90,1889.94,73.511051,32088,1006230,304.65,1986.22,0.000000,0,994559,275.73,1952.92
29,25.124252,28686,963501,290.90,1889.94,16.809871,45815,1052045,306.74,2040.35,66.373859,35187,1029746,274.87,1953.60
30,0.000000,0,963501,292.80,1928.27,16.945425,39319,1091364,311.71,2047.71,21.987627,14748,1044494,275.15,1954.06
