unix_ts,avg_latency_ms,throughput
1460766501,17.279487,5286
1460766502,32.262650,17883
1460766503,31.189529,27257
1460766504,27.567506,36131
1460766505,27.238760,36516
1460766506,22.726898,43727
1460766507,23.285050,41355
1460766508,21.820073,47353
1460766509,21.048179,47576
1460766510,25.254491,39660
1460766511,26.192854,19313
1460766512,40.873522,32914
1460766513,40.625579,28142
1460766514,22.058641,45118
1460766515,22.661824,44195
1460766516,28.008352,32894
1460766517,114.266122,9410
1460766518,20.298134,49285
1460766519,21.741000,46068
1460766520,17.993652,18449
1460766521,58.908499,28220
1460766522,27.220271,36672
1460766523,23.349111,42744
1460766524,26.495881,37718
1460766525,22.629611,44129
1460766526,21.827773,45631
1460766527,23.299199,42921
1460766528,21.342213,36742
1460766529,0.000000,0
1460766530,99.925525,22133
1460766531,23.178597,34589
1460766532,0.000000,0
1460766533,89.107672,24658
1460766534,23.953710,41736
1460766535,23.230322,42727
1460766536,22.214733,44596
1460766537,24.664812,40960
1460766538,21.376624,45685
1460766539,28.743312,35367
1460766540,22.767246,44126
1460766541,27.513868,36213
1460766542,22.797244,43753
1460766543,26.553047,37604
1460766544,25.075764,39816
1460766545,27.466090,36443
1460766546,31.114126,32051
1460766547,19.251745,39245
1460766548,17.257810,38488
1460766549,77.609100,17449
1460766550,17.271076,26298
1460766551,65.863124,26825
1460766552,26.924221,8540
1460766553,0.000000,0
1460766554,146.921020,18850
1460766555,32.216129,30973
1460766556,22.440635,39827
1460766557,24.773357,44508
1460766558,27.015749,36890
1460766559,26.184433,38081
1460766560,25.423694,39526
1460766561,179.394129,3729
1460766562,187.883709,4371
