second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,93.883742,8221,8221,1.63,17.14,57.315850,2756,2756,2.69,21.86,29.924173,12308,12308,2.92,21.67,12.677104,11833,11833,8.04,59.17
1,100.185517,9932,18153,33.66,57.82,33.099852,27564,30320,53.62,110.22,30.049306,32549,44857,50.82,73.22,32.477653,22321,34154,61.19,150.85
2,164.103700,5592,23745,58.17,72.75,38.986283,23653,53973,98.15,214.25,32.941482,30224,75081,91.26,86.71,45.002364,23422,57576,91.89,225.10
3,412.625215,2164,25909,66.72,84.67,49.017502,18577,72550,134.34,281.37,35.786591,27841,102922,125.49,95.75,28.191021,39527,97103,111.81,300.77
4,504.999846,1974,27883,68.64,89.76,46.614611,19305,91855,167.64,362.13,34.091453,29136,132058,154.44,108.96,24.308075,41970,139073,138.76,449.71
5,525.260528,1881,29764,69.25,93.97,62.388670,13264,105119,193.08,398.81,34.659658,28064,160122,179.20,119.48,24.979540,39887,178960,156.93,553.10
6,539.951375,2001,31765,69.65,99.28,310.798753,1774,106893,193.02,522.02,36.509773,27244,187366,199.83,129.65,28.131623,35528,214488,177.39,721.91
7,346.246394,2982,34747,70.71,96.71,355.547953,1703,108596,183.81,522.02,34.646055,28538,215904,217.37,140.59,23.601315,42336,256824,192.72,877.32
8,346.206702,2728,37475,72.84,93.97,334.292091,1400,109996,175.74,522.02,35.098793,27976,243880,233.23,148.25,21.267371,46519,303343,209.30,903.36
9,359.663855,2798,40273,74.45,100.42,373.786174,1520,111516,170.30,522.10,35.100765,28279,272159,247.56,160.17,23.396713,42864,346207,224.83,1121.76
10,357.282121,2866,43139,76.05,107.15,401.949912,1546,113062,170.14,569.18,34.931872,27925,300084,259.91,171.24,56.322651,17880,364087,235.00,1235.56
11,350.782661,2782,45921,77.30,113.70,421.395968,1356,114418,164.72,569.18,35.738018,28239,328323,271.71,181.48,21.638633,23703,387790,238.48,1282.64
12,343.983814,3017,48938,78.53,121.31,355.468520,1607,116025,158.86,569.18,36.499525,27067,355390,280.89,191.12,43.574616,33949,421739,247.68,1359.75
13,258.125332,3968,52906,79.98,127.69,276.533706,1659,117684,154.30,569.18,34.958459,28284,383674,290.38,203.12,21.067267,47515,469254,253.40,1359.41
14,232.516816,4349,57255,82.10,137.18,375.455126,1375,119059,149.87,569.18,39.716118,24834,408508,298.21,213.77,19.904306,49075,518329,260.70,1392.26
15,204.979565,5049,62304,84.44,147.92,401.341998,1326,120385,146.00,569.43,40.746684,23652,432160,303.88,224.96,21.741781,15985,534314,266.92,1674.36
16,161.684064,6367,68671,86.92,159.97,367.912399,1449,121834,145.40,569.97,42.388395,23321,455481,308.86,235.69,35.143573,47683,581997,266.79,1710.89
17,121.506441,8253,76924,90.87,143.91,465.691896,1424,123258,146.04,608.99,36.804077,27801,483282,314.70,242.65,21.867573,45275,627272,271.72,1710.89
18,100.923575,9670,86594,96.75,162.90,518.802686,563,123821,141.67,608.99,43.222110,23215,506497,318.99,250.07,21.724591,21307,648579,276.11,1710.91
19,106.510920,9468,96062,103.20,183.30,612.412097,276,124097,137.28,608.99,42.199738,23332,529829,322.63,260.71,55.808882,27577,676156,285.14,1795.28
20,102.676363,9796,105858,108.64,201.50,687.622551,539,124636,133.37,608.99,41.475744,23968,553797,325.93,269.11,21.158340,47424,723580,286.95,1795.82
21,103.145715,9867,115725,114.02,223.31,438.765778,171,124807,129.24,608.99,41.642766,23987,577784,329.33,277.75,21.485462,46337,769917,291.33,1800.41
22,101.926839,9823,125548,118.90,243.52,1363.509996,247,125054,125.54,608.99,37.665528,26147,603931,333.82,286.64,26.642222,37503,807420,296.13,1832.38
23,102.018905,9695,135243,123.88,267.01,687.167172,135,125189,122.09,608.99,39.555963,24404,628335,337.05,298.52,20.124349,49659,857079,298.60,1862.12
24,107.547488,9452,144695,128.53,231.75,735.780096,267,125456,118.55,609.07,38.779990,26503,654838,340.17,308.39,21.834885,45590,902669,301.21,1862.18
25,106.337567,9430,154125,131.61,246.70,489.609416,47,125503,115.11,609.07,39.918348,23823,678661,343.44,315.05,19.285207,51483,954152,305.35,1891.23
26,105.983640,9260,163385,135.80,272.52,469.462675,52,125555,111.82,609.07,37.168236,28012,706673,346.72,326.09,22.706960,8157,962309,308.45,1928.31
27,101.182820,9886,173271,139.33,291.06,618.002008,44,125599,108.72,609.07,36.758208,25700,732373,350.51,337.91,95.397359,19030,981339,308.66,1935.25
28,102.129628,9924,183195,142.88,311.13,1249.579569,12,125611,105.72,609.07,41.679594,24552,756925,352.60,344.28,16.408522,12067,993406,308.12,1981.69
