2016-04-16 16:59:34.950811 I | etcdmain: etcd Version: 2.3.0+git
2016-04-16 16:59:34.950883 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-16 16:59:34.950890 I | etcdmain: Go Version: devel +26ecb42 Sat Apr 16 15:31:33 2016 +0000
2016-04-16 16:59:34.950896 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-16 16:59:34.950901 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-16 16:59:34.950962 I | etcdmain: listening for peers on http://10.240.0.24:2380
2016-04-16 16:59:34.950985 I | etcdmain: listening for client requests on 10.240.0.24:2379
2016-04-16 16:59:34.956262 I | etcdserver: name = etcd-1
2016-04-16 16:59:34.956282 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-16 16:59:34.956290 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-16 16:59:34.956295 I | etcdserver: heartbeat = 100ms
2016-04-16 16:59:34.956300 I | etcdserver: election = 1000ms
2016-04-16 16:59:34.956305 I | etcdserver: snapshot count = 10000
2016-04-16 16:59:34.956315 I | etcdserver: advertise client URLs = http://10.240.0.24:2379
2016-04-16 16:59:34.956321 I | etcdserver: initial advertise peer URLs = http://10.240.0.24:2380
2016-04-16 16:59:34.956334 I | etcdserver: initial cluster = etcd-1=http://10.240.0.24:2380,etcd-2=http://10.240.0.25:2380,etcd-3=http://10.240.0.26:2380
2016-04-16 16:59:34.958770 I | etcdserver: starting member 38b08b16bc99e52f in cluster e251a4022989395b
2016-04-16 16:59:34.958803 I | raft: 38b08b16bc99e52f became follower at term 0
2016-04-16 16:59:34.958813 I | raft: newRaft 38b08b16bc99e52f [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-16 16:59:34.958819 I | raft: 38b08b16bc99e52f became follower at term 1
2016-04-16 16:59:34.973181 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-16 16:59:34.973912 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-16 16:59:34.973937 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-16 16:59:34.974087 N | etcdmain: serving insecure client requests on 10.240.0.24:2379, this is strongly discouraged!
2016-04-16 16:59:34.974579 N | etcdserver: added local member 38b08b16bc99e52f [http://10.240.0.24:2380] to cluster e251a4022989395b
2016-04-16 16:59:34.974668 N | etcdserver: added member 420a9eb91bb9fcb8 [http://10.240.0.26:2380] to cluster e251a4022989395b
2016-04-16 16:59:34.974743 N | etcdserver: added member 902178d022a9e690 [http://10.240.0.25:2380] to cluster e251a4022989395b
2016-04-16 16:59:35.559129 I | raft: 38b08b16bc99e52f is starting a new election at term 1
2016-04-16 16:59:35.559263 I | raft: 38b08b16bc99e52f became candidate at term 2
2016-04-16 16:59:35.559280 I | raft: 38b08b16bc99e52f received vote from 38b08b16bc99e52f at term 2
2016-04-16 16:59:35.559297 I | raft: 38b08b16bc99e52f [logterm: 1, index: 3] sent vote request to 420a9eb91bb9fcb8 at term 2
2016-04-16 16:59:35.559318 I | raft: 38b08b16bc99e52f [logterm: 1, index: 3] sent vote request to 902178d022a9e690 at term 2
2016-04-16 16:59:35.971647 I | rafthttp: the connection with 902178d022a9e690 became active
2016-04-16 16:59:36.759185 I | raft: 38b08b16bc99e52f is starting a new election at term 2
2016-04-16 16:59:36.759312 I | raft: 38b08b16bc99e52f became candidate at term 3
2016-04-16 16:59:36.759330 I | raft: 38b08b16bc99e52f received vote from 38b08b16bc99e52f at term 3
2016-04-16 16:59:36.759342 I | raft: 38b08b16bc99e52f [logterm: 1, index: 3] sent vote request to 420a9eb91bb9fcb8 at term 3
2016-04-16 16:59:36.759351 I | raft: 38b08b16bc99e52f [logterm: 1, index: 3] sent vote request to 902178d022a9e690 at term 3
2016-04-16 16:59:36.762608 I | raft: 38b08b16bc99e52f received vote from 902178d022a9e690 at term 3
2016-04-16 16:59:36.762623 I | raft: 38b08b16bc99e52f [quorum:2] has received 2 votes and 0 vote rejections
2016-04-16 16:59:36.762644 I | raft: 38b08b16bc99e52f became leader at term 3
2016-04-16 16:59:36.762673 I | raft: raft.node: 38b08b16bc99e52f elected leader 38b08b16bc99e52f at term 3
2016-04-16 16:59:36.765150 W | etcdserver: failed to reach the peerURL(http://10.240.0.26:2380) of member 420a9eb91bb9fcb8 (Get http://10.240.0.26:2380/version: dial tcp 10.240.0.26:2380: getsockopt: connection refused)
2016-04-16 16:59:36.765166 W | etcdserver: cannot get the version of member 420a9eb91bb9fcb8 (Get http://10.240.0.26:2380/version: dial tcp 10.240.0.26:2380: getsockopt: connection refused)
2016-04-16 16:59:36.766101 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.24:2379]} to cluster e251a4022989395b
2016-04-16 16:59:36.766453 I | etcdserver: setting up the initial cluster version to 2.2
2016-04-16 16:59:36.767900 N | membership: set the initial cluster version to 2.2
2016-04-16 16:59:36.968870 I | rafthttp: the connection with 420a9eb91bb9fcb8 became active
2016-04-16 16:59:36.974499 I | v2http: enabled capabilities for version 2.2.0
2016-04-16 16:59:40.768751 I | etcdserver: updating the cluster version from 2.2 to 2.3
2016-04-16 16:59:40.770714 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-16 16:59:40.976080 I | v2http: enabled capabilities for version 2.3.0
2016-04-16 16:59:43.342483 I | etcdserver: start to snapshot (applied: 10113, lastsnap: 0)
2016-04-16 16:59:43.353582 I | etcdserver: saved snapshot at index 10113
2016-04-16 16:59:43.354013 I | etcdserver: compacted raft log at 5113
2016-04-16 16:59:43.685169 I | etcdserver: start to snapshot (applied: 20500, lastsnap: 10113)
2016-04-16 16:59:43.699333 I | etcdserver: saved snapshot at index 20500
2016-04-16 16:59:43.699738 I | etcdserver: compacted raft log at 15500
2016-04-16 16:59:43.996885 I | etcdserver: start to snapshot (applied: 30764, lastsnap: 20500)
2016-04-16 16:59:44.014241 I | etcdserver: saved snapshot at index 30764
2016-04-16 16:59:44.014445 I | etcdserver: compacted raft log at 25764
2016-04-16 16:59:44.304706 I | etcdserver: start to snapshot (applied: 41041, lastsnap: 30764)
2016-04-16 16:59:44.328473 I | etcdserver: saved snapshot at index 41041
2016-04-16 16:59:44.328728 I | etcdserver: compacted raft log at 36041
2016-04-16 16:59:44.631967 I | etcdserver: start to snapshot (applied: 51117, lastsnap: 41041)
2016-04-16 16:59:44.650843 I | etcdserver: saved snapshot at index 51117
2016-04-16 16:59:44.651093 I | etcdserver: compacted raft log at 46117
2016-04-16 16:59:44.957132 I | etcdserver: start to snapshot (applied: 61139, lastsnap: 51117)
2016-04-16 16:59:44.971419 I | etcdserver: saved snapshot at index 61139
2016-04-16 16:59:44.972193 I | etcdserver: compacted raft log at 56139
2016-04-16 16:59:45.307147 I | etcdserver: start to snapshot (applied: 71176, lastsnap: 61139)
2016-04-16 16:59:45.321694 I | etcdserver: saved snapshot at index 71176
2016-04-16 16:59:45.321974 I | etcdserver: compacted raft log at 66176
2016-04-16 16:59:45.670935 I | etcdserver: start to snapshot (applied: 81543, lastsnap: 71176)
2016-04-16 16:59:45.688503 I | etcdserver: saved snapshot at index 81543
2016-04-16 16:59:45.688710 I | etcdserver: compacted raft log at 76543
2016-04-16 16:59:46.035382 I | etcdserver: start to snapshot (applied: 91856, lastsnap: 81543)
2016-04-16 16:59:46.053011 I | etcdserver: saved snapshot at index 91856
2016-04-16 16:59:46.053229 I | etcdserver: compacted raft log at 86856
2016-04-16 16:59:46.362616 I | etcdserver: start to snapshot (applied: 102014, lastsnap: 91856)
2016-04-16 16:59:46.387092 I | etcdserver: saved snapshot at index 102014
2016-04-16 16:59:46.389688 I | etcdserver: compacted raft log at 97014
2016-04-16 16:59:46.713822 I | etcdserver: start to snapshot (applied: 112266, lastsnap: 102014)
2016-04-16 16:59:46.727834 I | etcdserver: saved snapshot at index 112266
2016-04-16 16:59:46.728135 I | etcdserver: compacted raft log at 107266
2016-04-16 16:59:47.074465 I | etcdserver: start to snapshot (applied: 122545, lastsnap: 112266)
2016-04-16 16:59:47.082622 I | etcdserver: saved snapshot at index 122545
2016-04-16 16:59:47.082844 I | etcdserver: compacted raft log at 117545
2016-04-16 16:59:47.419291 I | etcdserver: start to snapshot (applied: 132775, lastsnap: 122545)
2016-04-16 16:59:47.430571 I | etcdserver: saved snapshot at index 132775
2016-04-16 16:59:47.430831 I | etcdserver: compacted raft log at 127775
2016-04-16 16:59:47.760829 I | etcdserver: start to snapshot (applied: 143066, lastsnap: 132775)
2016-04-16 16:59:47.774666 I | etcdserver: saved snapshot at index 143066
2016-04-16 16:59:47.774925 I | etcdserver: compacted raft log at 138066
2016-04-16 16:59:48.104876 I | etcdserver: start to snapshot (applied: 153433, lastsnap: 143066)
2016-04-16 16:59:48.126647 I | etcdserver: saved snapshot at index 153433
2016-04-16 16:59:48.127271 I | etcdserver: compacted raft log at 148433
2016-04-16 16:59:48.456427 I | etcdserver: start to snapshot (applied: 163482, lastsnap: 153433)
2016-04-16 16:59:48.484824 I | etcdserver: saved snapshot at index 163482
2016-04-16 16:59:48.485045 I | etcdserver: compacted raft log at 158482
2016-04-16 16:59:48.819642 I | etcdserver: start to snapshot (applied: 173552, lastsnap: 163482)
2016-04-16 16:59:48.846847 I | etcdserver: saved snapshot at index 173552
