second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,115.988122,4058,4058,1.92,16.69
1,90.440798,11018,15076,32.10,56.78
2,119.145182,8140,23216,57.19,73.59
3,139.409258,7291,30507,71.63,88.75
4,141.377100,7091,37598,84.05,90.18
5,111.437879,8916,46514,95.15,108.86
6,105.922927,9464,55978,107.20,127.30
7,101.204154,10100,66078,117.98,147.26
8,95.433470,10260,76338,128.06,139.45
9,99.721295,10085,86423,137.11,162.87
10,104.466036,9640,96063,143.78,185.54
11,100.403933,9971,106034,150.32,204.75
12,103.059190,9535,115569,156.03,225.65
13,97.061832,10470,126039,161.29,247.36
14,98.938599,10030,136069,166.51,217.03
15,108.148491,9234,145303,171.09,238.11
16,101.678267,9943,155246,174.30,256.85
17,98.224215,10023,165269,178.69,280.20
18,104.023185,9685,174954,181.69,297.87
19,108.682573,9247,184201,185.33,322.31
20,112.100641,8902,193103,187.93,342.38
21,148.511924,6626,199729,189.28,358.50
22,123.821696,7606,207335,190.24,374.96
23,107.481963,9403,216738,191.84,392.74
24,101.783703,10143,226881,194.06,410.67
25,122.883468,7938,234819,195.63,431.33
26,125.067509,8360,243179,196.71,451.90
27,110.499820,8948,252127,198.04,473.23
28,114.569392,8799,260926,199.36,488.33
29,107.680379,9270,270196,200.11,395.38
30,133.268691,7693,277889,201.20,411.19
31,117.403188,8402,286291,202.40,436.26
32,123.134892,7885,294176,203.47,450.48
33,105.267390,9605,303781,204.06,467.84
34,123.641373,8166,311947,204.94,483.22
35,115.338695,8724,320671,206.12,509.29
36,96.796738,9737,330408,207.26,527.34
37,110.846322,9444,339852,207.76,544.18
38,112.022907,8947,348799,209.05,562.95
39,93.807967,10444,359243,210.23,581.69
40,113.288636,9140,368383,210.68,601.32
41,108.613015,9046,377429,211.88,621.33
42,91.822837,10994,388423,212.88,642.21
43,105.813901,9521,397944,213.41,655.39
44,109.533310,8231,406175,214.48,674.46
45,116.268484,9359,415534,215.10,695.96
46,114.703340,8724,424258,215.58,715.09
47,101.099190,9899,434157,216.13,738.38
48,112.020302,8852,443009,216.80,750.88
49,93.235586,10935,453944,217.78,772.50
50,110.288802,8985,462929,218.13,785.80
51,100.145763,9886,472815,219.08,810.98
52,122.750985,8027,480842,219.21,825.24
53,106.761441,9650,490492,219.73,848.75
54,112.278296,8854,499346,220.10,863.67
55,95.188577,654,,,
