unix_ts,avg_latency_ms,throughput
1460828753,106.663737,5038
1460828754,92.485359,10810
1460828755,106.769004,9088
1460828756,102.239278,10111
1460828757,113.725913,8538
1460828758,111.715838,9166
1460828759,110.618780,8929
1460828760,108.200289,9328
1460828761,115.940341,8531
1460828762,106.609103,9227
1460828763,103.627022,9810
1460828764,103.732476,9223
1460828765,101.709552,10283
1460828766,109.291794,8968
1460828767,105.182899,9217
1460828768,107.960788,9780
1460828769,106.765740,9313
1460828770,109.032520,9216
1460828771,114.956816,8315
1460828772,112.311044,9260
1460828773,106.400732,9437
1460828774,106.750672,9207
1460828775,102.240056,9884
1460828776,108.758118,9314
1460828777,101.743561,9711
1460828778,109.970456,8896
1460828779,114.999552,8743
1460828780,122.804138,8121
1460828781,127.595985,7939
1460828782,120.354180,8334
1460828783,108.891439,8800
1460828784,112.753816,9088
1460828785,131.161781,7554
1460828786,131.403858,7614
1460828787,113.642181,9024
1460828788,129.092563,7697
1460828789,112.128343,8983
1460828790,100.783185,9879
1460828791,114.996035,8716
1460828792,103.393768,8833
1460828793,113.430320,9665
1460828794,114.313415,8750
1460828795,94.275064,10575
1460828796,114.765252,8643
1460828797,94.566450,9264
1460828798,118.953724,9555
1460828799,109.934814,8859
1460828800,104.540817,9773
1460828801,113.321035,8661
1460828802,92.796170,10895
1460828803,119.831618,8339
1460828804,92.227487,10822
1460828805,131.678251,7614
1460828806,92.836327,10782
1460828807,135.298864,7422
1460828808,91.058015,10910
1460828809,115.930741,7826
1460828810,250.561522,3875
1460828811,446.529747,2071
1460828812,496.979354,2006
1460828813,344.109625,3404
1460828814,132.788358,7366
1460828815,191.290285,5306
1460828816,158.405801,6565
1460828817,120.075518,8227
1460828818,124.908976,7906
1460828819,126.032010,7940
1460828820,98.755628,10345
1460828821,126.248275,7900
1460828822,96.226844,10529
1460828823,114.214905,8552
1460828824,101.839056,9920
1460828825,100.945400,9767
1460828826,122.906894,8251
1460828827,98.696821,10149
1460828828,121.143901,8203
1460828829,90.883522,11153
1460828830,109.585364,9025
1460828831,123.864145,8076
1460828832,94.573194,10181
1460828833,109.425576,9465
1460828834,118.011399,8517
1460828835,91.955062,10478
1460828836,126.815366,7138
1460828837,113.860856,9915
1460828838,106.306312,9243
1460828839,125.208893,6920
1460828840,141.845141,8043
1460828841,111.866418,8795
1460828842,117.992409,8265
1460828843,143.372462,7239
1460828844,114.820835,8754
1460828845,110.980122,8937
1460828846,150.971321,6440
1460828847,118.897286,8613
1460828848,99.938649,10188
1460828849,126.445271,7902
1460828850,103.238303,9777
1460828851,91.136496,10893
1460828852,103.218027,8099
1460828853,123.859166,9355
