second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,29.435323,21917,21917,2.74,20.20
1,33.434770,28634,50551,49.70,123.23
2,43.245332,22450,73001,91.84,215.47
3,41.837349,23861,96862,128.22,324.17
4,51.699100,18555,115417,160.36,403.60
5,54.754776,17937,133354,190.32,472.02
6,59.641930,16634,149988,215.34,613.59
7,62.197416,15381,165369,235.99,767.50
8,74.010353,14424,179793,254.88,806.95
9,60.923414,13593,193386,270.00,926.09
10,60.716332,6573,,,
