unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461036888,29.435323,21917,21917,2.99,25.21,2.56,18.56,2.66,16.84,2.74,20.20
1461036889,33.434770,28634,50551,53.27,125.21,45.39,124.45,50.43,120.04,49.70,123.23
1461036890,43.245332,22450,73001,100.50,219.17,83.50,220.11,91.53,207.12,91.84,215.47
1461036891,41.837349,23861,96862,138.59,371.09,117.95,308.19,128.13,293.23,128.22,324.17
1461036892,51.699100,18555,115417,171.76,428.89,148.73,378.34,160.60,403.57,160.36,403.60
1461036893,54.754776,17937,133354,204.29,468.59,178.41,489.78,188.25,457.70,190.32,472.02
1461036894,59.641930,16634,149988,230.75,628.13,200.84,635.21,214.43,577.42,215.34,613.59
1461036895,62.197416,15381,165369,253.22,819.76,220.40,762.97,234.35,719.76,235.99,767.50
1461036896,74.010353,14424,179793,273.79,861.02,236.34,806.90,254.51,752.93,254.88,806.95
1461036897,60.923414,13593,193386,290.80,958.05,251.24,898.10,267.95,922.13,270.00,926.09
1461036898,60.716332,6573,,,,,,,,,
