unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461041376,97.534083,348,348,3.36,15.62,1.14,15.56,1.82,16.10,2.11,15.76
1461041377,173.479604,5683,6031,34.66,62.72,17.08,42.11,24.04,42.78,25.26,49.20
1461041378,175.688647,5648,11679,58.62,72.98,28.60,50.13,39.85,51.26,42.36,58.12
1461041379,153.248932,6717,18396,80.25,81.52,38.88,56.45,51.11,61.11,56.75,66.36
1461041380,130.204445,7633,26029,101.25,100.81,49.32,69.54,63.35,74.88,71.31,81.74
1461041381,128.998443,8069,34098,118.33,106.73,58.85,73.98,72.64,76.94,83.27,85.88
1461041382,127.087627,7775,41873,133.19,123.09,66.77,90.31,80.81,92.63,93.59,102.01
1461041383,132.131285,7498,49371,147.11,142.74,73.49,106.50,87.20,107.42,102.60,118.89
1461041384,132.112317,7540,56911,159.19,162.54,79.12,121.79,93.38,121.54,110.56,135.29
1461041385,117.629998,8543,65454,169.44,151.91,84.85,111.72,99.53,113.00,117.94,125.54
1461041386,124.307045,7985,73439,179.57,178.86,89.79,130.87,104.05,128.74,124.47,146.16
1461041387,118.533606,8647,82086,188.51,197.16,93.90,146.63,109.14,148.85,130.52,164.21
1461041388,116.068582,8537,90623,197.11,216.86,97.90,161.49,113.46,162.33,136.16,180.23
1461041389,117.918542,8448,99071,205.27,238.06,102.09,177.74,117.31,180.19,141.56,198.66
1461041390,114.241783,8736,107807,213.28,263.80,105.70,198.25,121.04,199.07,146.67,220.37
1461041391,135.950247,7138,114945,219.85,288.02,107.34,207.16,122.40,209.56,149.86,234.91
1461041392,118.432514,8702,123647,224.67,302.59,110.58,226.25,125.87,228.92,153.71,252.59
1461041393,126.616273,7930,131577,230.89,267.54,112.14,187.64,127.26,190.08,156.76,215.09
1461041394,117.305866,8495,140072,235.80,282.03,114.96,209.68,130.19,211.27,160.32,234.33
1461041395,132.034531,7260,147332,241.57,311.59,116.46,220.53,130.98,222.62,163.00,251.58
1461041396,120.288032,8617,155949,245.80,325.90,117.95,236.15,132.71,236.45,165.49,266.17
1461041397,118.034198,8593,164542,249.21,341.78,120.66,259.12,135.23,264.06,168.37,288.32
1461041398,113.590648,8704,173246,252.34,360.60,122.39,273.76,136.12,270.65,170.28,301.67
1461041399,129.896195,7807,181053,255.13,378.94,123.40,287.73,137.02,277.24,171.85,314.64
1461041400,118.385001,8404,189457,258.08,400.30,124.74,303.50,137.95,290.84,173.59,331.55
1461041401,128.902154,7631,197088,260.60,418.45,125.90,319.14,139.32,309.41,175.27,349.00
1461041402,144.466369,6995,204083,262.54,438.11,126.56,336.48,140.23,323.75,176.44,366.11
1461041403,141.504153,6829,210912,264.84,460.86,127.46,353.98,140.69,340.64,177.66,385.16
1461041404,121.620866,7818,218730,266.04,473.06,128.93,370.60,140.91,357.00,178.63,400.22
1461041405,138.002524,7851,226581,267.24,485.25,129.09,373.66,140.90,367.90,179.08,408.94
1461041406,132.844525,7400,233981,269.06,488.58,130.46,390.30,141.75,378.66,180.42,419.18
1461041407,145.775698,6848,240829,271.11,508.48,131.23,410.30,142.79,397.39,181.71,438.72
1461041408,124.714137,8095,248924,273.36,533.94,132.60,428.29,143.29,416.53,183.08,459.59
1461041409,132.535411,7590,256514,274.02,557.63,132.46,429.45,143.10,432.20,183.19,473.09
