second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_cgzip,throughput_etcd_v3_cgzip,cumulative_throughput_etcd_v3_cgzip,avg_cpu_etcd_v3_cgzip,avg_memory_mb_etcd_v3_cgzip,avg_latency_ms_etcd_v3_cgzip_lv2,throughput_etcd_v3_cgzip_lv2,cumulative_throughput_etcd_v3_cgzip_lv2,avg_cpu_etcd_v3_cgzip_lv2,avg_memory_mb_etcd_v3_cgzip_lv2,avg_latency_ms_etcd_v3_gzip,throughput_etcd_v3_gzip,cumulative_throughput_etcd_v3_gzip,avg_cpu_etcd_v3_gzip,avg_memory_mb_etcd_v3_gzip,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_snappy_cpp,throughput_etcd_v3_snappy_cpp,cumulative_throughput_etcd_v3_snappy_cpp,avg_cpu_etcd_v3_snappy_cpp,avg_memory_mb_etcd_v3_snappy_cpp
0,24.749824,5843,5843,2.44,20.78,88.348071,3710,3710,2.45,23.47,88.110924,4051,4051,2.55,25.72,185.179970,4852,4852,5.53,59.37,28.418820,21922,21922,2.40,21.27,49.184851,2774,2774,3.15,24.89
1,26.500732,37460,43303,52.66,76.04,62.552968,14940,18650,40.75,68.29,56.307381,16441,20492,40.85,68.00,164.012764,6066,10918,11.31,69.90,29.260885,32961,54883,53.67,79.24,44.823821,21354,24128,46.96,70.76
2,28.360151,34856,78159,93.59,89.45,63.200681,14623,33273,79.50,78.81,63.611557,14710,35202,81.09,77.66,163.288368,6161,17079,16.68,72.39,30.699078,31705,86588,99.56,93.44,45.299715,21165,45293,85.54,80.63
3,30.452673,32395,110554,127.14,103.50,64.649231,14370,47643,113.45,87.43,64.597770,14224,49426,111.32,87.45,163.736587,5998,23077,21.77,75.84,32.954212,29633,116221,136.43,104.36,44.514078,21651,66944,122.06,89.62
4,29.648420,33652,144206,156.35,113.50,66.919136,13931,61574,143.54,94.93,61.705893,14805,64231,140.99,91.14,163.936975,6095,29172,26.43,78.99,33.290533,29307,145528,167.50,114.41,45.391027,21300,88244,152.52,97.61
5,30.584020,32495,176701,180.41,124.72,63.110964,14894,76468,168.75,99.04,63.636265,14784,79015,166.49,98.94,164.143844,6037,35209,30.85,81.90,34.063119,29201,174729,191.80,126.04,47.682085,20065,108309,178.91,106.01
6,31.552994,31499,208200,201.04,135.15,73.974616,12222,88690,190.20,104.23,59.995528,15584,94599,188.38,103.24,164.357938,6129,41338,35.02,87.22,33.544051,28761,203490,213.63,136.47,49.737395,19349,127658,200.07,114.13
7,32.708486,30583,238783,218.26,149.51,82.001031,11410,100100,205.90,113.06,63.187526,14684,109283,207.05,109.14,164.602742,6115,47453,39.00,88.15,36.177648,27773,231263,231.07,146.73,51.402726,18628,146286,218.24,122.10
8,33.055737,30175,268958,233.22,160.74,92.510677,10125,110225,216.10,114.70,59.837125,15577,124860,223.90,118.13,163.630386,6126,53579,42.75,90.90,35.946491,27011,258274,246.76,156.98,49.529013,19490,165776,234.14,128.41
9,32.366188,30435,299393,246.17,171.58,75.822458,12229,122454,227.89,118.75,61.742137,14843,139703,238.89,123.76,163.678541,6047,59626,46.26,92.92,35.531391,27248,285522,259.65,165.77,51.004507,18909,184685,248.70,134.99
10,33.931768,29196,328589,256.51,182.23,69.731914,13371,135825,239.32,124.00,69.684571,13250,152953,250.37,128.76,164.007669,6175,65801,49.52,94.54,37.576145,26481,312003,271.89,176.42,51.441699,18506,203191,262.07,145.92
11,34.967951,28795,357384,267.19,192.39,82.705246,11083,146908,248.93,129.48,72.700169,12780,165733,259.59,133.30,164.011539,6011,71812,52.45,97.54,36.157609,27448,339451,281.49,188.50,50.074605,19464,222655,272.93,149.61
12,35.858654,27790,385174,274.59,202.30,65.917477,14162,161070,256.78,133.23,90.426301,10047,175780,267.32,139.26,164.400791,6084,77896,55.40,104.21,35.559790,27356,366807,290.75,199.10,50.522055,19008,241663,283.58,159.85
13,33.817491,29370,414544,283.13,214.01,69.376193,13210,174280,266.16,138.93,82.216495,11481,187261,273.06,143.51,163.973512,6093,83989,58.12,106.50,38.635690,25855,392662,299.39,212.63,49.737627,19472,261135,293.60,166.58
14,35.408056,27992,442536,289.77,225.02,74.793285,12381,186661,272.13,143.29,78.436276,11420,198681,278.76,148.66,164.303548,6071,90060,60.74,107.17,39.804456,24328,416990,305.68,219.91,51.567872,18605,279740,302.38,174.31
15,34.163130,29233,471769,296.72,236.93,72.815731,12468,199129,279.24,150.15,72.251703,12997,211678,283.07,153.12,163.972789,6141,96201,63.27,112.78,42.080853,23430,440420,311.28,228.91,50.832103,19278,299018,310.25,182.73
16,35.251548,28552,500321,302.78,249.05,64.918928,14626,213755,285.07,155.68,64.532900,14466,226144,290.50,160.92,163.739012,6032,102233,65.65,113.68,39.429546,24975,465395,315.93,237.43,53.435080,18245,317263,317.67,188.72
17,34.882249,28114,528435,308.06,259.66,59.855942,15760,229515,294.02,162.82,68.489399,13585,239729,297.53,167.15,164.434682,6101,108334,67.94,113.87,38.812306,25658,491053,321.49,248.09,54.520894,17639,334902,323.26,194.96
18,33.577804,30144,558579,313.82,271.36,63.069956,14952,244467,302.11,168.04,76.022652,12145,251874,303.24,172.18,164.280385,6138,114472,70.04,115.67,38.011035,26045,517098,326.79,255.62,53.554223,18230,353132,329.41,203.43
19,36.257509,27544,586123,318.47,280.58,61.670035,15183,259650,309.58,173.44,72.542327,12860,264734,307.19,174.29,164.241292,5955,120427,72.04,118.84,38.416664,25857,542955,331.58,265.69,52.717993,18708,371840,334.92,208.90
20,34.094880,29212,615335,322.86,292.75,65.469099,14218,273868,316.48,179.50,64.689013,14555,279289,312.67,182.63,164.195666,6176,126603,74.03,119.95,39.659161,24536,567491,335.75,272.89,54.324967,17738,389578,339.81,216.98
21,36.711173,27120,642455,326.70,303.98,72.935659,12463,286331,321.00,184.15,58.849816,16058,295347,318.98,188.61,164.516595,6136,132739,75.86,122.51,37.199864,26474,593965,339.84,288.11,55.414877,17706,407284,343.73,223.46
22,36.923555,25766,668221,329.61,311.49,68.395809,14046,300377,325.21,190.45,63.264577,14909,310256,324.70,193.34,164.131586,5995,138734,77.59,124.97,41.638754,23585,617550,342.70,301.66,57.383914,16953,424237,347.44,230.02
23,38.142956,27236,695457,332.08,324.05,66.922150,14405,314782,329.93,195.30,69.786607,13445,323701,329.28,199.62,164.941289,6035,144769,79.32,127.34,36.525294,27311,644861,345.96,310.07,55.184755,17511,441748,351.22,237.23
24,37.534703,25416,720873,334.73,329.44,65.268927,14460,329242,335.87,203.63,62.114357,15247,338948,333.87,204.94,165.629467,6069,150838,81.09,130.61,36.971427,26323,671184,349.89,315.93,59.626947,16538,458286,353.70,243.08
25,34.505141,30297,751170,338.25,345.10,67.221956,14212,343454,340.96,209.46,65.271153,14466,353414,338.76,211.35,167.733786,5908,156746,82.68,133.57,34.718708,28219,699403,353.27,324.75,60.861149,16130,474416,355.78,249.13
26,35.423480,26706,777876,341.18,348.70,71.615635,13081,356535,345.80,215.23,63.057006,15166,368580,343.33,216.89,168.915199,6030,162776,84.22,136.88,36.444043,27125,726528,357.66,337.26,56.017213,16954,491370,358.76,254.74
27,37.489111,27764,805640,343.60,365.27,66.575646,14351,370886,349.68,221.96,64.347373,14525,383105,347.83,221.03,170.787410,5822,168598,85.62,140.56,39.052419,25764,752292,360.08,342.38,58.114741,16535,507905,361.32,263.71
28,31.821419,31395,837035,346.73,372.33,73.837232,12921,383807,354.07,224.44,75.134604,12085,395190,350.79,225.72,167.970304,5821,174419,87.07,143.32,34.458473,28311,780603,363.40,357.25,64.781428,15067,522972,362.46,270.08
