2016-04-25 11:11:09.559255 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 11:11:09.559319 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 11:11:09.559325 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 11:11:09.559330 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 11:11:09.559336 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 11:11:09.559397 I | etcdmain: listening for peers on http://10.240.0.27:2380
2016-04-25 11:11:09.559427 I | etcdmain: listening for client requests on 10.240.0.27:2379
2016-04-25 11:11:09.563576 I | etcdserver: name = etcd-3
2016-04-25 11:11:09.563608 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 11:11:09.563616 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 11:11:09.563621 I | etcdserver: heartbeat = 100ms
2016-04-25 11:11:09.563625 I | etcdserver: election = 1000ms
2016-04-25 11:11:09.563630 I | etcdserver: snapshot count = 10000
2016-04-25 11:11:09.563639 I | etcdserver: advertise client URLs = http://10.240.0.27:2379
2016-04-25 11:11:09.563645 I | etcdserver: initial advertise peer URLs = http://10.240.0.27:2380
2016-04-25 11:11:09.563657 I | etcdserver: initial cluster = etcd-1=http://10.240.0.25:2380,etcd-2=http://10.240.0.26:2380,etcd-3=http://10.240.0.27:2380
2016-04-25 11:11:09.566094 I | etcdserver: starting member 36850f32386ac2a in cluster 955473fb1bac9a64
2016-04-25 11:11:09.566147 I | raft: 36850f32386ac2a became follower at term 0
2016-04-25 11:11:09.566162 I | raft: newRaft 36850f32386ac2a [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 11:11:09.566168 I | raft: 36850f32386ac2a became follower at term 1
2016-04-25 11:11:09.566315 I | etcdserver: enabling compression cgzip
2016-04-25 11:11:09.578039 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 11:11:09.578103 I | rafthttp: the connection with 420a9eb91bb9fcb8 became active
2016-04-25 11:11:09.581911 I | rafthttp: the connection with 902178d022a9e690 became active
2016-04-25 11:11:09.581991 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 11:11:09.582011 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 11:11:09.582030 N | etcdserver: added local member 36850f32386ac2a [http://10.240.0.27:2380] to cluster 955473fb1bac9a64
2016-04-25 11:11:09.582150 N | etcdserver: added member 420a9eb91bb9fcb8 [http://10.240.0.26:2380] to cluster 955473fb1bac9a64
2016-04-25 11:11:09.582180 N | etcdmain: serving insecure client requests on 10.240.0.27:2379, this is strongly discouraged!
2016-04-25 11:11:09.582254 N | etcdserver: added member 902178d022a9e690 [http://10.240.0.25:2380] to cluster 955473fb1bac9a64
2016-04-25 11:11:09.582428 I | raft: 36850f32386ac2a [term: 1] received a MsgHeartbeat message with higher term from 902178d022a9e690 [term: 2]
2016-04-25 11:11:09.582454 I | raft: 36850f32386ac2a became follower at term 2
2016-04-25 11:11:09.582463 I | raft: raft.node: 36850f32386ac2a elected leader 902178d022a9e690 at term 2
2016-04-25 11:11:09.583714 N | membership: set the initial cluster version to 2.2
2016-04-25 11:11:09.586185 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.27:2379]} to cluster 955473fb1bac9a64
2016-04-25 11:11:10.079577 I | v2http: enabled capabilities for version 2.2.0
2016-04-25 11:11:12.583835 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-25 11:11:13.080762 I | v2http: enabled capabilities for version 2.3.0
2016-04-25 11:11:16.446213 I | etcdserver: start to snapshot (applied: 10029, lastsnap: 0)
2016-04-25 11:11:16.458956 I | etcdserver: saved snapshot at index 10029
2016-04-25 11:11:16.459814 I | etcdserver: compacted raft log at 5029
2016-04-25 11:11:17.065011 I | etcdserver: start to snapshot (applied: 20077, lastsnap: 10029)
2016-04-25 11:11:17.070297 I | etcdserver: saved snapshot at index 20077
2016-04-25 11:11:17.070498 I | etcdserver: compacted raft log at 15077
2016-04-25 11:11:17.755228 I | etcdserver: start to snapshot (applied: 30080, lastsnap: 20077)
2016-04-25 11:11:17.771807 I | etcdserver: saved snapshot at index 30080
2016-04-25 11:11:17.772293 I | etcdserver: compacted raft log at 25080
2016-04-25 11:11:18.457567 I | etcdserver: start to snapshot (applied: 40226, lastsnap: 30080)
2016-04-25 11:11:18.462290 I | etcdserver: saved snapshot at index 40226
2016-04-25 11:11:18.462594 I | etcdserver: compacted raft log at 35226
2016-04-25 11:11:19.154751 I | etcdserver: start to snapshot (applied: 50284, lastsnap: 40226)
2016-04-25 11:11:19.163133 I | etcdserver: saved snapshot at index 50284
2016-04-25 11:11:19.163357 I | etcdserver: compacted raft log at 45284
2016-04-25 11:11:19.862909 I | etcdserver: start to snapshot (applied: 60307, lastsnap: 50284)
2016-04-25 11:11:19.868494 I | etcdserver: saved snapshot at index 60307
2016-04-25 11:11:19.868631 I | etcdserver: compacted raft log at 55307
2016-04-25 11:11:20.576804 I | etcdserver: start to snapshot (applied: 70332, lastsnap: 60307)
2016-04-25 11:11:20.584643 I | etcdserver: saved snapshot at index 70332
2016-04-25 11:11:20.585035 I | etcdserver: compacted raft log at 65332
2016-04-25 11:11:21.282539 I | etcdserver: start to snapshot (applied: 80443, lastsnap: 70332)
2016-04-25 11:11:21.294770 I | etcdserver: saved snapshot at index 80443
2016-04-25 11:11:21.295094 I | etcdserver: compacted raft log at 75443
2016-04-25 11:11:22.147737 I | etcdserver: start to snapshot (applied: 90687, lastsnap: 80443)
2016-04-25 11:11:22.158353 I | etcdserver: saved snapshot at index 90687
2016-04-25 11:11:22.158607 I | etcdserver: compacted raft log at 85687
2016-04-25 11:11:23.019280 I | etcdserver: start to snapshot (applied: 100798, lastsnap: 90687)
2016-04-25 11:11:23.028129 I | etcdserver: saved snapshot at index 100798
2016-04-25 11:11:23.028544 I | etcdserver: compacted raft log at 95798
2016-04-25 11:11:24.022434 I | etcdserver: start to snapshot (applied: 110803, lastsnap: 100798)
2016-04-25 11:11:24.029073 I | etcdserver: saved snapshot at index 110803
2016-04-25 11:11:24.032274 I | etcdserver: compacted raft log at 105803
2016-04-25 11:11:24.866512 I | etcdserver: start to snapshot (applied: 120950, lastsnap: 110803)
2016-04-25 11:11:24.874339 I | etcdserver: saved snapshot at index 120950
2016-04-25 11:11:24.874626 I | etcdserver: compacted raft log at 115950
2016-04-25 11:11:25.630234 I | etcdserver: start to snapshot (applied: 131087, lastsnap: 120950)
2016-04-25 11:11:25.638145 I | etcdserver: saved snapshot at index 131087
2016-04-25 11:11:25.638321 I | etcdserver: compacted raft log at 126087
2016-04-25 11:11:26.396687 I | etcdserver: start to snapshot (applied: 141093, lastsnap: 131087)
2016-04-25 11:11:26.407767 I | etcdserver: saved snapshot at index 141093
2016-04-25 11:11:26.408137 I | etcdserver: compacted raft log at 136093
2016-04-25 11:11:27.287416 I | etcdserver: start to snapshot (applied: 151354, lastsnap: 141093)
2016-04-25 11:11:27.301294 I | etcdserver: saved snapshot at index 151354
2016-04-25 11:11:27.301536 I | etcdserver: compacted raft log at 146354
2016-04-25 11:11:27.982682 I | etcdserver: start to snapshot (applied: 161370, lastsnap: 151354)
2016-04-25 11:11:27.996684 I | etcdserver: saved snapshot at index 161370
2016-04-25 11:11:27.996833 I | etcdserver: compacted raft log at 156370
2016-04-25 11:11:28.750537 I | etcdserver: start to snapshot (applied: 171416, lastsnap: 161370)
2016-04-25 11:11:28.762507 I | etcdserver: saved snapshot at index 171416
2016-04-25 11:11:28.762908 I | etcdserver: compacted raft log at 166416
2016-04-25 11:11:29.603745 I | etcdserver: start to snapshot (applied: 181453, lastsnap: 171416)
2016-04-25 11:11:29.616054 I | etcdserver: saved snapshot at index 181453
2016-04-25 11:11:29.616371 I | etcdserver: compacted raft log at 176453
2016-04-25 11:11:30.365746 I | etcdserver: start to snapshot (applied: 191454, lastsnap: 181453)
2016-04-25 11:11:30.375442 I | etcdserver: saved snapshot at index 191454
2016-04-25 11:11:30.375709 I | etcdserver: compacted raft log at 186454
2016-04-25 11:11:31.197366 I | etcdserver: start to snapshot (applied: 201459, lastsnap: 191454)
2016-04-25 11:11:31.204699 I | etcdserver: saved snapshot at index 201459
2016-04-25 11:11:31.204905 I | etcdserver: compacted raft log at 196459
2016-04-25 11:11:31.404957 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031e5d.wal is created
2016-04-25 11:11:31.818298 I | etcdserver: start to snapshot (applied: 211542, lastsnap: 201459)
2016-04-25 11:11:31.824930 I | etcdserver: saved snapshot at index 211542
2016-04-25 11:11:31.825239 I | etcdserver: compacted raft log at 206542
2016-04-25 11:11:32.472208 I | etcdserver: start to snapshot (applied: 221581, lastsnap: 211542)
2016-04-25 11:11:32.480346 I | etcdserver: saved snapshot at index 221581
2016-04-25 11:11:32.480551 I | etcdserver: compacted raft log at 216581
2016-04-25 11:11:33.116471 I | etcdserver: start to snapshot (applied: 231688, lastsnap: 221581)
2016-04-25 11:11:33.145402 I | etcdserver: saved snapshot at index 231688
2016-04-25 11:11:33.146523 I | etcdserver: compacted raft log at 226688
2016-04-25 11:11:33.855818 I | etcdserver: start to snapshot (applied: 241854, lastsnap: 231688)
2016-04-25 11:11:33.862825 I | etcdserver: saved snapshot at index 241854
2016-04-25 11:11:33.863224 I | etcdserver: compacted raft log at 236854
2016-04-25 11:11:34.472057 I | etcdserver: start to snapshot (applied: 251866, lastsnap: 241854)
2016-04-25 11:11:34.484655 I | etcdserver: saved snapshot at index 251866
