unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461582675,88.348071,3710,3710,2.74,22.32,2.28,22.30,2.33,25.80,2.45,23.47
1461582676,62.552968,14940,18650,43.63,71.94,36.16,64.64,42.45,68.28,40.75,68.29
1461582677,63.200681,14623,33273,84.05,78.58,70.29,75.51,84.16,82.33,79.50,78.81
1461582678,64.649231,14370,47643,122.76,89.58,101.30,83.62,116.30,89.09,113.45,87.43
1461582679,66.919136,13931,61574,155.94,103.13,128.56,87.44,146.11,94.22,143.54,94.93
1461582680,63.110964,14894,76468,180.75,106.93,152.62,91.83,172.89,98.35,168.75,99.04
1461582681,73.974616,12222,88690,205.48,111.40,170.53,97.84,194.60,103.45,190.20,104.23
1461582682,82.001031,11410,100100,225.58,119.15,183.61,102.96,208.52,117.07,205.90,113.06
1461582683,92.510677,10125,110225,234.83,119.65,193.95,104.67,219.53,119.78,216.10,114.70
1461582684,75.822458,12229,122454,248.77,122.88,204.18,109.60,230.72,123.77,227.89,118.75
1461582685,69.731914,13371,135825,261.52,128.07,215.49,114.94,240.96,128.98,239.32,124.00
1461582686,82.705246,11083,146908,272.40,134.49,225.21,119.40,249.18,134.54,248.93,129.48
1461582687,65.917477,14162,161070,281.37,137.86,233.23,124.06,255.73,137.77,256.78,133.23
1461582688,69.376193,13210,174280,292.07,145.15,242.42,128.44,263.99,143.21,266.16,138.93
1461582689,74.793285,12381,186661,299.32,149.02,248.67,133.68,268.39,147.16,272.13,143.29
1461582690,72.815731,12468,199129,308.15,154.45,255.46,140.82,274.12,155.18,279.24,150.15
1461582691,64.918928,14626,213755,315.37,159.43,260.94,146.71,278.89,160.90,285.07,155.68
1461582692,59.855942,15760,229515,326.70,168.88,269.98,153.04,285.39,166.55,294.02,162.82
1461582693,63.069956,14952,244467,337.41,174.03,277.15,158.36,291.77,171.72,302.11,168.04
1461582694,61.670035,15183,259650,348.14,178.47,283.55,163.48,297.05,178.38,309.58,173.44
1461582695,65.469099,14218,273868,357.30,184.98,289.11,170.41,303.03,183.12,316.48,179.50
1461582696,72.935659,12463,286331,362.85,187.97,292.99,173.69,307.16,190.80,321.00,184.15
1461582697,68.395809,14046,300377,368.41,194.88,297.32,179.64,309.89,196.82,325.21,190.45
1461582698,66.922150,14405,314782,375.02,198.91,301.86,184.23,312.92,202.76,329.93,195.30
1461582699,65.268927,14460,329242,382.12,206.69,307.68,196.30,317.80,207.90,335.87,203.63
1461582700,67.221956,14212,343454,389.07,211.27,311.68,204.00,322.14,213.10,340.96,209.46
1461582701,71.615635,13081,356535,394.52,215.76,316.34,209.32,326.53,220.60,345.80,215.23
1461582702,66.575646,14351,370886,399.40,224.32,319.50,216.15,330.13,225.41,349.68,221.96
1461582703,73.837232,12921,383807,403.90,227.47,323.90,217.20,334.40,228.66,354.07,224.44
1461582704,68.430895,14057,397864,409.00,233.38,327.28,222.76,336.72,233.48,357.67,229.87
1461582705,69.606259,13378,411242,413.84,237.62,331.20,230.33,339.79,240.86,361.61,236.27
1461582706,71.850357,13251,424493,417.09,241.98,333.29,234.08,341.73,243.02,364.04,239.69
1461582707,70.708109,13627,438120,420.80,247.86,335.96,239.12,343.95,253.09,366.90,246.69
1461582708,69.627667,13204,451324,423.37,252.32,338.40,244.84,346.69,256.22,369.49,251.13
1461582709,74.227066,12725,464049,426.57,259.19,340.11,248.87,348.21,258.80,371.63,255.62
1461582710,66.670305,13929,477978,429.12,261.24,341.88,252.74,349.30,264.11,373.43,259.36
1461582711,70.031564,13373,491351,433.17,268.14,343.87,259.85,350.92,268.12,375.99,265.37
1461582712,66.709771,14142,505493,436.54,272.33,346.54,265.89,352.42,272.35,378.50,270.19
1461582713,67.717261,13634,519127,439.95,278.66,347.90,270.23,354.45,278.79,380.77,275.89
1461582714,70.513774,13726,532853,442.53,284.92,349.11,274.72,354.86,284.79,382.17,281.48
1461582715,65.441291,14080,546933,446.11,288.79,350.51,278.52,356.21,288.38,384.28,285.23
1461582716,70.459108,13693,560626,449.35,294.78,352.20,286.44,357.50,296.63,386.35,292.62
1461582717,72.272066,12839,573465,451.67,299.24,353.83,295.20,358.40,302.06,387.97,298.83
1461582718,73.701537,12920,586385,454.67,302.54,354.71,300.31,359.41,304.79,389.60,302.55
1461582719,68.406217,13958,600343,456.92,307.92,355.46,304.97,360.24,309.74,390.87,307.54
1461582720,70.600039,13101,613444,460.06,314.38,357.07,312.24,360.99,314.36,392.71,313.66
1461582721,67.916379,14119,627563,462.61,318.90,358.08,316.36,361.51,322.76,394.07,319.34
1461582722,67.359018,13990,641553,464.65,325.58,359.14,320.60,362.80,326.00,395.53,324.06
1461582723,72.891050,12744,654297,466.42,331.78,360.20,325.20,364.26,332.90,396.96,329.96
1461582724,69.448918,13760,668057,468.06,336.81,361.61,330.48,364.90,338.24,398.19,335.18
1461582725,73.327918,12968,681025,470.13,339.24,361.82,333.57,365.58,341.07,399.18,337.96
1461582726,66.878641,13318,694343,471.84,342.25,362.62,339.42,366.20,348.58,400.22,343.42
1461582727,68.253300,14231,708574,474.06,349.17,363.97,354.48,366.52,352.61,401.52,352.09
1461582728,66.887682,14138,722712,476.08,353.58,365.01,359.83,367.25,358.68,402.78,357.36
1461582729,74.708032,12562,735274,477.35,361.22,365.27,363.61,368.68,363.46,403.77,362.76
1461582730,74.043006,12722,747996,478.48,364.54,365.56,366.33,368.66,366.08,404.23,365.65
1461582731,67.844319,13162,761158,480.17,370.02,365.90,374.08,369.20,372.38,405.09,372.16
1461582732,73.366247,13255,774413,481.03,373.35,366.45,377.72,370.00,378.58,405.83,376.55
1461582733,69.403117,13765,788178,483.00,379.26,367.10,385.04,370.56,384.40,406.89,382.90
1461582734,68.420629,13249,801427,484.46,386.69,368.10,388.20,371.33,388.68,407.96,387.86
1461582735,71.150435,13024,814451,485.64,391.48,368.57,391.82,372.58,391.60,408.93,391.63
1461582736,77.545210,12708,827159,487.58,394.65,369.19,402.77,373.16,399.43,409.98,398.95
1461582737,73.147249,12922,840081,489.29,400.20,369.70,405.42,374.13,402.20,411.04,402.61
1461582738,72.375466,11695,851776,490.64,407.85,370.39,409.97,374.73,406.51,411.92,408.11
1461582739,83.147920,12887,864663,491.86,410.57,370.53,413.30,375.67,416.19,412.69,413.35
1461582740,69.107103,13531,878194,493.31,414.68,371.22,418.59,376.75,421.87,413.76,418.38
1461582741,77.143048,11850,890044,494.23,419.65,371.75,422.34,377.20,424.46,414.39,422.15
1461582742,82.022905,11494,901538,494.95,423.78,371.73,430.26,377.81,431.66,414.83,428.57
1461582743,81.181774,11591,913129,495.13,427.83,371.20,432.76,377.16,434.86,414.50,431.82
1461582744,83.156162,11009,924138,495.10,431.07,371.42,436.42,377.17,442.33,414.56,436.61
1461582745,77.353714,11839,935977,494.87,435.66,371.28,440.39,376.83,445.07,414.33,440.37
1461582746,83.549875,10474,946451,494.09,438.02,371.57,444.99,377.10,446.68,414.25,443.23
1461582747,83.550894,11484,957935,493.55,443.88,371.30,447.50,376.92,449.40,413.92,446.93
1461582748,80.489166,11293,969228,493.36,446.22,370.95,451.62,376.57,460.93,413.63,452.92
1461582749,75.798885,12375,981603,493.35,452.64,371.27,452.94,377.03,463.81,413.88,456.46
1461582750,76.113710,11721,993324,493.79,458.75,370.76,459.88,377.20,466.69,413.92,461.77
1461582751,72.326665,13638,1006962,495.17,466.10,371.19,467.35,377.46,475.42,414.61,469.62
1461582752,64.891294,13150,1020112,496.58,469.40,371.88,472.89,378.01,478.34,415.49,473.54
1461582753,68.342557,14950,1035062,497.25,472.52,372.03,477.02,378.50,485.74,415.93,478.43
1461582754,69.027545,12810,1047872,497.92,475.64,372.68,484.68,379.43,490.49,416.68,483.60
1461582755,72.684710,13536,1061408,499.28,481.48,372.70,489.27,380.00,496.53,417.33,489.09
1461582756,66.409955,13493,1074901,500.50,485.80,373.20,495.63,380.11,502.30,417.94,494.58
1461582757,73.009061,12768,1087669,501.60,490.15,373.04,500.00,380.74,505.46,418.46,498.54
1461582758,79.632597,12506,1100175,502.92,494.64,373.08,502.74,380.32,508.03,418.77,501.80
1461582759,66.089905,14036,1114211,503.75,502.76,373.11,505.48,380.72,514.10,419.19,507.45
1461582760,75.574276,12336,1126547,504.67,504.18,373.86,509.78,380.70,518.15,419.74,510.70
1461582761,76.772370,11326,1137873,505.57,509.70,374.49,513.62,380.68,522.21,420.25,515.18
1461582762,82.215170,11894,1149767,505.88,518.01,374.39,515.80,381.28,526.39,420.52,520.07
1461582763,73.939822,12711,1162478,505.52,519.35,374.65,521.80,381.59,529.40,420.59,523.52
1461582764,73.381903,13257,1175735,507.13,525.10,375.07,527.50,382.05,530.51,421.42,527.70
1461582765,70.195717,13304,1189039,508.49,530.94,375.47,533.82,382.00,541.25,421.99,535.34
1461582766,72.731187,12950,1201989,509.32,538.65,375.85,535.38,382.49,543.94,422.55,539.32
1461582767,69.410594,14173,1216162,510.24,542.88,377.03,542.94,382.76,546.59,423.34,544.14
1461582768,75.188947,12462,1228624,511.61,545.23,377.62,547.45,382.95,551.78,424.06,548.15
1461582769,68.965878,13493,1242117,512.12,549.64,377.70,552.83,383.31,557.95,424.38,553.47
1461582770,77.962555,11230,1253347,513.16,560.46,378.07,556.37,383.61,563.57,424.95,560.13
1461582771,75.791332,13178,1266525,513.38,562.82,377.89,559.76,383.81,565.82,425.03,562.80
1461582772,81.598070,10571,1277096,513.64,563.45,378.29,563.28,384.33,571.33,425.42,566.02
1461582773,74.784123,11998,1289094,513.54,569.63,378.46,568.19,384.24,576.35,425.41,571.39
1461582774,82.240651,12629,1301723,513.72,571.94,378.60,571.50,384.42,581.81,425.58,575.08
1461582775,76.394875,12137,1313860,513.08,577.37,378.69,578.62,384.45,589.86,425.41,581.95
1461582776,77.100412,11391,1325251,512.74,579.61,378.88,582.67,384.58,591.06,425.40,584.45
1461582777,76.184226,13221,1338472,512.89,586.68,378.73,588.38,384.45,598.06,425.36,591.04
1461582778,70.395389,12574,1351046,513.21,592.68,379.19,591.05,384.74,600.10,425.71,594.61
1461582779,73.109939,13407,1364453,514.11,599.11,379.44,595.62,385.02,602.48,426.19,599.07
1461582780,71.427598,13129,1377582,514.60,601.84,379.86,600.74,384.97,610.24,426.48,604.27
1461582781,70.647366,12366,1389948,515.32,608.26,379.92,608.03,385.52,614.20,426.92,610.16
1461582782,65.673096,15101,1405049,516.48,615.42,379.91,613.30,386.04,621.03,427.48,616.58
