2016-04-25 11:03:36.520168 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 11:03:36.520238 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 11:03:36.520245 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 11:03:36.520250 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 11:03:36.520256 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 11:03:36.520323 I | etcdmain: listening for peers on http://10.240.0.22:2380
2016-04-25 11:03:36.520346 I | etcdmain: listening for client requests on 10.240.0.22:2379
2016-04-25 11:03:36.525827 I | etcdserver: name = etcd-2
2016-04-25 11:03:36.525853 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 11:03:36.525864 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 11:03:36.525871 I | etcdserver: heartbeat = 100ms
2016-04-25 11:03:36.525879 I | etcdserver: election = 1000ms
2016-04-25 11:03:36.525886 I | etcdserver: snapshot count = 10000
2016-04-25 11:03:36.525900 I | etcdserver: advertise client URLs = http://10.240.0.22:2379
2016-04-25 11:03:36.525910 I | etcdserver: initial advertise peer URLs = http://10.240.0.22:2380
2016-04-25 11:03:36.525927 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-04-25 11:03:36.529753 I | etcdserver: starting member 21d3c625100d5241 in cluster e05fb31d21672c21
2016-04-25 11:03:36.529826 I | raft: 21d3c625100d5241 became follower at term 0
2016-04-25 11:03:36.529838 I | raft: newRaft 21d3c625100d5241 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 11:03:36.529844 I | raft: 21d3c625100d5241 became follower at term 1
2016-04-25 11:03:36.529991 I | etcdserver: enabling compression cgzip-lv2
2016-04-25 11:03:36.549684 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-04-25 11:03:36.549856 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 11:03:36.552526 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-04-25 11:03:36.552829 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 11:03:36.552894 N | etcdserver: added local member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-04-25 11:03:36.553530 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 11:03:36.553559 N | etcdmain: serving insecure client requests on 10.240.0.22:2379, this is strongly discouraged!
2016-04-25 11:03:36.553659 N | etcdserver: added member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-04-25 11:03:37.030195 I | raft: 21d3c625100d5241 is starting a new election at term 1
2016-04-25 11:03:37.030259 I | raft: 21d3c625100d5241 became candidate at term 2
2016-04-25 11:03:37.030267 I | raft: 21d3c625100d5241 received vote from 21d3c625100d5241 at term 2
2016-04-25 11:03:37.030277 I | raft: 21d3c625100d5241 [logterm: 1, index: 3] sent vote request to 2087a91b2ccc6d93 at term 2
2016-04-25 11:03:37.030287 I | raft: 21d3c625100d5241 [logterm: 1, index: 3] sent vote request to 3e07e8086be420d2 at term 2
2016-04-25 11:03:37.032619 I | raft: 21d3c625100d5241 received vote rejection from 2087a91b2ccc6d93 at term 2
2016-04-25 11:03:37.032639 I | raft: 21d3c625100d5241 [quorum:2] has received 1 votes and 1 vote rejections
2016-04-25 11:03:37.537318 I | rafthttp: the connection with 3e07e8086be420d2 became active
2016-04-25 11:03:37.727490 I | raft: 21d3c625100d5241 [term: 2] received a MsgVote message with higher term from 2087a91b2ccc6d93 [term: 3]
2016-04-25 11:03:37.727576 I | raft: 21d3c625100d5241 became follower at term 3
2016-04-25 11:03:37.727618 I | raft: 21d3c625100d5241 [logterm: 1, index: 3, vote: 0] voted for 2087a91b2ccc6d93 [logterm: 1, index: 3] at term 3
2016-04-25 11:03:37.729411 I | raft: raft.node: 21d3c625100d5241 elected leader 2087a91b2ccc6d93 at term 3
2016-04-25 11:03:37.733026 I | etcdserver: published {Name:etcd-2 ClientURLs:[http://10.240.0.22:2379]} to cluster e05fb31d21672c21
2016-04-25 11:03:37.734235 N | membership: set the initial cluster version to 2.3
2016-04-25 11:03:38.051571 I | v2http: enabled capabilities for version 2.3.0
2016-04-25 11:03:44.356138 I | etcdserver: start to snapshot (applied: 10050, lastsnap: 0)
2016-04-25 11:03:44.367962 I | etcdserver: saved snapshot at index 10050
2016-04-25 11:03:44.368134 I | etcdserver: compacted raft log at 5050
2016-04-25 11:03:44.946180 I | etcdserver: start to snapshot (applied: 20105, lastsnap: 10050)
2016-04-25 11:03:44.952650 I | etcdserver: saved snapshot at index 20105
2016-04-25 11:03:44.952873 I | etcdserver: compacted raft log at 15105
2016-04-25 11:03:45.576497 I | etcdserver: start to snapshot (applied: 30112, lastsnap: 20105)
2016-04-25 11:03:45.599202 I | etcdserver: saved snapshot at index 30112
2016-04-25 11:03:45.599409 I | etcdserver: compacted raft log at 25112
2016-04-25 11:03:46.401507 I | etcdserver: start to snapshot (applied: 40764, lastsnap: 30112)
2016-04-25 11:03:46.411317 I | etcdserver: saved snapshot at index 40764
2016-04-25 11:03:46.411548 I | etcdserver: compacted raft log at 35764
2016-04-25 11:03:47.063524 I | etcdserver: start to snapshot (applied: 50815, lastsnap: 40764)
2016-04-25 11:03:47.078951 I | etcdserver: saved snapshot at index 50815
2016-04-25 11:03:47.079274 I | etcdserver: compacted raft log at 45815
2016-04-25 11:03:47.745179 I | etcdserver: start to snapshot (applied: 60821, lastsnap: 50815)
2016-04-25 11:03:47.767572 I | etcdserver: saved snapshot at index 60821
2016-04-25 11:03:47.767984 I | etcdserver: compacted raft log at 55821
2016-04-25 11:03:48.435649 I | etcdserver: start to snapshot (applied: 71008, lastsnap: 60821)
2016-04-25 11:03:48.458950 I | etcdserver: saved snapshot at index 71008
2016-04-25 11:03:48.459551 I | etcdserver: compacted raft log at 66008
2016-04-25 11:03:49.118922 I | etcdserver: start to snapshot (applied: 81122, lastsnap: 71008)
2016-04-25 11:03:49.127821 I | etcdserver: saved snapshot at index 81122
2016-04-25 11:03:49.128360 I | etcdserver: compacted raft log at 76122
2016-04-25 11:03:49.771527 I | etcdserver: start to snapshot (applied: 91328, lastsnap: 81122)
2016-04-25 11:03:49.782694 I | etcdserver: saved snapshot at index 91328
2016-04-25 11:03:49.783021 I | etcdserver: compacted raft log at 86328
2016-04-25 11:03:50.450840 I | etcdserver: start to snapshot (applied: 101339, lastsnap: 91328)
2016-04-25 11:03:50.462944 I | etcdserver: saved snapshot at index 101339
2016-04-25 11:03:50.463139 I | etcdserver: compacted raft log at 96339
2016-04-25 11:03:51.100851 I | etcdserver: start to snapshot (applied: 111368, lastsnap: 101339)
2016-04-25 11:03:51.123736 I | etcdserver: saved snapshot at index 111368
2016-04-25 11:03:51.126900 I | etcdserver: compacted raft log at 106368
2016-04-25 11:03:51.790411 I | etcdserver: start to snapshot (applied: 121871, lastsnap: 111368)
2016-04-25 11:03:51.799513 I | etcdserver: saved snapshot at index 121871
2016-04-25 11:03:51.799711 I | etcdserver: compacted raft log at 116871
2016-04-25 11:03:52.459353 I | etcdserver: start to snapshot (applied: 132169, lastsnap: 121871)
2016-04-25 11:03:52.468575 I | etcdserver: saved snapshot at index 132169
2016-04-25 11:03:52.468790 I | etcdserver: compacted raft log at 127169
