unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461582223,88.110924,4051,4051,2.50,33.77,2.99,23.44,2.16,19.94,2.55,25.72
1461582224,56.307381,16441,20492,39.47,71.02,39.15,66.64,43.94,66.33,40.85,68.00
1461582225,63.611557,14710,35202,79.44,80.66,76.30,76.44,87.53,75.87,81.09,77.66
1461582226,64.597770,14224,49426,111.52,92.34,105.48,84.20,116.96,85.82,111.32,87.45
1461582227,61.705893,14805,64231,143.06,94.56,133.91,90.70,146.01,88.17,140.99,91.14
1461582228,63.636265,14784,79015,172.14,101.77,158.89,99.37,168.45,95.68,166.49,98.94
1461582229,59.995528,15584,94599,197.15,104.39,178.45,103.08,189.53,102.26,188.38,103.24
1461582230,63.187526,14684,109283,218.22,110.74,195.94,109.24,206.98,107.43,207.05,109.14
1461582231,59.837125,15577,124860,237.47,120.88,212.29,117.10,221.94,116.42,223.90,118.13
1461582232,61.742137,14843,139703,255.25,122.96,226.17,127.17,235.24,121.15,238.89,123.76
1461582233,69.684571,13250,152953,268.70,131.80,237.16,129.58,245.26,124.89,250.37,128.76
1461582234,72.700169,12780,165733,279.43,135.30,246.95,136.28,252.38,128.32,259.59,133.30
1461582235,90.426301,10047,175780,288.74,142.00,256.53,141.77,256.70,134.00,267.32,139.26
1461582236,82.216495,11481,187261,294.12,146.64,264.72,145.76,260.34,138.14,273.06,143.51
1461582237,78.436276,11420,198681,301.59,151.32,269.86,151.00,264.82,143.65,278.76,148.66
1461582238,72.251703,12997,211678,307.71,157.39,273.01,155.74,268.49,146.24,283.07,153.12
1461582239,64.532900,14466,226144,317.85,161.32,278.99,159.65,274.67,161.78,290.50,160.92
1461582240,68.489399,13585,239729,326.86,167.19,285.76,167.56,279.98,166.71,297.53,167.15
1461582241,76.022652,12145,251874,334.02,172.00,291.99,171.31,283.72,173.22,303.24,172.18
1461582242,72.542327,12860,264734,339.63,174.80,294.75,173.76,287.20,174.32,307.19,174.29
1461582243,64.689013,14555,279289,347.22,184.31,299.85,181.20,290.95,182.39,312.67,182.63
