unix_ts,avg_latency_ms,throughput
1461582223,88.110924,4051
1461582224,56.307381,16441
1461582225,63.611557,14710
1461582226,64.597770,14224
1461582227,61.705893,14805
1461582228,63.636265,14784
1461582229,59.995528,15584
1461582230,63.187526,14684
1461582231,59.837125,15577
1461582232,61.742137,14843
1461582233,69.684571,13250
1461582234,72.700169,12780
1461582235,90.426301,10047
1461582236,82.216495,11481
1461582237,78.436276,11420
1461582238,72.251703,12997
1461582239,64.532900,14466
1461582240,68.489399,13585
1461582241,76.022652,12145
1461582242,72.542327,12860
1461582243,64.689013,14555
1461582244,58.849816,16058
1461582245,63.264577,14909
1461582246,69.786607,13445
1461582247,62.114357,15247
1461582248,65.271153,14466
1461582249,63.057006,15166
1461582250,64.347373,14525
1461582251,75.134604,12085
1461582252,70.345481,13717
1461582253,68.024197,14290
1461582254,70.482088,13551
1461582255,73.098529,12666
1461582256,66.451731,14188
1461582257,66.366482,14391
1461582258,70.026025,13527
1461582259,69.439998,13668
1461582260,71.561580,13211
1461582261,68.839235,13646
1461582262,69.832222,13550
1461582263,68.116940,13896
1461582264,66.559397,13980
1461582265,89.264016,10502
1461582266,64.947509,14157
1461582267,71.052585,13176
1461582268,71.923106,13069
1461582269,71.192455,13469
1461582270,68.078502,13624
1461582271,67.371978,14426
1461582272,65.861702,14076
1461582273,73.926215,12804
1461582274,77.320308,12425
1461582275,65.839573,14267
1461582276,71.655940,13331
1461582277,74.224352,12490
1461582278,73.414599,12671
1461582279,72.504953,13119
1461582280,75.053474,12892
1461582281,79.566581,11201
1461582282,70.204907,13642
1461582283,73.966691,12508
1461582284,71.834211,13098
1461582285,69.886124,14114
1461582286,68.741990,13391
1461582287,72.728030,13351
1461582288,74.672369,12583
1461582289,72.496250,12433
1461582290,69.359411,13930
1461582291,73.192861,13101
1461582292,69.060311,13181
1461582293,73.430754,12779
1461582294,74.331021,12152
1461582295,73.401897,13124
1461582296,79.504719,11559
1461582297,80.992577,11453
1461582298,73.498458,12966
1461582299,69.525190,12582
1461582300,75.507460,12690
1461582301,76.208482,11902
1461582302,73.874169,12722
1461582303,66.777818,13845
1461582304,67.374753,14102
1461582305,73.397977,11982
1461582306,78.829209,12853
1461582307,79.013261,11991
1461582308,67.526929,12806
1461582309,77.004067,12924
1461582310,67.394129,13449
1461582311,73.643647,12945
1461582312,69.237065,12862
1461582313,73.021533,13614
1461582314,71.004945,13455
1461582315,83.057750,11524
1461582316,72.905197,12680
1461582317,77.024610,11905
1461582318,72.512631,13197
1461582319,73.602725,12378
1461582320,69.892915,13278
1461582321,77.731149,12685
1461582322,77.017125,12265
1461582323,65.004008,14146
1461582324,74.937434,13076
1461582325,71.764081,11870
1461582326,86.290267,11871
1461582327,73.628269,12632
1461582328,76.866288,12161
1461582329,72.769102,12280
1461582330,68.787799,13796
1461582331,76.759050,12909
1461582332,59.301820,14791
1461582333,69.320343,14258
1461582334,69.797363,12417
1461582335,65.120327,15211
1461582336,78.232821,12367
1461582337,62.632479,13417
1461582338,72.706043,12951
1461582339,77.035385,13243
1461582340,84.690534,11094
1461582341,61.491724,14539
1461582342,77.273831,11740
1461582343,66.965968,14315
1461582344,67.412268,13630
1461582345,68.703818,13942
1461582346,66.287571,13948
1461582347,73.695706,13848
1461582348,63.868062,13893
1461582349,70.229278,13623
1461582350,67.497744,14404
1461582351,64.790839,13154
1461582352,79.514713,12734
1461582353,70.034023,12482
1461582354,79.531920,12294
1461582355,70.634378,12413
1461582356,76.429278,11602
1461582357,77.006034,12486
1461582358,80.999166,11135
1461582359,78.830340,11202
1461582360,78.259021,10937
1461582361,73.103938,13419
1461582362,81.803460,11291
1461582363,72.448054,13389
1461582364,67.945115,13500
1461582365,65.894464,14389
1461582366,65.410258,13702
1461582367,70.094501,13625
1461582368,66.550343,13801
1461582369,63.051978,15017
1461582370,66.319536,13659
1461582371,67.255218,14016
1461582372,67.148602,13294
1461582373,72.491039,13602
1461582374,64.699009,9314
