unix_ts,avg_latency_ms,throughput
1461582675,88.348071,3710
1461582676,62.552968,14940
1461582677,63.200681,14623
1461582678,64.649231,14370
1461582679,66.919136,13931
1461582680,63.110964,14894
1461582681,73.974616,12222
1461582682,82.001031,11410
1461582683,92.510677,10125
1461582684,75.822458,12229
1461582685,69.731914,13371
1461582686,82.705246,11083
1461582687,65.917477,14162
1461582688,69.376193,13210
1461582689,74.793285,12381
1461582690,72.815731,12468
1461582691,64.918928,14626
1461582692,59.855942,15760
1461582693,63.069956,14952
1461582694,61.670035,15183
1461582695,65.469099,14218
1461582696,72.935659,12463
1461582697,68.395809,14046
1461582698,66.922150,14405
1461582699,65.268927,14460
1461582700,67.221956,14212
1461582701,71.615635,13081
1461582702,66.575646,14351
1461582703,73.837232,12921
1461582704,68.430895,14057
1461582705,69.606259,13378
1461582706,71.850357,13251
1461582707,70.708109,13627
1461582708,69.627667,13204
1461582709,74.227066,12725
1461582710,66.670305,13929
1461582711,70.031564,13373
1461582712,66.709771,14142
1461582713,67.717261,13634
1461582714,70.513774,13726
1461582715,65.441291,14080
1461582716,70.459108,13693
1461582717,72.272066,12839
1461582718,73.701537,12920
1461582719,68.406217,13958
1461582720,70.600039,13101
1461582721,67.916379,14119
1461582722,67.359018,13990
1461582723,72.891050,12744
1461582724,69.448918,13760
1461582725,73.327918,12968
1461582726,66.878641,13318
1461582727,68.253300,14231
1461582728,66.887682,14138
1461582729,74.708032,12562
1461582730,74.043006,12722
1461582731,67.844319,13162
1461582732,73.366247,13255
1461582733,69.403117,13765
1461582734,68.420629,13249
1461582735,71.150435,13024
1461582736,77.545210,12708
1461582737,73.147249,12922
1461582738,72.375466,11695
1461582739,83.147920,12887
1461582740,69.107103,13531
1461582741,77.143048,11850
1461582742,82.022905,11494
1461582743,81.181774,11591
1461582744,83.156162,11009
1461582745,77.353714,11839
1461582746,83.549875,10474
1461582747,83.550894,11484
1461582748,80.489166,11293
1461582749,75.798885,12375
1461582750,76.113710,11721
1461582751,72.326665,13638
1461582752,64.891294,13150
1461582753,68.342557,14950
1461582754,69.027545,12810
1461582755,72.684710,13536
1461582756,66.409955,13493
1461582757,73.009061,12768
1461582758,79.632597,12506
1461582759,66.089905,14036
1461582760,75.574276,12336
1461582761,76.772370,11326
1461582762,82.215170,11894
1461582763,73.939822,12711
1461582764,73.381903,13257
1461582765,70.195717,13304
1461582766,72.731187,12950
1461582767,69.410594,14173
1461582768,75.188947,12462
1461582769,68.965878,13493
1461582770,77.962555,11230
1461582771,75.791332,13178
1461582772,81.598070,10571
1461582773,74.784123,11998
1461582774,82.240651,12629
1461582775,76.394875,12137
1461582776,77.100412,11391
1461582777,76.184226,13221
1461582778,70.395389,12574
1461582779,73.109939,13407
1461582780,71.427598,13129
1461582781,70.647366,12366
1461582782,65.673096,15101
1461582783,73.563352,12946
1461582784,70.539528,11948
1461582785,68.878643,14836
1461582786,71.135795,12860
1461582787,66.238223,14182
1461582788,67.928004,13172
1461582789,70.707059,13765
1461582790,70.705497,13502
1461582791,76.364973,11196
1461582792,73.650381,13784
1461582793,98.215353,9542
1461582794,59.523491,14823
1461582795,72.566482,12641
1461582796,68.583642,14542
1461582797,69.148601,13230
1461582798,76.750799,11754
1461582799,73.902051,12817
1461582800,78.987682,12805
1461582801,71.288848,11398
1461582802,89.461873,11313
1461582803,93.442231,10017
1461582804,78.530270,10245
1461582805,84.329920,12090
1461582806,83.012581,11048
1461582807,80.927918,11430
1461582808,73.304021,12528
1461582809,90.038268,10168
1461582810,80.410900,10994
1461582811,69.972408,13130
1461582812,71.107217,12971
1461582813,68.196092,12160
1461582814,80.635206,13356
1461582815,63.999664,12923
1461582816,83.145081,12206
1461582817,77.131286,12009
1461582818,76.556608,12087
1461582819,65.779568,12572
1461582820,83.150105,11248
1461582821,90.898129,11488
1461582822,64.383043,12252
1461582823,73.608250,12955
1461582824,70.974787,12641
1461582825,72.418546,13891
1461582826,70.380244,13010
1461582827,77.408702,12648
1461582828,69.005775,13865
1461582829,69.503704,13680
1461582830,81.066439,8283
