unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1461583365,etcd,R (running),21219,21086,0.00 %,7.4 MB,130 MB,64,5,0.00,7368000,130352000
1461583366,etcd,S (sleeping),21219,21086,6.00 %,19 MB,11 GB,64,14,6.00,18760000,11101088000
1461583367,etcd,S (sleeping),21219,21086,3.98 %,19 MB,11 GB,64,14,3.98,18760000,11103204000
1461583368,etcd,S (sleeping),21219,21086,2.99 %,19 MB,11 GB,64,14,2.99,18760000,11103204000
1461583369,etcd,S (sleeping),21219,21086,2.49 %,19 MB,11 GB,64,14,2.49,18760000,11103204000
1461583370,etcd,S (sleeping),21219,21086,2.20 %,19 MB,11 GB,64,14,2.20,18760000,11103204000
1461583371,etcd,S (sleeping),21219,21086,2.16 %,19 MB,11 GB,64,14,2.16,18760000,11103204000
1461583372,etcd,S (sleeping),21219,21086,1.85 %,19 MB,11 GB,64,14,1.85,18760000,11103204000
1461583373,etcd,S (sleeping),21219,21086,1.87 %,19 MB,11 GB,64,14,1.87,18760000,11104260000
1461583374,etcd,S (sleeping),21219,21086,1.77 %,19 MB,11 GB,64,14,1.77,19068000,11104260000
1461583375,etcd,R (running),21219,21086,1.80 %,19 MB,11 GB,64,14,1.80,19068000,11104260000
1461583376,etcd,S (sleeping),21219,21086,1.72 %,19 MB,11 GB,64,14,1.72,19360000,11105316000
1461583377,etcd,S (sleeping),21219,21086,1.66 %,20 MB,11 GB,64,14,1.66,19564000,11105316000
1461583378,etcd,S (sleeping),21219,21086,1.69 %,20 MB,11 GB,64,14,1.69,19564000,11105316000
1461583379,etcd,S (sleeping),21219,21086,1.64 %,20 MB,11 GB,64,14,1.64,19564000,11105316000
1461583380,etcd,S (sleeping),21219,21086,1.60 %,20 MB,11 GB,64,14,1.60,19564000,11106372000
1461583381,etcd,S (sleeping),21219,21086,1.62 %,20 MB,11 GB,64,14,1.62,19996000,11106372000
1461583382,etcd,S (sleeping),21219,21086,1.64 %,20 MB,11 GB,64,14,1.64,19996000,11106372000
1461583383,etcd,S (sleeping),21219,21086,1.61 %,20 MB,11 GB,64,14,1.61,19996000,11107432000
1461583384,etcd,S (sleeping),21219,21086,1.58 %,24 MB,11 GB,64,14,1.58,23812000,11107432000
1461583385,etcd,S (sleeping),21219,21086,1.55 %,24 MB,11 GB,64,14,1.55,23812000,11108488000
1461583386,etcd,S (sleeping),21219,21086,1.62 %,24 MB,11 GB,64,14,1.62,24076000,11108488000
1461583387,etcd,S (sleeping),21219,21086,1.54 %,24 MB,11 GB,64,14,1.54,24076000,11108488000
1461583388,etcd,S (sleeping),21219,21086,4.86 %,60 MB,11 GB,64,14,4.86,59656000,11149712000
1461583389,etcd,S (sleeping),21219,21086,9.98 %,62 MB,11 GB,64,14,9.98,61940000,11149712000
1461583390,etcd,D (disk sleep),21219,21086,15.13 %,67 MB,11 GB,64,14,15.13,67444000,11154996000
1461583391,etcd,S (sleeping),21219,21086,20.11 %,69 MB,11 GB,64,14,20.11,68812000,11154996000
1461583392,etcd,R (running),21219,21086,24.28 %,71 MB,11 GB,64,14,24.28,71364000,11158168000
1461583393,etcd,S (sleeping),21219,21086,28.47 %,73 MB,11 GB,64,14,28.47,73148000,11158168000
1461583394,etcd,S (sleeping),21219,21086,32.31 %,87 MB,11 GB,64,14,32.31,87196000,11166624000
1461583395,etcd,R (running),21219,21086,36.12 %,89 MB,11 GB,64,15,36.12,89176000,11240356000
1461583396,etcd,S (sleeping),21219,21086,39.68 %,89 MB,11 GB,64,15,39.68,89176000,11241412000
1461583397,etcd,S (sleeping),21219,21086,43.06 %,90 MB,11 GB,64,15,43.06,90028000,11241412000
1461583398,etcd,R (running),21219,21086,46.02 %,91 MB,11 GB,64,15,46.02,91260000,11243524000
1461583399,etcd,D (disk sleep),21219,21086,48.64 %,97 MB,11 GB,64,15,48.64,96584000,11247752000
1461583400,etcd,R (running),21219,21086,51.43 %,102 MB,11 GB,64,15,51.43,101500000,11251980000
1461583401,etcd,S (sleeping),21219,21086,53.91 %,102 MB,11 GB,64,15,53.91,102092000,11251980000
1461583402,etcd,R (running),21219,21086,56.39 %,103 MB,11 GB,64,15,56.39,102824000,11253040000
1461583403,etcd,R (running),21219,21086,58.93 %,110 MB,11 GB,64,15,58.93,109832000,11260436000
1461583404,etcd,S (sleeping),21219,21086,61.01 %,112 MB,11 GB,64,15,61.01,111952000,11260436000
1461583405,etcd,S (sleeping),21219,21086,63.13 %,112 MB,11 GB,64,15,63.13,112516000,11260436000
1461583406,etcd,S (sleeping),21219,21086,65.10 %,117 MB,11 GB,64,15,65.10,116780000,11263608000
1461583407,etcd,S (sleeping),21219,21086,66.95 %,118 MB,11 GB,64,15,66.95,117624000,11263608000
1461583408,etcd,S (sleeping),21219,21086,68.68 %,120 MB,11 GB,64,15,68.68,119492000,11265724000
1461583409,etcd,S (sleeping),21219,21086,70.34 %,124 MB,11 GB,64,15,70.34,123812000,11266780000
1461583410,etcd,S (sleeping),21219,21086,71.91 %,125 MB,11 GB,64,15,71.91,125108000,11268892000
1461583411,etcd,R (running),21219,21086,73.38 %,128 MB,11 GB,64,15,73.38,128340000,11272064000
1461583412,etcd,S (sleeping),21219,21086,74.99 %,131 MB,11 GB,64,15,74.99,130928000,11273120000
1461583413,etcd,R (running),21219,21086,76.45 %,138 MB,11 GB,64,15,76.45,138136000,11280520000
1461583414,etcd,S (sleeping),21219,21086,77.74 %,139 MB,11 GB,64,15,77.74,138804000,11280520000
1461583415,etcd,S (sleeping),21219,21086,79.25 %,143 MB,11 GB,64,15,79.25,142620000,11282636000
1461583416,etcd,S (sleeping),21219,21086,80.49 %,144 MB,11 GB,64,15,80.49,144360000,11283692000
1461583417,etcd,S (sleeping),21219,21086,81.70 %,145 MB,11 GB,64,15,81.70,144676000,11284748000
1461583418,etcd,S (sleeping),21219,21086,83.11 %,147 MB,11 GB,64,15,83.11,146676000,11285804000
1461583419,etcd,R (running),21219,21086,84.26 %,149 MB,11 GB,64,15,84.26,148588000,11290032000
1461583420,etcd,S (sleeping),21219,21086,85.43 %,149 MB,11 GB,64,15,85.43,149100000,11290032000
1461583421,etcd,S (sleeping),21219,21086,86.60 %,153 MB,11 GB,64,15,86.60,153260000,11291124000
1461583422,etcd,S (sleeping),21219,21086,87.78 %,158 MB,11 GB,64,15,87.78,158052000,11297464000
1461583423,etcd,S (sleeping),21219,21086,88.73 %,159 MB,11 GB,64,15,88.73,159220000,11297464000
1461583424,etcd,S (sleeping),21219,21086,89.97 %,166 MB,11 GB,64,15,89.97,166104000,11299580000
1461583425,etcd,S (sleeping),21219,21086,91.09 %,167 MB,11 GB,64,15,91.09,167268000,11300636000
1461583426,etcd,R (running),21219,21086,92.13 %,170 MB,11 GB,64,15,92.13,170112000,11303004000
1461583427,etcd,S (sleeping),21219,21086,93.10 %,171 MB,11 GB,64,15,93.10,171244000,11307232000
1461583428,etcd,R (running),21219,21086,93.89 %,174 MB,11 GB,64,15,93.89,174160000,11307232000
1461583429,etcd,R (running),21219,21086,94.59 %,179 MB,11 GB,64,15,94.59,179072000,11311460000
1461583430,etcd,S (sleeping),21219,21086,95.41 %,182 MB,11 GB,64,15,95.41,182152000,11315688000
1461583431,etcd,S (sleeping),21219,21086,96.16 %,185 MB,11 GB,64,16,96.16,185076000,11391536000
1461583432,etcd,S (sleeping),21219,21086,96.93 %,187 MB,11 GB,64,16,96.93,186560000,11398936000
1461583433,etcd,S (sleeping),21219,21086,97.46 %,189 MB,11 GB,64,16,97.46,188612000,11398936000
1461583434,etcd,R (running),21219,21086,98.25 %,189 MB,11 GB,64,16,98.25,189088000,11398936000
1461583435,etcd,S (sleeping),21219,21086,99.09 %,195 MB,11 GB,64,16,99.09,194796000,11398936000
1461583436,etcd,S (sleeping),21219,21086,99.86 %,195 MB,11 GB,64,16,99.86,195388000,11398936000
1461583437,etcd,R (running),21219,21086,100.44 %,197 MB,11 GB,64,16,100.44,197216000,11398936000
1461583438,etcd,S (sleeping),21219,21086,101.28 %,201 MB,11 GB,64,16,101.28,200668000,11401048000
1461583439,etcd,S (sleeping),21219,21086,101.81 %,202 MB,11 GB,64,16,101.81,201824000,11402104000
1461583440,etcd,S (sleeping),21219,21086,102.66 %,205 MB,11 GB,64,16,102.66,204796000,11404220000
1461583441,etcd,D (disk sleep),21219,21086,103.36 %,212 MB,11 GB,64,16,103.36,211500000,11410560000
1461583442,etcd,D (disk sleep),21219,21086,103.93 %,212 MB,11 GB,64,16,103.93,211500000,11410560000
1461583443,etcd,S (sleeping),21219,21086,104.63 %,217 MB,11 GB,64,16,104.63,216696000,11414836000
1461583444,etcd,S (sleeping),21219,21086,105.05 %,218 MB,11 GB,64,16,105.05,217836000,11415896000
1461583445,etcd,S (sleeping),21219,21086,105.46 %,220 MB,11 GB,64,16,105.46,220048000,11416952000
1461583446,etcd,S (sleeping),21219,21086,106.10 %,227 MB,11 GB,64,16,106.10,227040000,11423548000
1461583447,etcd,S (sleeping),21219,21086,106.36 %,228 MB,11 GB,64,16,106.36,228360000,11426720000
1461583448,etcd,S (sleeping),21219,21086,106.85 %,229 MB,11 GB,64,16,106.85,228920000,11426720000
1461583449,etcd,S (sleeping),21219,21086,107.15 %,230 MB,11 GB,64,16,107.15,230324000,11426720000
1461583450,etcd,S (sleeping),21219,21086,107.49 %,233 MB,11 GB,64,16,107.49,233340000,11432004000
1461583451,etcd,S (sleeping),21219,21086,108.22 %,238 MB,11 GB,64,16,108.22,238192000,11432004000
1461583452,etcd,S (sleeping),21219,21086,108.56 %,238 MB,11 GB,64,16,108.56,238192000,11432004000
1461583453,etcd,S (sleeping),21219,21086,108.80 %,238 MB,11 GB,64,16,108.80,238192000,11432004000
1461583454,etcd,R (running),21219,21086,109.48 %,246 MB,11 GB,64,16,109.48,246104000,11439404000
1461583455,etcd,S (sleeping),21219,21086,109.99 %,252 MB,11 GB,64,16,109.99,251984000,11441776000
1461583456,etcd,S (sleeping),21219,21086,110.47 %,253 MB,11 GB,64,16,110.47,252592000,11441776000
1461583457,etcd,S (sleeping),21219,21086,110.85 %,257 MB,11 GB,64,16,110.85,257028000,11447060000
1461583458,etcd,S (sleeping),21219,21086,111.45 %,257 MB,11 GB,64,16,111.45,257028000,11447060000
1461583459,etcd,S (sleeping),21219,21086,111.73 %,258 MB,11 GB,64,16,111.73,257500000,11447060000
1461583460,etcd,S (sleeping),21219,21086,112.12 %,258 MB,11 GB,64,16,112.12,257500000,11447060000
1461583461,etcd,S (sleeping),21219,21086,112.40 %,258 MB,11 GB,64,16,112.40,257788000,11447060000
1461583462,etcd,S (sleeping),21219,21086,112.99 %,263 MB,11 GB,64,16,112.99,262892000,11448372000
1461583463,etcd,S (sleeping),21219,21086,113.31 %,270 MB,12 GB,64,16,113.31,270412000,11456028000
1461583464,etcd,S (sleeping),21219,21086,113.54 %,271 MB,12 GB,64,16,113.54,271020000,11457084000
1461583465,etcd,S (sleeping),21219,21086,113.76 %,273 MB,12 GB,64,16,113.76,272724000,11458140000
1461583466,etcd,S (sleeping),21219,21086,114.11 %,273 MB,12 GB,64,16,114.11,273244000,11461312000
