2016-04-25 11:22:46.692930 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 11:22:46.692988 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 11:22:46.692995 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 11:22:46.693000 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 11:22:46.693005 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 11:22:46.693060 I | etcdmain: listening for peers on http://10.240.0.23:2380
2016-04-25 11:22:46.693083 I | etcdmain: listening for client requests on 10.240.0.23:2379
2016-04-25 11:22:46.698031 I | etcdserver: name = etcd-3
2016-04-25 11:22:46.698061 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 11:22:46.698071 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 11:22:46.698076 I | etcdserver: heartbeat = 100ms
2016-04-25 11:22:46.698081 I | etcdserver: election = 1000ms
2016-04-25 11:22:46.698086 I | etcdserver: snapshot count = 10000
2016-04-25 11:22:46.698096 I | etcdserver: advertise client URLs = http://10.240.0.23:2379
2016-04-25 11:22:46.698102 I | etcdserver: initial advertise peer URLs = http://10.240.0.23:2380
2016-04-25 11:22:46.698123 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-04-25 11:22:46.700436 I | etcdserver: starting member 3e07e8086be420d2 in cluster e05fb31d21672c21
2016-04-25 11:22:46.700478 I | raft: 3e07e8086be420d2 became follower at term 0
2016-04-25 11:22:46.700490 I | raft: newRaft 3e07e8086be420d2 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 11:22:46.700495 I | raft: 3e07e8086be420d2 became follower at term 1
2016-04-25 11:22:46.700621 I | etcdserver: enabling compression gzip
2016-04-25 11:22:46.714053 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-04-25 11:22:46.714652 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 11:22:46.716070 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-04-25 11:22:46.716321 I | rafthttp: the connection with 21d3c625100d5241 became active
2016-04-25 11:22:46.716340 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-04-25 11:22:46.716584 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 11:22:46.716606 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 11:22:46.717108 N | etcdserver: added local member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-04-25 11:22:46.717344 N | etcdmain: serving insecure client requests on 10.240.0.23:2379, this is strongly discouraged!
2016-04-25 11:22:46.902203 I | raft: 3e07e8086be420d2 [term: 1] received a MsgVote message with higher term from 2087a91b2ccc6d93 [term: 3]
2016-04-25 11:22:46.902285 I | raft: 3e07e8086be420d2 became follower at term 3
2016-04-25 11:22:46.902304 I | raft: 3e07e8086be420d2 [logterm: 1, index: 3, vote: 0] voted for 2087a91b2ccc6d93 [logterm: 1, index: 3] at term 3
2016-04-25 11:22:46.904234 I | raft: raft.node: 3e07e8086be420d2 elected leader 2087a91b2ccc6d93 at term 3
2016-04-25 11:22:46.907255 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.23:2379]} to cluster e05fb31d21672c21
2016-04-25 11:22:46.908908 N | membership: set the initial cluster version to 2.3
2016-04-25 11:22:47.215531 I | v2http: enabled capabilities for version 2.3.0
2016-04-25 11:23:09.763983 I | etcdserver: start to snapshot (applied: 10008, lastsnap: 0)
2016-04-25 11:23:09.771707 I | etcdserver: saved snapshot at index 10008
2016-04-25 11:23:09.771883 I | etcdserver: compacted raft log at 5008
2016-04-25 11:23:11.408407 I | etcdserver: start to snapshot (applied: 20015, lastsnap: 10008)
2016-04-25 11:23:11.413581 I | etcdserver: saved snapshot at index 20015
2016-04-25 11:23:11.413748 I | etcdserver: compacted raft log at 15015
2016-04-25 11:23:13.053090 I | etcdserver: start to snapshot (applied: 30028, lastsnap: 20015)
2016-04-25 11:23:13.059118 I | etcdserver: saved snapshot at index 30028
2016-04-25 11:23:13.059293 I | etcdserver: compacted raft log at 25028
2016-04-25 11:23:14.706177 I | etcdserver: start to snapshot (applied: 40042, lastsnap: 30028)
2016-04-25 11:23:14.722467 I | etcdserver: saved snapshot at index 40042
2016-04-25 11:23:14.722621 I | etcdserver: compacted raft log at 35042
2016-04-25 11:23:16.341131 I | etcdserver: start to snapshot (applied: 50048, lastsnap: 40042)
2016-04-25 11:23:16.347551 I | etcdserver: saved snapshot at index 50048
2016-04-25 11:23:16.347732 I | etcdserver: compacted raft log at 45048
2016-04-25 11:23:17.977981 I | etcdserver: start to snapshot (applied: 60066, lastsnap: 50048)
2016-04-25 11:23:17.985773 I | etcdserver: saved snapshot at index 60066
2016-04-25 11:23:17.985933 I | etcdserver: compacted raft log at 55066
2016-04-25 11:23:19.612764 I | etcdserver: start to snapshot (applied: 70083, lastsnap: 60066)
2016-04-25 11:23:19.618459 I | etcdserver: saved snapshot at index 70083
2016-04-25 11:23:19.618635 I | etcdserver: compacted raft log at 65083
2016-04-25 11:23:21.294078 I | etcdserver: start to snapshot (applied: 80169, lastsnap: 70083)
2016-04-25 11:23:21.302148 I | etcdserver: saved snapshot at index 80169
2016-04-25 11:23:21.302338 I | etcdserver: compacted raft log at 75169
2016-04-25 11:23:22.932443 I | etcdserver: start to snapshot (applied: 90174, lastsnap: 80169)
2016-04-25 11:23:22.939419 I | etcdserver: saved snapshot at index 90174
2016-04-25 11:23:22.939622 I | etcdserver: compacted raft log at 85174
2016-04-25 11:23:24.561136 I | etcdserver: start to snapshot (applied: 100178, lastsnap: 90174)
2016-04-25 11:23:24.568599 I | etcdserver: saved snapshot at index 100178
2016-04-25 11:23:24.568744 I | etcdserver: compacted raft log at 95178
2016-04-25 11:23:26.228382 I | etcdserver: start to snapshot (applied: 110189, lastsnap: 100178)
2016-04-25 11:23:26.233507 I | etcdserver: saved snapshot at index 110189
2016-04-25 11:23:26.233671 I | etcdserver: compacted raft log at 105189
2016-04-25 11:23:27.853802 I | etcdserver: start to snapshot (applied: 120196, lastsnap: 110189)
2016-04-25 11:23:27.864731 I | etcdserver: saved snapshot at index 120196
2016-04-25 11:23:27.864875 I | etcdserver: compacted raft log at 115196
2016-04-25 11:23:29.505945 I | etcdserver: start to snapshot (applied: 130203, lastsnap: 120196)
2016-04-25 11:23:29.518539 I | etcdserver: saved snapshot at index 130203
2016-04-25 11:23:29.518735 I | etcdserver: compacted raft log at 125203
2016-04-25 11:23:31.146962 I | etcdserver: start to snapshot (applied: 140238, lastsnap: 130203)
2016-04-25 11:23:31.177559 I | etcdserver: saved snapshot at index 140238
2016-04-25 11:23:31.177795 I | etcdserver: compacted raft log at 135238
2016-04-25 11:23:32.801932 I | etcdserver: start to snapshot (applied: 150255, lastsnap: 140238)
2016-04-25 11:23:32.810228 I | etcdserver: saved snapshot at index 150255
2016-04-25 11:23:32.810454 I | etcdserver: compacted raft log at 145255
2016-04-25 11:23:34.495605 I | etcdserver: start to snapshot (applied: 160278, lastsnap: 150255)
2016-04-25 11:23:34.516785 I | etcdserver: saved snapshot at index 160278
2016-04-25 11:23:34.516936 I | etcdserver: compacted raft log at 155278
2016-04-25 11:23:36.211060 I | etcdserver: start to snapshot (applied: 170327, lastsnap: 160278)
2016-04-25 11:23:36.226531 I | etcdserver: saved snapshot at index 170327
2016-04-25 11:23:36.226702 I | etcdserver: compacted raft log at 165327
2016-04-25 11:23:37.888197 I | etcdserver: start to snapshot (applied: 180332, lastsnap: 170327)
2016-04-25 11:23:37.907832 I | etcdserver: saved snapshot at index 180332
