unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461583388,185.179970,4852,4852,6.19,58.96,4.86,59.66,5.53,59.48,5.53,59.37
1461583389,164.012764,6066,10918,12.37,73.16,9.98,61.94,11.58,74.59,11.31,69.90
1461583390,163.288368,6161,17079,18.07,74.30,15.13,67.44,16.83,75.42,16.68,72.39
1461583391,163.736587,5998,23077,23.38,82.57,20.11,68.81,21.83,76.13,21.77,75.84
1461583392,163.936975,6095,29172,28.43,83.05,24.28,71.36,26.59,82.56,26.43,78.99
1461583393,164.143844,6037,35209,33.02,86.82,28.47,73.15,31.07,85.74,30.85,81.90
1461583394,164.357938,6129,41338,37.45,87.22,32.31,87.20,35.30,87.24,35.02,87.22
1461583395,164.602742,6115,47453,41.57,87.51,36.12,89.18,39.32,87.77,39.00,88.15
1461583396,163.630386,6126,53579,45.57,93.08,39.68,89.18,43.00,90.44,42.75,90.90
1461583397,163.678541,6047,59626,49.15,95.92,43.06,90.03,46.56,92.81,46.26,92.92
1461583398,164.007669,6175,65801,52.57,96.52,46.02,91.26,49.97,95.85,49.52,94.54
1461583399,164.011539,6011,71812,55.74,99.53,48.64,96.58,52.96,96.52,52.45,97.54
1461583400,164.400791,6084,77896,58.77,113.54,51.43,101.50,55.99,97.60,55.40,104.21
1461583401,163.973512,6093,83989,61.85,114.11,53.91,102.09,58.59,103.30,58.12,106.50
1461583402,164.303548,6071,90060,64.67,114.11,56.39,102.82,61.15,104.58,60.74,107.17
1461583403,163.972789,6141,96201,67.34,114.38,58.93,109.83,63.55,114.14,63.27,112.78
1461583404,163.739012,6032,102233,69.90,114.38,61.01,111.95,66.05,114.70,65.65,113.68
1461583405,164.434682,6101,108334,72.38,114.38,63.13,112.52,68.31,114.70,67.94,113.87
1461583406,164.280385,6138,114472,74.73,114.38,65.10,116.78,70.30,115.86,70.04,115.67
1461583407,164.241292,5955,120427,76.92,120.68,66.95,117.62,72.24,118.21,72.04,118.84
1461583408,164.195666,6176,126603,78.83,121.80,68.68,119.49,74.58,118.57,74.03,119.95
1461583409,164.516595,6136,132739,80.76,121.80,70.34,123.81,76.48,121.91,75.86,122.51
1461583410,164.131586,5995,138734,82.68,124.78,71.91,125.11,78.19,125.02,77.59,124.97
1461583411,164.941289,6035,144769,84.63,125.86,73.38,128.34,79.96,127.82,79.32,127.34
1461583412,165.629467,6069,150838,86.64,127.08,74.99,130.93,81.65,133.82,81.09,130.61
1461583413,167.733786,5908,156746,88.34,128.76,76.45,138.14,83.26,133.82,82.68,133.57
1461583414,168.915199,6030,162776,89.87,135.45,77.74,138.80,85.06,136.39,84.22,136.88
1461583415,170.787410,5822,168598,91.08,139.78,79.25,142.62,86.52,139.27,85.62,140.56
1461583416,167.970304,5821,174419,92.62,143.78,80.49,144.36,88.11,141.83,87.07,143.32
1461583417,169.373234,5910,180329,93.88,144.49,81.70,144.68,89.42,145.33,88.33,144.83
1461583418,168.421385,5925,186254,95.23,144.78,83.11,146.68,90.66,146.45,89.67,145.97
1461583419,168.653608,5887,192141,96.43,145.44,84.26,148.59,91.96,149.10,90.88,147.71
1461583420,168.820193,5948,198089,97.65,151.50,85.43,149.10,93.20,156.14,92.09,152.25
1461583421,168.739774,6004,204093,98.76,153.90,86.60,153.26,94.69,157.62,93.35,154.93
1461583422,167.966920,5876,209969,99.78,154.76,87.78,158.05,95.94,160.11,94.50,157.64
1461583423,165.119494,6095,216064,100.90,163.12,88.73,159.22,97.03,161.54,95.55,161.29
1461583424,164.663483,6055,222119,102.08,164.28,89.97,166.10,98.13,162.37,96.73,164.25
1461583425,164.525381,6028,228147,103.20,165.43,91.09,167.27,99.04,167.46,97.78,166.72
1461583426,164.196143,6193,234340,104.55,167.68,92.13,170.11,100.03,169.74,98.90,169.18
1461583427,165.093958,5960,240300,105.70,169.58,93.10,171.24,101.05,171.78,99.95,170.87
1461583428,166.589849,5896,246196,106.72,172.22,93.89,174.16,101.96,171.78,100.86,172.72
1461583429,167.339757,5959,252155,107.76,180.62,94.59,179.07,102.77,181.82,101.71,180.50
1461583430,167.158708,6257,258412,108.88,181.74,95.41,182.15,103.62,182.69,102.64,182.19
1461583431,166.716539,5804,264216,109.90,186.82,96.16,185.08,104.30,183.33,103.45,185.08
1461583432,167.021204,6003,270219,110.84,186.82,96.93,186.56,105.17,183.64,104.31,185.67
1461583433,166.964142,6061,276280,111.82,187.84,97.46,188.61,105.91,184.78,105.06,187.08
1461583434,166.218332,5968,282248,112.58,189.49,98.25,189.09,106.76,187.42,105.86,188.67
1461583435,166.900516,5956,288204,113.36,190.92,99.09,194.80,107.34,191.82,106.60,192.51
1461583436,167.186676,6079,294283,114.39,200.74,99.86,195.39,108.06,191.82,107.44,195.98
1461583437,168.323606,5889,300172,115.42,201.80,100.44,197.22,108.89,197.60,108.25,198.87
1461583438,165.699119,5995,306167,116.04,201.80,101.28,200.67,109.50,199.24,108.94,200.57
1461583439,164.966098,5979,312146,116.93,202.36,101.81,201.82,110.12,199.99,109.62,201.39
1461583440,166.103900,6159,318305,117.75,204.22,102.66,204.80,110.94,204.73,110.45,204.58
1461583441,165.482365,5934,324239,118.22,206.54,103.36,211.50,111.34,206.07,110.97,208.04
1461583442,165.586471,6171,330410,119.06,213.80,103.93,211.50,112.18,210.15,111.72,211.82
1461583443,164.650751,5912,336322,119.82,213.80,104.63,216.70,112.57,214.80,112.34,215.10
1461583444,163.875113,6232,342554,120.39,214.15,105.05,217.84,113.37,214.80,112.94,215.60
1461583445,165.108025,5967,348521,121.20,215.78,105.46,220.05,113.86,217.10,113.51,217.64
1461583446,166.272062,5924,354445,121.60,216.60,106.10,227.04,114.62,219.98,114.11,221.21
1461583447,166.607919,6002,360447,122.12,220.14,106.36,228.36,114.98,222.30,114.49,223.60
1461583448,167.667872,5903,366350,122.44,226.70,106.85,228.92,115.69,231.86,114.99,229.16
1461583449,167.578540,6076,372426,123.11,231.79,107.15,230.32,116.06,233.90,115.44,232.00
1461583450,164.789397,6032,378458,123.54,233.18,107.49,233.34,116.36,237.28,115.80,234.60
1461583451,166.644175,5917,384375,123.92,234.09,108.22,238.19,116.97,241.73,116.37,238.00
1461583452,170.038032,6062,390437,124.56,236.43,108.56,238.19,117.32,243.42,116.81,239.35
1461583453,165.544794,5872,396309,124.92,238.15,108.80,238.19,117.67,243.73,117.13,240.02
1461583454,169.771723,5769,402078,125.54,238.96,109.48,246.10,118.31,244.41,117.78,243.16
1461583455,167.804544,6027,408105,125.87,240.96,109.99,251.98,118.59,245.63,118.15,246.19
1461583456,166.034011,6246,414351,126.34,243.65,110.47,252.59,118.88,246.03,118.56,247.42
1461583457,168.935317,5776,420127,126.97,256.60,110.85,257.03,119.16,252.46,118.99,255.36
1461583458,168.181951,6011,426138,127.34,259.04,111.45,257.03,119.76,257.26,119.52,257.78
1461583459,166.893345,5928,432066,127.66,259.30,111.73,257.50,120.03,257.26,119.81,258.02
1461583460,164.826076,6063,438129,128.18,259.30,112.12,257.50,120.30,258.12,120.20,258.31
1461583461,166.019087,5972,444101,128.67,259.72,112.40,257.79,120.61,259.22,120.56,258.91
1461583462,165.285404,6023,450124,129.01,259.72,112.99,262.89,121.08,262.22,121.03,261.61
1461583463,165.331467,6065,456189,129.39,262.55,113.31,270.41,121.51,273.25,121.40,268.74
1461583464,165.205364,5851,462040,130.10,264.39,113.54,271.02,121.84,273.25,121.83,269.55
1461583465,165.605771,6286,468326,130.41,266.38,113.76,272.72,122.19,274.40,122.12,271.17
1461583466,166.316486,6105,474431,130.76,271.27,114.11,273.24,122.48,274.40,122.45,272.97
1461583467,167.962702,5868,480299,131.06,273.99,114.38,277.50,122.81,275.06,122.75,275.52
1461583468,166.934467,5966,486265,131.40,278.58,114.69,278.63,123.11,275.90,123.07,277.70
1461583469,166.126827,5898,492163,131.99,282.42,115.16,282.23,123.33,276.92,123.49,280.52
1461583470,169.052804,6057,498220,132.37,285.22,115.36,284.06,123.64,285.85,123.79,285.04
1461583471,167.299447,5710,503930,132.70,290.64,115.60,287.18,124.19,287.91,124.16,288.58
1461583472,167.226988,6059,509989,132.96,291.70,115.86,288.70,124.46,290.01,124.43,290.14
1461583473,169.595476,6004,515993,133.15,291.96,116.14,292.70,124.66,293.35,124.65,292.67
1461583474,171.126410,5815,521808,133.38,295.66,116.42,301.02,124.85,296.68,124.88,297.79
1461583475,169.996835,5959,527767,133.70,296.95,116.73,303.03,125.20,298.64,125.21,299.54
1461583476,172.566475,5743,533510,133.84,297.06,117.04,303.58,125.55,300.14,125.48,300.26
1461583477,172.115127,5729,539239,133.98,297.17,117.30,303.86,125.86,300.56,125.71,300.53
1461583478,169.317825,5859,545098,134.31,300.13,117.61,309.65,126.20,300.97,126.04,303.58
1461583479,169.375465,6010,551108,134.56,300.39,117.89,310.79,126.60,305.37,126.35,305.52
1461583480,173.066077,5667,556775,134.86,306.84,118.20,311.64,126.96,308.54,126.67,309.01
1461583481,172.204815,5808,562583,135.10,307.18,118.49,312.11,127.00,314.28,126.86,311.19
1461583482,171.723278,5814,568397,135.30,309.84,118.83,318.18,127.43,316.47,127.19,314.83
1461583483,168.097705,5833,574230,135.48,314.65,119.05,323.67,127.76,318.58,127.43,318.97
1461583484,166.906243,6134,580364,135.75,316.86,119.08,324.14,128.08,318.58,127.64,319.86
1461583485,167.982170,5957,586321,135.99,324.26,119.11,324.60,128.35,321.87,127.82,323.58
1461583486,170.589672,5817,592138,136.29,325.02,119.23,325.60,128.60,324.79,128.04,325.14
1461583487,168.512717,5826,597964,136.60,325.29,119.47,326.10,128.84,325.87,128.30,325.75
1461583488,170.685044,6037,604001,136.85,326.04,119.61,327.42,129.06,327.67,128.51,327.04
1461583489,168.154525,5814,609815,137.20,327.00,119.75,328.04,129.18,328.46,128.71,327.83
1461583490,168.728794,5920,615735,137.60,333.53,119.88,342.54,129.41,329.54,128.96,335.20
1461583491,168.152550,6046,621781,137.96,335.11,120.13,347.23,129.61,339.01,129.23,340.45
1461583492,168.446697,5813,627594,138.33,340.61,120.44,347.23,129.77,339.34,129.51,342.39
1461583493,170.229900,6058,633652,138.67,340.61,120.78,347.23,129.70,340.75,129.72,342.86
1461583494,168.775585,5543,639195,138.99,343.83,121.03,348.97,129.92,342.90,129.98,345.23
1461583495,170.644514,6173,645368,139.29,345.55,120.93,351.45,130.05,348.72,130.09,348.57
1461583496,165.766145,5833,651201,139.55,349.46,121.05,354.31,130.32,348.72,130.31,350.83
1461583497,170.833655,5917,657118,139.96,349.72,121.17,354.31,130.53,349.23,130.55,351.09
1461583498,167.579829,5991,663109,140.14,355.31,121.37,354.80,130.76,358.93,130.76,356.35
1461583499,169.108576,6037,669146,140.30,356.10,121.54,355.86,130.65,361.55,130.83,357.84
1461583500,167.157898,5798,674944,140.55,357.69,121.71,362.41,130.91,365.37,131.06,361.82
1461583501,167.703838,6044,680988,140.71,357.69,121.95,370.26,131.05,366.12,131.24,364.69
1461583502,169.213456,5895,686883,140.93,359.10,121.91,370.26,131.30,368.95,131.38,366.10
1461583503,169.345217,5961,692844,141.19,365.98,122.19,370.85,131.54,369.27,131.64,368.70
1461583504,168.758252,5851,698695,141.39,369.00,122.37,370.85,131.72,371.56,131.83,370.47
1461583505,167.695999,5841,704536,141.57,370.64,122.55,375.72,131.58,371.56,131.90,372.64
1461583506,170.626022,5860,710396,141.46,370.64,122.81,376.44,131.84,372.60,132.04,373.23
1461583507,169.981621,6024,716420,141.72,376.36,122.72,377.57,132.04,384.13,132.16,379.35
1461583508,167.687498,5911,722331,141.91,382.17,122.89,379.24,132.25,387.88,132.35,383.10
1461583509,169.890029,5796,728127,142.20,386.49,123.08,379.62,132.27,387.88,132.52,384.66
1461583510,167.066720,6088,734215,142.40,389.39,123.16,386.33,132.39,388.87,132.65,388.20
1461583511,168.499108,5882,740097,142.47,390.60,123.21,387.28,132.57,389.71,132.75,389.20
1461583512,166.169701,5844,745941,142.68,391.57,123.31,389.12,132.80,398.21,132.93,392.97
1461583513,170.365283,6166,752107,142.95,392.02,123.47,390.46,132.89,398.82,133.10,393.77
1461583514,164.934735,5581,757688,143.19,392.02,123.61,392.13,132.82,400.13,133.21,394.76
1461583515,168.984195,6136,763824,143.55,398.36,123.55,406.96,133.04,409.54,133.38,404.95
1461583516,165.829105,6122,769946,143.60,399.45,123.70,407.59,133.30,409.86,133.53,405.63
1461583517,168.329390,5883,775829,143.82,406.62,123.95,408.94,133.55,409.86,133.77,408.47
1461583518,171.097626,5873,781702,144.05,407.97,124.16,409.70,133.46,410.38,133.89,409.35
1461583519,167.328890,5911,787613,144.19,412.05,124.04,409.70,133.60,412.28,133.94,411.34
1461583520,172.131651,5849,793462,144.41,418.83,124.27,425.41,133.83,415.33,134.17,419.86
1461583521,169.775615,5805,799267,144.40,420.47,124.51,427.26,133.79,417.49,134.23,421.74
1461583522,169.027677,6030,805297,144.60,425.16,124.69,428.18,133.98,420.14,134.42,424.49
1461583523,164.984493,5940,811237,144.85,429.60,124.59,428.18,134.14,422.83,134.53,426.87
1461583524,168.108305,5920,817157,144.87,430.71,124.80,428.61,134.34,425.08,134.67,428.13
1461583525,171.558791,5993,823150,145.02,432.26,125.02,428.61,134.25,428.12,134.76,429.66
1461583526,165.060779,5552,828702,145.20,433.32,125.14,429.55,134.36,433.66,134.90,432.18
1461583527,171.303829,6217,834919,145.47,437.83,125.06,429.55,134.58,437.67,135.04,435.02
1461583528,168.486521,5886,840805,145.47,438.09,125.30,434.28,134.47,438.01,135.08,436.79
1461583529,167.944001,6046,846851,145.74,442.86,125.50,437.17,134.67,441.05,135.30,440.36
1461583530,164.303580,5971,852822,145.96,449.40,125.37,438.37,134.91,450.06,135.41,445.94
1461583531,171.178147,5922,858744,146.27,449.40,125.57,443.75,134.88,450.73,135.57,447.96
1461583532,172.869901,5721,864465,146.18,449.78,125.76,449.97,135.05,450.73,135.66,450.16
1461583533,167.803262,5958,870423,146.38,455.83,125.63,450.54,135.25,451.31,135.75,452.56
1461583534,172.266712,5816,876239,146.53,456.19,125.79,450.54,135.24,451.31,135.85,452.68
1461583535,177.941828,5426,881665,146.36,456.46,126.00,451.41,135.51,451.57,135.96,453.15
1461583536,171.587627,6065,887730,146.48,458.73,125.93,452.77,135.74,452.73,136.05,454.74
1461583537,178.465899,5410,893140,146.64,462.42,126.22,457.30,135.70,455.32,136.19,458.35
1461583538,173.865042,5991,899131,146.49,462.42,126.16,457.56,135.96,465.76,136.20,461.91
1461583539,170.331623,5686,904817,146.65,466.68,126.35,459.65,135.98,468.12,136.33,464.82
1461583540,175.401578,5740,910557,146.82,469.97,126.60,464.45,136.15,470.75,136.52,468.39
1461583541,172.726339,5783,916340,146.68,470.36,126.52,466.30,136.44,477.29,136.55,471.32
1461583542,170.388509,5969,922309,146.85,472.78,126.78,466.92,136.41,479.72,136.68,473.14
1461583543,170.670914,5828,928137,146.76,477.12,126.72,471.50,136.74,480.33,136.74,476.32
1461583544,171.821022,5564,933701,146.96,478.70,126.88,471.79,136.99,480.33,136.94,476.94
1461583545,170.306998,6002,939703,147.15,481.04,127.02,475.83,136.87,481.02,137.01,479.30
1461583546,166.817280,5832,945535,147.08,481.04,126.99,476.16,137.09,489.42,137.05,482.21
1461583547,165.966672,6237,951772,147.32,487.86,127.24,485.55,136.96,490.03,137.17,487.81
1461583548,167.889763,5953,957725,147.52,490.44,127.29,491.71,137.19,490.03,137.33,490.73
1461583549,170.359569,5701,963426,147.46,492.08,127.39,492.24,137.36,490.03,137.40,491.45
1461583550,169.150929,6057,969483,147.73,498.21,127.58,492.72,137.27,490.93,137.53,493.95
1461583551,176.279926,5666,975149,148.05,500.81,127.49,492.72,137.49,494.23,137.68,495.92
1461583552,170.360786,5986,981135,147.95,500.81,127.65,492.72,137.33,494.62,137.64,496.05
1461583553,166.705933,5772,986907,148.15,503.67,127.62,494.42,137.54,504.62,137.77,500.90
1461583554,173.150070,6010,992917,148.11,505.24,127.88,495.82,137.45,506.14,137.81,502.40
1461583555,168.889016,5604,998521,148.32,509.26,128.06,498.15,137.59,508.24,137.99,505.22
1461583556,178.531020,5706,1004227,148.57,513.66,128.00,499.42,137.81,514.03,138.13,509.04
1461583557,165.395596,5622,1009849,148.45,513.66,128.18,515.45,137.65,514.66,138.09,514.59
1461583558,172.655756,6159,1016008,148.74,521.29,128.05,517.64,137.84,517.08,138.21,518.67
1461583559,172.917850,5697,1021705,148.69,523.20,128.25,519.73,137.76,517.08,138.23,520.00
1461583560,164.559493,6131,1027836,148.88,525.77,128.37,520.15,137.96,522.78,138.40,522.90
1461583561,170.302885,5967,1033803,148.94,527.16,128.33,520.15,137.86,523.04,138.38,523.45
1461583562,167.282922,5884,1039687,148.97,529.60,128.56,520.15,138.09,528.15,138.54,525.97
1461583563,175.103724,5659,1045346,149.20,537.39,128.47,520.15,138.36,529.01,138.68,528.85
1461583564,166.807965,6194,1051540,149.08,537.65,128.66,522.23,138.23,529.01,138.66,529.63
1461583565,165.962022,5795,1057335,149.27,539.04,128.56,522.98,138.41,535.52,138.75,532.51
1461583566,169.843128,5892,1063227,149.16,539.04,128.81,527.50,138.38,535.52,138.78,534.02
1461583567,171.167577,5949,1069176,149.41,539.84,128.76,527.89,138.52,544.12,138.90,537.28
1461583568,173.266966,5671,1074847,149.35,546.28,129.00,532.56,138.43,544.12,138.93,540.99
1461583569,167.880698,5982,1080829,149.45,549.86,129.09,536.68,138.64,545.02,139.06,543.85
1461583570,172.711886,5914,1086743,149.63,549.86,129.05,537.21,138.53,545.02,139.07,544.03
1461583571,164.289099,5723,1092466,149.54,549.86,129.25,546.11,138.76,545.68,139.18,547.22
1461583572,170.852706,5932,1098398,149.79,553.48,129.16,546.37,138.66,546.98,139.20,548.94
1461583573,176.594600,5631,1104029,149.67,553.48,129.38,552.90,138.88,554.26,139.31,553.55
1461583574,167.597475,6118,1110147,149.85,554.04,129.30,553.48,138.74,555.72,139.30,554.41
1461583575,174.182701,5503,1115650,149.72,554.04,129.48,554.40,138.92,557.98,139.37,555.47
1461583576,166.738889,6213,1121863,149.87,556.16,129.41,554.79,138.86,560.61,139.38,557.19
1461583577,171.239917,5604,1127467,149.87,561.31,129.60,562.24,139.02,568.44,139.50,564.00
1461583578,166.872612,6270,1133737,149.97,562.18,129.46,562.24,139.20,571.96,139.54,565.46
1461583579,171.819887,5713,1139450,150.20,569.87,129.74,574.38,139.10,572.28,139.68,572.18
1461583580,165.478096,5921,1145371,150.09,571.59,129.64,575.53,139.31,573.13,139.68,573.42
1461583581,170.741473,6061,1151432,150.32,576.27,129.88,577.40,139.22,573.13,139.81,575.60
1461583582,168.270789,5871,1157303,150.20,577.28,129.83,581.11,139.43,585.27,139.82,581.22
1461583583,171.930224,5851,1163154,150.40,579.20,129.98,581.49,139.25,586.06,139.88,582.25
1461583584,167.580235,5951,1169105,150.35,579.20,129.92,581.49,139.47,589.03,139.91,583.24
1461583585,175.030390,5689,1174794,150.55,592.86,130.07,582.38,139.26,589.56,139.96,588.27
1461583586,166.803404,5696,1180490,150.46,592.86,129.96,582.38,139.46,591.93,139.96,589.06
1461583587,166.483339,6253,1186743,150.71,594.01,130.17,585.29,139.36,591.93,140.08,590.41
1461583588,165.750660,5344,1192087,150.67,594.01,130.13,585.29,139.62,599.68,140.14,592.99
1461583589,177.810509,6146,1198233,150.79,600.57,130.26,590.56,139.43,599.98,140.16,597.04
1461583590,166.017999,5488,1203721,150.74,601.84,130.17,590.86,139.32,601.18,140.08,597.96
1461583591,176.131163,6351,1210072,150.94,603.09,130.35,598.10,139.43,606.70,140.24,602.63
1461583592,166.527153,5268,1215340,150.89,603.09,130.29,598.10,139.35,608.49,140.18,603.23
1461583593,179.451339,6288,1221628,151.08,603.68,130.47,599.23,139.51,608.49,140.35,603.80
1461583594,170.908159,5190,1226818,150.97,606.30,130.41,600.87,139.48,609.68,140.29,605.62
1461583595,176.120311,6192,1233010,151.14,606.30,130.61,603.10,139.75,609.68,140.50,606.36
1461583596,166.297457,5519,1238529,151.04,607.35,130.58,603.10,139.73,610.71,140.45,607.05
1461583597,181.809957,5904,1244433,151.17,614.27,130.66,611.26,139.99,614.54,140.61,613.36
1461583598,166.529468,5908,1250341,151.08,614.27,130.71,612.04,139.99,615.33,140.59,613.88
1461583599,182.483977,5618,1255959,151.25,621.16,130.63,612.04,140.25,627.03,140.71,620.08
1461583600,167.101723,5870,1261829,151.12,622.33,130.83,622.20,140.22,628.35,140.72,624.29
1461583601,183.812204,5379,1267208,151.30,635.49,130.77,623.34,140.33,632.86,140.80,630.56
1461583602,171.060616,5862,1273070,151.14,635.49,130.96,626.62,140.39,632.86,140.83,631.66
1461583603,169.928601,5813,1278883,151.37,636.06,130.86,627.77,140.33,632.86,140.85,632.23
1461583604,164.755897,6323,1285206,151.28,636.06,131.05,631.22,140.52,632.86,140.95,633.38
1461583605,179.686377,5471,1290677,151.54,643.34,130.98,633.24,140.44,633.25,140.99,636.61
1461583606,167.242680,5998,1296675,151.38,643.62,131.18,638.28,140.58,635.76,141.05,639.22
1461583607,170.912677,5967,1302642,151.38,643.94,131.13,638.28,140.53,635.76,141.01,639.33
1461583608,172.171179,5758,1308400,151.48,645.63,131.11,640.15,140.73,644.00,141.11,643.26
1461583609,170.464344,5952,1314352,151.44,645.63,131.26,641.47,140.67,644.00,141.12,643.70
1461583610,171.523190,5619,1319971,151.65,648.38,131.13,641.47,140.86,659.22,141.21,649.69
1461583611,175.675579,5958,1325929,151.60,649.23,131.28,642.82,140.79,659.52,141.22,650.52
1461583612,171.263660,5598,1331527,151.77,656.66,131.14,642.82,140.66,661.02,141.19,653.50
1461583613,168.142538,5883,1337410,151.70,656.66,131.29,651.09,140.86,661.76,141.28,656.50
1461583614,177.870255,5554,1342964,151.93,658.81,131.15,651.09,140.74,661.76,141.27,657.22
1461583615,171.625789,5980,1348944,151.83,659.76,131.27,661.70,140.92,663.29,141.34,661.58
1461583616,173.167389,5736,1354680,152.12,667.82,131.16,661.70,140.80,663.85,141.36,664.46
1461583617,168.966352,5857,1360537,152.04,667.82,131.07,662.71,141.02,671.42,141.38,667.32
1461583618,174.169321,5805,1366342,152.25,679.48,131.29,663.37,140.94,671.68,141.49,671.51
1461583619,165.996856,6019,1372361,152.28,680.54,131.17,663.80,140.81,672.88,141.42,672.41
1461583620,175.495530,5378,1377739,152.22,680.89,131.38,670.30,141.07,683.29,141.56,678.16
1461583621,164.792346,6362,1384101,152.43,680.89,131.24,670.57,140.97,685.00,141.55,678.82
1461583622,169.506768,5812,1389913,152.41,680.89,131.41,678.23,141.25,691.29,141.69,683.47
1461583623,169.798451,6000,1395913,152.63,683.67,131.29,678.23,141.13,691.90,141.68,684.60
1461583624,168.552579,5865,1401778,152.55,683.67,131.22,678.23,141.27,691.90,141.68,684.60
1461583625,177.248045,5478,1407256,152.74,691.16,131.43,681.14,141.27,691.90,141.81,688.07
1461583626,163.371034,6373,1413629,152.64,691.16,131.33,682.48,141.15,691.90,141.71,688.51
1461583627,181.884346,5364,1418993,152.78,691.16,131.56,689.34,141.38,696.26,141.91,692.25
1461583628,164.863606,6236,1425229,152.70,691.47,131.44,689.84,141.23,696.26,141.79,692.52
1461583629,179.539225,5738,1430967,152.62,694.14,131.40,692.09,141.47,701.54,141.83,695.92
1461583630,164.618272,5739,1436706,152.77,701.40,131.56,693.04,141.26,701.54,141.86,698.66
1461583631,163.495126,5869,1442575,152.68,701.40,131.50,693.04,141.21,702.06,141.80,698.83
1461583632,186.044101,5575,1448150,152.86,704.03,131.67,699.04,141.40,708.77,141.98,703.95
1461583633,163.653112,6061,1454211,152.75,704.48,131.57,699.62,141.32,708.77,141.88,704.29
1461583634,184.268996,5530,1459741,153.02,706.89,131.51,700.68,141.29,722.04,141.94,709.87
1461583635,164.154648,6062,1465803,152.88,707.33,131.73,713.71,141.43,723.74,142.01,714.93
1461583636,171.139559,5990,1471793,152.83,707.78,131.70,715.84,141.38,724.26,141.97,715.96
1461583637,174.852660,5737,1477530,153.00,716.70,131.88,720.13,141.56,724.26,142.15,720.36
1461583638,163.222770,5836,1483366,152.91,716.70,131.81,720.13,141.46,724.26,142.06,720.36
1461583639,186.660583,5450,1488816,153.14,727.65,131.74,720.13,141.39,726.03,142.09,724.60
1461583640,163.627230,5998,1494814,153.00,727.92,131.91,726.68,141.62,728.68,142.18,727.76
1461583641,168.829745,5618,1500432,152.96,728.63,131.83,726.96,141.58,728.68,142.12,728.09
1461583642,178.176858,6069,1506501,153.08,728.63,131.98,727.95,141.76,738.91,142.27,731.83
1461583643,163.360066,5901,1512402,153.00,728.63,131.88,727.95,141.67,739.17,142.18,731.92
1461583644,174.307423,5605,1518007,153.23,739.98,131.78,727.95,141.55,739.70,142.19,735.88
1461583645,165.196680,6374,1524381,153.11,740.87,132.00,735.85,141.82,744.01,142.31,740.24
1461583646,171.441045,5754,1530135,153.29,740.87,131.97,735.85,141.75,744.68,142.34,740.47
1461583647,170.190987,5751,1535886,153.24,741.66,132.17,743.14,141.87,752.58,142.43,745.79
1461583648,163.704026,6130,1542016,153.19,741.95,132.09,743.14,141.87,754.10,142.38,746.40
1461583649,175.640397,5721,1547737,153.35,751.61,131.98,743.47,141.76,754.10,142.36,749.73
1461583650,168.386087,5834,1553571,153.30,751.61,132.23,751.03,142.01,757.36,142.51,753.33
1461583651,173.587678,5836,1559407,153.47,755.28,132.18,751.03,141.97,757.36,142.54,754.56
1461583652,166.515634,5630,1565037,153.41,755.84,132.07,752.53,141.85,757.36,142.44,755.24
1461583653,171.195815,6278,1571315,153.28,756.14,132.29,753.56,142.13,760.42,142.57,756.71
1461583654,176.425679,5535,1576850,153.45,758.24,132.18,757.11,142.05,760.42,142.56,758.59
1461583655,174.227334,5654,1582504,153.38,758.24,132.40,768.09,142.27,761.70,142.68,762.68
1461583656,175.533337,5618,1588122,153.31,767.75,132.37,768.67,142.30,763.81,142.66,766.74
1461583657,169.305142,6062,1594184,153.46,770.04,132.25,769.52,142.16,763.81,142.62,767.79
1461583658,173.415315,6043,1600227,153.34,770.04,132.52,773.88,142.46,779.02,142.77,774.31
1461583659,171.405737,5637,1605864,153.52,772.85,132.43,773.88,142.38,779.02,142.78,775.25
1461583660,167.237046,5940,1611804,153.40,772.85,132.37,774.41,142.30,779.02,142.69,775.43
1461583661,175.972056,5478,1617282,153.28,774.64,132.60,775.54,142.62,780.60,142.83,776.93
1461583662,184.040626,5606,1622888,153.44,783.34,132.48,775.84,142.51,780.60,142.81,779.93
