unix_ts,avg_latency_ms,throughput
1461583388,185.179970,4852
1461583389,164.012764,6066
1461583390,163.288368,6161
1461583391,163.736587,5998
1461583392,163.936975,6095
1461583393,164.143844,6037
1461583394,164.357938,6129
1461583395,164.602742,6115
1461583396,163.630386,6126
1461583397,163.678541,6047
1461583398,164.007669,6175
1461583399,164.011539,6011
1461583400,164.400791,6084
1461583401,163.973512,6093
1461583402,164.303548,6071
1461583403,163.972789,6141
1461583404,163.739012,6032
1461583405,164.434682,6101
1461583406,164.280385,6138
1461583407,164.241292,5955
1461583408,164.195666,6176
1461583409,164.516595,6136
1461583410,164.131586,5995
1461583411,164.941289,6035
1461583412,165.629467,6069
1461583413,167.733786,5908
1461583414,168.915199,6030
1461583415,170.787410,5822
1461583416,167.970304,5821
1461583417,169.373234,5910
1461583418,168.421385,5925
1461583419,168.653608,5887
1461583420,168.820193,5948
1461583421,168.739774,6004
1461583422,167.966920,5876
1461583423,165.119494,6095
1461583424,164.663483,6055
1461583425,164.525381,6028
1461583426,164.196143,6193
1461583427,165.093958,5960
1461583428,166.589849,5896
1461583429,167.339757,5959
1461583430,167.158708,6257
1461583431,166.716539,5804
1461583432,167.021204,6003
1461583433,166.964142,6061
1461583434,166.218332,5968
1461583435,166.900516,5956
1461583436,167.186676,6079
1461583437,168.323606,5889
1461583438,165.699119,5995
1461583439,164.966098,5979
1461583440,166.103900,6159
1461583441,165.482365,5934
1461583442,165.586471,6171
1461583443,164.650751,5912
1461583444,163.875113,6232
1461583445,165.108025,5967
1461583446,166.272062,5924
1461583447,166.607919,6002
1461583448,167.667872,5903
1461583449,167.578540,6076
1461583450,164.789397,6032
1461583451,166.644175,5917
1461583452,170.038032,6062
1461583453,165.544794,5872
1461583454,169.771723,5769
1461583455,167.804544,6027
1461583456,166.034011,6246
1461583457,168.935317,5776
1461583458,168.181951,6011
1461583459,166.893345,5928
1461583460,164.826076,6063
1461583461,166.019087,5972
1461583462,165.285404,6023
1461583463,165.331467,6065
1461583464,165.205364,5851
1461583465,165.605771,6286
1461583466,166.316486,6105
1461583467,167.962702,5868
1461583468,166.934467,5966
1461583469,166.126827,5898
1461583470,169.052804,6057
1461583471,167.299447,5710
1461583472,167.226988,6059
1461583473,169.595476,6004
1461583474,171.126410,5815
1461583475,169.996835,5959
1461583476,172.566475,5743
1461583477,172.115127,5729
1461583478,169.317825,5859
1461583479,169.375465,6010
1461583480,173.066077,5667
1461583481,172.204815,5808
1461583482,171.723278,5814
1461583483,168.097705,5833
1461583484,166.906243,6134
1461583485,167.982170,5957
1461583486,170.589672,5817
1461583487,168.512717,5826
1461583488,170.685044,6037
1461583489,168.154525,5814
1461583490,168.728794,5920
1461583491,168.152550,6046
1461583492,168.446697,5813
1461583493,170.229900,6058
1461583494,168.775585,5543
1461583495,170.644514,6173
1461583496,165.766145,5833
1461583497,170.833655,5917
