unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1461579641,etcd,R (running),8512,8470,0.00 %,7.4 MB,130 MB,64,5,0.00,7364000,130356000
1461579642,etcd,S (sleeping),8512,8470,7.00 %,19 MB,11 GB,64,12,7.00,18680000,10955744000
1461579643,etcd,S (sleeping),8512,8470,3.98 %,19 MB,11 GB,64,12,3.98,18680000,10955744000
1461579644,etcd,S (sleeping),8512,8470,2.99 %,19 MB,11 GB,64,12,2.99,18680000,10955744000
1461579645,etcd,S (sleeping),8512,8470,2.49 %,19 MB,11 GB,64,12,2.49,18680000,10955744000
1461579646,etcd,S (sleeping),8512,8470,2.40 %,19 MB,11 GB,64,12,2.40,18680000,10955744000
1461579647,etcd,S (sleeping),8512,8470,2.16 %,19 MB,11 GB,64,12,2.16,19304000,10956800000
1461579648,etcd,S (sleeping),8512,8470,55.41 %,75 MB,11 GB,64,15,55.41,75252000,11231376000
1461579649,etcd,R (running),8512,8470,98.63 %,89 MB,11 GB,64,15,98.63,88964000,11244396000
1461579650,etcd,S (sleeping),8512,8470,133.15 %,100 MB,11 GB,64,15,133.15,100056000,11255620000
1461579651,etcd,S (sleeping),8512,8470,161.32 %,111 MB,11 GB,64,15,161.32,111048000,11265400000
1461579652,etcd,S (sleeping),8512,8470,185.04 %,124 MB,11 GB,64,15,185.04,123936000,11278412000
1461579653,etcd,S (sleeping),8512,8470,204.73 %,133 MB,11 GB,64,15,204.73,133252000,11285304000
1461579654,etcd,R (running),8512,8470,219.08 %,156 MB,11 GB,64,15,219.08,155796000,11306252000
1461579655,etcd,S (sleeping),8512,8470,231.67 %,161 MB,11 GB,64,15,231.67,160956000,11308760000
1461579656,etcd,S (sleeping),8512,8470,242.50 %,172 MB,11 GB,64,15,242.50,172456000,11318592000
1461579657,etcd,S (sleeping),8512,8470,250.34 %,181 MB,11 GB,64,15,250.34,181304000,11327440000
1461579658,etcd,R (running),8512,8470,259.70 %,190 MB,11 GB,64,15,259.70,190252000,11335416000
1461579659,etcd,R (running),8512,8470,265.43 %,202 MB,11 GB,64,15,265.43,202468000,11347172000
1461579660,etcd,D (disk sleep),8512,8470,272.54 %,214 MB,11 GB,64,15,272.54,213456000,11357812000
1461579661,etcd,S (sleeping),8512,8470,276.95 %,223 MB,11 GB,64,15,276.95,222664000,11365076000
1461579662,etcd,S (sleeping),8512,8470,282.88 %,236 MB,11 GB,64,15,282.88,235788000,11377360000
1461579663,etcd,S (sleeping),8512,8470,286.97 %,249 MB,11 GB,64,15,286.97,248940000,11385152000
1461579664,etcd,S (sleeping),8512,8470,291.52 %,262 MB,11 GB,64,15,291.52,262528000,11396776000
1461579665,etcd,S (sleeping),8512,8470,295.19 %,271 MB,11 GB,64,15,295.19,271420000,11405088000
1461579666,etcd,R (running),8512,8470,299.08 %,285 MB,11 GB,64,15,299.08,284628000,11416588000
1461579667,etcd,R (running),8512,8470,303.48 %,292 MB,11 GB,64,15,303.48,292372000,11424580000
1461579668,etcd,D (disk sleep),8512,8470,305.68 %,305 MB,11 GB,64,15,305.68,305092000,11436736000
1461579669,etcd,R (running),8512,8470,308.96 %,314 MB,11 GB,64,15,308.96,313616000,11444920000
1461579670,etcd,R (running),8512,8470,310.92 %,325 MB,12 GB,64,15,310.92,325192000,11457588000
1461579671,etcd,R (running),8512,8470,313.50 %,328 MB,12 GB,64,16,313.50,328020000,11533432000
1461579672,etcd,R (running),8512,8470,317.50 %,345 MB,12 GB,64,16,317.50,345172000,11548632000
1461579673,etcd,S (sleeping),8512,8470,319.78 %,350 MB,12 GB,64,16,319.78,350096000,11552860000
1461579674,etcd,S (sleeping),8512,8470,321.30 %,366 MB,12 GB,64,16,321.30,365484000,11567448000
1461579675,etcd,R (running),8512,8470,323.92 %,374 MB,12 GB,64,16,323.92,373840000,11575440000
1461579676,etcd,S (sleeping),8512,8470,327.14 %,381 MB,12 GB,64,16,327.14,381328000,11580896000
1461579677,etcd,D (disk sleep),8512,8470,328.10 %,394 MB,12 GB,64,16,328.10,393496000,11592660000
1461579678,etcd,S (sleeping),8512,8470,329.98 %,407 MB,12 GB,64,16,329.98,406772000,11605736000
1461579679,etcd,S (sleeping),8512,8470,332.56 %,412 MB,12 GB,64,16,332.56,412548000,11610364000
1461579680,etcd,S (sleeping),8512,8470,335.67 %,427 MB,12 GB,64,16,335.67,427064000,11624024000
1461579681,etcd,S (sleeping),8512,8470,336.02 %,439 MB,12 GB,64,16,336.02,438760000,11634860000
1461579682,etcd,S (sleeping),8512,8470,337.40 %,454 MB,12 GB,64,16,337.40,454304000,11650972000
1461579683,etcd,S (sleeping),8512,8470,339.19 %,463 MB,12 GB,64,16,339.19,463276000,11658760000
1461579684,etcd,R (running),8512,8470,340.86 %,474 MB,12 GB,64,16,340.86,473532000,11668012000
1461579685,etcd,S (sleeping),8512,8470,341.08 %,482 MB,12 GB,64,16,341.08,481556000,11676248000
1461579686,etcd,S (sleeping),8512,8470,343.22 %,494 MB,12 GB,64,16,343.22,493760000,11687876000
1461579687,etcd,S (sleeping),8512,8470,344.61 %,508 MB,12 GB,64,16,344.61,507716000,11699768000
1461579688,etcd,S (sleeping),8512,8470,346.68 %,516 MB,12 GB,64,16,346.68,516184000,11708488000
1461579689,etcd,R (running),8512,8470,346.67 %,524 MB,12 GB,64,16,346.67,524416000,11715296000
1461579690,etcd,R (running),8512,8470,347.49 %,538 MB,12 GB,64,16,347.49,538472000,11730748000
1461579691,etcd,R (running),8512,8470,348.86 %,553 MB,12 GB,64,16,348.86,553092000,11742640000
1461579692,etcd,S (sleeping),8512,8470,350.66 %,558 MB,12 GB,64,16,350.66,558400000,11746496000
1461579693,etcd,R (running),8512,8470,352.16 %,567 MB,12 GB,64,16,352.16,566588000,11754224000
1461579694,etcd,S (sleeping),8512,8470,352.28 %,581 MB,12 GB,64,16,352.28,581140000,11772256000
1461579695,etcd,R (running),8512,8470,352.65 %,589 MB,12 GB,64,16,352.65,589400000,11774964000
1461579696,etcd,R (running),8512,8470,352.80 %,604 MB,12 GB,64,16,352.80,604036000,11792468000
1461579697,etcd,R (running),8512,8470,353.75 %,612 MB,12 GB,64,16,353.75,612512000,11797016000
1461579698,etcd,S (sleeping),8512,8470,355.85 %,621 MB,12 GB,64,16,355.85,621016000,11803356000
1461579699,etcd,S (sleeping),8512,8470,356.18 %,639 MB,12 GB,64,16,356.18,639044000,11826148000
1461579700,etcd,S (sleeping),8512,8470,356.20 %,647 MB,12 GB,64,16,356.20,647072000,11829772000
1461579701,etcd,S (sleeping),8512,8470,356.19 %,654 MB,12 GB,64,16,356.19,653456000,11836046000
1461579702,etcd,R (running),8512,8470,356.19 %,660 MB,12 GB,64,16,356.19,659840000,11842320000
1461579703,etcd,R (running),8512,8470,357.18 %,664 MB,12 GB,64,16,357.18,663844000,11843980000
1461579704,etcd,S (sleeping),8512,8470,359.15 %,684 MB,12 GB,64,16,359.15,683564000,11865032000
1461579705,etcd,S (sleeping),8512,8470,359.91 %,686 MB,12 GB,64,16,359.91,685908000,11865288000
1461579706,etcd,D (disk sleep),8512,8470,360.07 %,699 MB,12 GB,64,16,360.07,698772000,11881012000
1461579707,etcd,D (disk sleep),8512,8470,359.60 %,706 MB,12 GB,64,16,359.60,705740000,11885040000
1461579708,etcd,S (sleeping),8512,8470,360.25 %,714 MB,12 GB,64,16,360.25,714416000,11892696000
1461579709,etcd,S (sleeping),8512,8470,360.42 %,737 MB,12 GB,64,16,360.42,737320000,11915028000
1461579710,etcd,S (sleeping),8512,8470,361.29 %,745 MB,12 GB,64,16,361.29,744748000,11920644000
1461579711,etcd,S (sleeping),8512,8470,362.15 %,752 MB,12 GB,64,16,362.15,751608000,11928368000
1461579712,etcd,D (disk sleep),8512,8470,363.12 %,763 MB,12 GB,64,16,363.12,763056000,11936964000
