unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461579647,24.749824,5843,5843,2.74,23.46,2.42,19.58,2.16,19.30,2.44,20.78
1461579648,26.500732,37460,43303,56.81,77.54,45.76,75.33,55.41,75.25,52.66,76.04
1461579649,28.360151,34856,78159,101.20,91.01,80.95,88.39,98.63,88.96,93.59,89.45
1461579650,30.452673,32395,110554,138.50,103.42,109.77,107.01,133.15,100.06,127.14,103.50
1461579651,29.648420,33652,144206,172.09,114.58,135.63,114.88,161.32,111.05,156.35,113.50
1461579652,30.584020,32495,176701,200.38,124.06,155.81,126.16,185.04,123.94,180.41,124.72
1461579653,31.552994,31499,208200,224.54,135.13,173.85,137.06,204.73,133.25,201.04,135.15
1461579654,32.708486,30583,238783,246.32,147.37,189.39,145.36,219.08,155.80,218.26,149.51
1461579655,33.055737,30175,268958,264.59,160.79,203.39,160.46,231.67,160.96,233.22,160.74
1461579656,32.366188,30435,299393,280.61,173.15,215.39,169.12,242.50,172.46,246.17,171.58
1461579657,33.931768,29196,328589,293.75,182.14,225.45,183.24,250.34,181.30,256.51,182.23
1461579658,34.967951,28795,357384,306.39,194.86,235.49,192.07,259.70,190.25,267.19,192.39
1461579659,35.858654,27790,385174,315.28,204.48,243.07,199.95,265.43,202.47,274.59,202.30
1461579660,33.817491,29370,414544,325.23,209.11,251.62,219.46,272.54,213.46,283.13,214.01
1461579661,35.408056,27992,442536,334.21,220.77,258.14,231.62,276.95,222.66,289.77,225.02
1461579662,34.163130,29233,471769,342.75,232.26,264.52,242.73,282.88,235.79,296.72,236.93
1461579663,35.251548,28552,500321,350.87,244.21,270.49,254.00,286.97,248.94,302.78,249.05
1461579664,34.882249,28114,528435,358.44,257.28,274.21,259.18,291.52,262.53,308.06,259.66
1461579665,33.577804,30144,558579,366.00,269.35,280.27,273.30,295.19,271.42,313.82,271.36
1461579666,36.257509,27544,586123,371.88,275.53,284.44,281.57,299.08,284.63,318.47,280.58
1461579667,34.094880,29212,615335,377.93,284.99,287.16,300.88,303.48,292.37,322.86,292.75
1461579668,36.711173,27120,642455,383.18,299.74,291.25,307.12,305.68,305.09,326.70,303.98
1461579669,36.923555,25766,668221,385.64,309.62,294.23,311.22,308.96,313.62,329.61,311.49
1461579670,38.142956,27236,695457,388.96,324.94,296.35,322.03,310.92,325.19,332.08,324.05
1461579671,37.534703,25416,720873,391.66,330.10,299.04,330.19,313.50,328.02,334.73,329.44
1461579672,34.505141,30297,751170,395.87,346.22,301.37,343.91,317.50,345.17,338.25,345.10
1461579673,35.423480,26706,777876,399.00,348.18,304.77,347.81,319.78,350.10,341.18,348.70
1461579674,37.489111,27764,805640,402.53,364.59,306.97,365.75,321.30,365.48,343.60,365.27
1461579675,31.821419,31395,837035,406.64,370.77,309.62,372.38,323.92,373.84,346.73,372.33
1461579676,35.116730,27999,865034,410.81,387.97,311.54,382.59,327.14,381.33,349.83,383.96
1461579677,33.981332,29832,894866,415.37,390.10,313.29,399.37,328.10,393.50,352.25,394.32
1461579678,32.387473,30822,925688,419.18,407.10,315.05,401.33,329.98,406.77,354.74,405.07
1461579679,33.334388,28917,954605,422.59,417.56,316.80,403.28,332.56,412.55,357.32,411.13
1461579680,33.761495,30266,984871,425.92,427.95,317.25,415.46,335.67,427.06,359.61,423.49
1461579681,33.828371,29332,1014203,429.07,440.43,319.24,433.10,336.02,438.76,361.44,437.43
1461579682,34.829377,28324,1042527,432.12,454.36,322.34,444.25,337.40,454.30,363.95,450.97
1461579683,32.187493,30338,1072865,433.44,458.13,323.92,445.57,339.19,463.28,365.52,455.66
1461579684,34.341411,29934,1102799,434.77,461.89,325.63,468.24,340.86,473.53,367.09,467.89
1461579685,35.227363,28438,1131237,438.04,468.44,326.58,477.92,341.08,481.56,368.57,475.97
1461579686,31.032886,31456,1162693,441.03,481.35,329.40,478.58,343.22,493.76,371.22,484.56
1461579687,35.817491,28405,1191098,443.43,495.59,330.80,495.64,344.61,507.72,372.95,499.65
1461579688,30.565103,31692,1222790,446.72,509.89,330.88,500.76,346.68,516.18,374.76,508.94
1461579689,37.769212,27159,1249949,449.21,516.84,332.87,513.25,346.67,524.42,376.25,518.17
