unix_ts,avg_latency_ms,throughput
1461579647,24.749824,5843
1461579648,26.500732,37460
1461579649,28.360151,34856
1461579650,30.452673,32395
1461579651,29.648420,33652
1461579652,30.584020,32495
1461579653,31.552994,31499
1461579654,32.708486,30583
1461579655,33.055737,30175
1461579656,32.366188,30435
1461579657,33.931768,29196
1461579658,34.967951,28795
1461579659,35.858654,27790
1461579660,33.817491,29370
1461579661,35.408056,27992
1461579662,34.163130,29233
1461579663,35.251548,28552
1461579664,34.882249,28114
1461579665,33.577804,30144
1461579666,36.257509,27544
1461579667,34.094880,29212
1461579668,36.711173,27120
1461579669,36.923555,25766
1461579670,38.142956,27236
1461579671,37.534703,25416
1461579672,34.505141,30297
1461579673,35.423480,26706
1461579674,37.489111,27764
1461579675,31.821419,31395
1461579676,35.116730,27999
1461579677,33.981332,29832
1461579678,32.387473,30822
1461579679,33.334388,28917
1461579680,33.761495,30266
1461579681,33.828371,29332
1461579682,34.829377,28324
1461579683,32.187493,30338
1461579684,34.341411,29934
1461579685,35.227363,28438
1461579686,31.032886,31456
1461579687,35.817491,28405
1461579688,30.565103,31692
1461579689,37.769212,27159
1461579690,31.680703,31077
1461579691,33.629359,29437
1461579692,35.351139,26860
1461579693,34.180148,30108
1461579694,33.247625,30523
1461579695,34.360407,28994
1461579696,34.239915,28394
1461579697,36.728098,28332
1461579698,33.706294,29423
1461579699,34.661883,28758
1461579700,35.124773,28289
1461579701,36.521522,27537
1461579702,31.832036,29212
1461579703,33.517393,30706
1461579704,34.989273,29360
1461579705,34.015268,28128
1461579706,37.214138,27821
1461579707,33.353937,29531
1461579708,36.699995,27409
1461579709,34.289151,27507
1461579710,34.385573,30600
1461579711,34.246480,27801
1461579712,31.608946,31454
1461579713,37.590316,26278
1461579714,36.141690,28974
1461579715,40.062811,25076
1461579716,23.446653,2462
