2016-04-25 11:27:41.793502 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 11:27:41.793584 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 11:27:41.793591 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 11:27:41.793596 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 11:27:41.793607 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 11:27:41.793673 I | etcdmain: listening for peers on http://10.240.0.25:2380
2016-04-25 11:27:41.793696 I | etcdmain: listening for client requests on 10.240.0.25:2379
2016-04-25 11:27:41.799991 I | etcdserver: name = etcd-1
2016-04-25 11:27:41.800021 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 11:27:41.800028 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 11:27:41.800034 I | etcdserver: heartbeat = 100ms
2016-04-25 11:27:41.800039 I | etcdserver: election = 1000ms
2016-04-25 11:27:41.800044 I | etcdserver: snapshot count = 10000
2016-04-25 11:27:41.800055 I | etcdserver: advertise client URLs = http://10.240.0.25:2379
2016-04-25 11:27:41.800061 I | etcdserver: initial advertise peer URLs = http://10.240.0.25:2380
2016-04-25 11:27:41.800074 I | etcdserver: initial cluster = etcd-1=http://10.240.0.25:2380,etcd-2=http://10.240.0.26:2380,etcd-3=http://10.240.0.27:2380
2016-04-25 11:27:41.803980 I | etcdserver: starting member 902178d022a9e690 in cluster 955473fb1bac9a64
2016-04-25 11:27:41.804038 I | raft: 902178d022a9e690 became follower at term 0
2016-04-25 11:27:41.804050 I | raft: newRaft 902178d022a9e690 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 11:27:41.804056 I | raft: 902178d022a9e690 became follower at term 1
2016-04-25 11:27:41.804227 I | etcdserver: enabling compression snappy-cpp
2016-04-25 11:27:41.819906 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 11:27:41.820608 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 11:27:41.820628 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 11:27:41.820696 N | etcdmain: serving insecure client requests on 10.240.0.25:2379, this is strongly discouraged!
2016-04-25 11:27:41.820953 N | etcdserver: added member 36850f32386ac2a [http://10.240.0.27:2380] to cluster 955473fb1bac9a64
