unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1461583663,etcd,R (running),19632,19606,0.00 %,5.4 MB,32 MB,64,1,0.00,5384000,31776000
1461583664,etcd,S (sleeping),19632,19606,8.91 %,19 MB,11 GB,64,15,8.91,19232000,11242216000
1461583665,etcd,S (sleeping),19632,19606,4.98 %,19 MB,11 GB,64,15,4.98,19232000,11242216000
1461583666,etcd,S (sleeping),19632,19606,3.99 %,19 MB,11 GB,64,15,3.99,19232000,11242216000
1461583667,etcd,S (sleeping),19632,19606,3.49 %,20 MB,11 GB,64,15,3.49,19488000,11242216000
1461583668,etcd,S (sleeping),19632,19606,3.19 %,20 MB,11 GB,64,15,3.19,19488000,11243272000
1461583669,etcd,S (sleeping),19632,19606,2.99 %,26 MB,11 GB,64,15,2.99,26056000,11244328000
1461583670,etcd,S (sleeping),19632,19606,48.86 %,73 MB,12 GB,64,15,48.86,72932000,11486908000
1461583671,etcd,S (sleeping),19632,19606,89.03 %,82 MB,12 GB,64,15,89.03,82272000,11495364000
1461583672,etcd,S (sleeping),19632,19606,126.02 %,91 MB,12 GB,64,15,126.02,91424000,11505076000
1461583673,etcd,R (running),19632,19606,157.13 %,99 MB,12 GB,64,15,157.13,99268000,11511684000
1461583674,etcd,S (sleeping),19632,19606,184.22 %,109 MB,12 GB,64,15,184.22,108960000,11519084000
1461583675,etcd,S (sleeping),19632,19606,203.99 %,114 MB,12 GB,64,15,203.99,114088000,11524368000
1461583676,etcd,S (sleeping),19632,19606,222.01 %,120 MB,12 GB,64,15,222.01,119888000,11531112000
1461583677,etcd,S (sleeping),19632,19606,237.08 %,126 MB,12 GB,64,15,237.08,125996000,11535532000
1461583678,etcd,S (sleeping),19632,19606,251.23 %,133 MB,12 GB,64,15,251.23,132856000,11541016000
1461583679,etcd,R (running),19632,19606,262.80 %,149 MB,12 GB,64,15,262.80,148596000,11548680000
1461583680,etcd,S (sleeping),19632,19606,272.11 %,152 MB,12 GB,64,15,272.11,152428000,11552316000
1461583681,etcd,D (disk sleep),19632,19606,282.40 %,162 MB,12 GB,64,15,282.40,161488000,11561236000
1461583682,etcd,S (sleeping),19632,19606,290.98 %,170 MB,12 GB,64,15,290.98,170532000,11568664000
1461583683,etcd,S (sleeping),19632,19606,298.90 %,178 MB,12 GB,64,15,298.90,178188000,11576064000
1461583684,etcd,S (sleeping),19632,19606,305.36 %,184 MB,12 GB,64,15,305.36,184048000,11582472000
1461583685,etcd,S (sleeping),19632,19606,311.18 %,193 MB,12 GB,64,15,311.18,193052000,11589396000
1461583686,etcd,S (sleeping),19632,19606,314.60 %,199 MB,12 GB,64,15,314.60,198996000,11594680000
1461583687,etcd,S (sleeping),19632,19606,320.38 %,204 MB,12 GB,64,15,320.38,204212000,11598908000
1461583688,etcd,S (sleeping),19632,19606,324.90 %,212 MB,12 GB,64,15,324.90,211956000,11606772000
1461583689,etcd,S (sleeping),19632,19606,328.39 %,222 MB,12 GB,64,15,328.39,222080000,11619504000
1461583690,etcd,S (sleeping),19632,19606,330.69 %,227 MB,12 GB,64,15,330.69,227240000,11619504000
1461583691,etcd,S (sleeping),19632,19606,333.36 %,231 MB,12 GB,64,15,333.36,231344000,11624060000
1461583692,etcd,S (sleeping),19632,19606,336.20 %,239 MB,12 GB,64,15,336.20,239148000,11634632000
1461583693,etcd,R (running),19632,19606,337.04 %,244 MB,12 GB,64,15,337.04,244448000,11634632000
1461583694,etcd,S (sleeping),19632,19606,338.31 %,250 MB,12 GB,64,15,338.31,250296000,11640172000
1461583695,etcd,R (running),19632,19606,340.63 %,256 MB,12 GB,64,15,340.63,255684000,11645456000
1461583696,etcd,R (running),19632,19606,342.11 %,262 MB,12 GB,64,15,342.11,262488000,11650744000
1461583697,etcd,S (sleeping),19632,19606,342.78 %,274 MB,12 GB,64,15,342.78,273852000,11661568000
1461583698,etcd,R (running),19632,19606,343.73 %,275 MB,12 GB,64,15,343.73,274792000,11667108000
1461583699,etcd,S (sleeping),19632,19606,344.43 %,281 MB,12 GB,64,15,344.43,281272000,11668424000
1461583700,etcd,S (sleeping),19632,19606,345.82 %,289 MB,12 GB,64,15,345.82,288688000,11676076000
1461583701,etcd,S (sleeping),19632,19606,345.94 %,293 MB,12 GB,64,15,345.94,292692000,11680560000
1461583702,etcd,R (running),19632,19606,346.65 %,300 MB,12 GB,64,15,346.65,300240000,11686112000
1461583703,etcd,R (running),19632,19606,347.29 %,304 MB,12 GB,64,15,347.29,304264000,11690340000
1461583704,etcd,R (running),19632,19606,347.95 %,309 MB,12 GB,64,15,347.95,309244000,11695132000
1461583705,etcd,S (sleeping),19632,19606,348.61 %,314 MB,12 GB,64,15,348.61,314224000,11699924000
1461583706,etcd,S (sleeping),19632,19606,349.73 %,318 MB,12 GB,64,15,349.73,317456000,11703096000
1461583707,etcd,S (sleeping),19632,19606,350.83 %,324 MB,12 GB,64,15,350.83,324520000,11710896000
1461583708,etcd,R (running),19632,19606,351.74 %,328 MB,12 GB,64,15,351.74,327964000,11713008000
1461583709,etcd,S (sleeping),19632,19606,352.98 %,334 MB,12 GB,64,15,352.98,334224000,11722976000
1461583710,etcd,S (sleeping),19632,19606,353.34 %,342 MB,12 GB,64,15,353.34,341820000,11724036000
1461583711,etcd,D (disk sleep),19632,19606,354.07 %,352 MB,12 GB,64,15,354.07,351784000,11733948000
1461583712,etcd,S (sleeping),19632,19606,354.65 %,354 MB,12 GB,64,15,354.65,353888000,11737120000
1461583713,etcd,R (running),19632,19606,356.23 %,360 MB,12 GB,64,15,356.23,359580000,11740292000
1461583714,etcd,S (sleeping),19632,19606,356.39 %,365 MB,12 GB,64,15,356.39,365080000,11744784000
1461583715,etcd,S (sleeping),19632,19606,357.07 %,374 MB,12 GB,64,15,357.07,374284000,11754296000
1461583716,etcd,S (sleeping),19632,19606,357.32 %,378 MB,12 GB,64,15,357.32,377968000,11758852000
1461583717,etcd,S (sleeping),19632,19606,358.94 %,386 MB,12 GB,64,15,358.94,386416000,11764336000
1461583718,etcd,S (sleeping),19632,19606,359.60 %,391 MB,12 GB,64,15,359.60,391356000,11772792000
1461583719,etcd,S (sleeping),19632,19606,358.94 %,398 MB,12 GB,64,15,358.94,397664000,11773848000
1461583720,etcd,R (running),19632,19606,359.51 %,402 MB,12 GB,64,15,359.51,401932000,11780448000
1461583721,etcd,R (running),19632,19606,360.08 %,409 MB,12 GB,64,15,360.08,408584000,11785068000
1461583722,etcd,S (sleeping),19632,19606,360.08 %,417 MB,12 GB,64,16,360.08,417104000,11931736000
1461583723,etcd,S (sleeping),19632,19606,360.76 %,421 MB,12 GB,64,16,360.76,420976000,11935964000
1461583724,etcd,R (running),19632,19606,360.71 %,426 MB,12 GB,64,16,360.71,425488000,11939472000
1461583725,etcd,R (running),19632,19606,361.05 %,435 MB,12 GB,64,16,361.05,435188000,11950568000
1461583726,etcd,S (sleeping),19632,19606,360.96 %,440 MB,12 GB,64,16,360.96,439840000,11952684000
1461583727,etcd,R (running),19632,19606,361.11 %,447 MB,12 GB,64,16,361.11,446764000,11963360000
1461583728,etcd,S (sleeping),19632,19606,361.92 %,453 MB,12 GB,64,16,361.92,453236000,11963616000
1461583729,etcd,S (sleeping),19632,19606,362.01 %,454 MB,12 GB,64,16,362.01,453664000,11967844000
1461583730,etcd,S (sleeping),19632,19606,362.84 %,462 MB,12 GB,64,16,362.84,462436000,11971536000
1461583731,etcd,S (sleeping),19632,19606,363.17 %,469 MB,12 GB,64,16,363.17,469392000,11983164000
1461583732,etcd,D (disk sleep),19632,19606,363.96 %,476 MB,12 GB,64,16,363.96,476540000,11985276000
1461583733,etcd,R (running),19632,19606,363.84 %,481 MB,12 GB,64,16,363.84,480804000,11988448000
1461583734,etcd,S (sleeping),19632,19606,363.87 %,488 MB,12 GB,64,16,363.87,488332000,11994792000
1461583735,etcd,S (sleeping),19632,19606,364.47 %,495 MB,12 GB,64,16,364.47,495304000,12003704000
1461583736,etcd,S (sleeping),19632,19606,364.32 %,498 MB,12 GB,64,16,364.32,497744000,12003704000
1461583737,etcd,S (sleeping),19632,19606,364.79 %,502 MB,12 GB,64,16,364.79,502400000,12009244000
1461583738,etcd,R (running),19632,19606,364.66 %,511 MB,12 GB,64,16,364.66,510684000,12017956000
1461583739,etcd,D (disk sleep),19632,19606,365.17 %,516 MB,12 GB,64,16,365.17,515972000,12019276000
1461583740,etcd,S (sleeping),19632,19606,364.99 %,521 MB,12 GB,64,16,364.99,520652000,12023760000
1461583741,etcd,S (sleeping),19632,19606,365.48 %,528 MB,12 GB,64,16,365.48,527676000,12032216000
1461583742,etcd,S (sleeping),19632,19606,364.95 %,531 MB,12 GB,64,16,364.95,531048000,12037500000
1461583743,etcd,R (running),19632,19606,364.17 %,539 MB,12 GB,64,16,364.17,539384000,12044900000
1461583744,etcd,R (running),19632,19606,364.30 %,552 MB,12 GB,64,16,364.30,551700000,12056528000
1461583745,etcd,R (running),19632,19606,364.61 %,554 MB,12 GB,64,16,364.61,554296000,12056528000
1461583746,etcd,S (sleeping),19632,19606,364.22 %,559 MB,12 GB,64,16,364.22,559300000,12059836000
1461583747,etcd,R (running),19632,19606,365.09 %,573 MB,12 GB,64,16,365.09,572620000,12072520000
1461583748,etcd,S (sleeping),19632,19606,365.48 %,575 MB,12 GB,64,16,365.48,574836000,12072520000
1461583749,etcd,R (running),19632,19606,365.07 %,580 MB,12 GB,64,16,365.07,579960000,12080976000
1461583750,etcd,S (sleeping),19632,19606,365.43 %,590 MB,12 GB,64,16,365.43,589832000,12089688000
1461583751,etcd,S (sleeping),19632,19606,365.08 %,600 MB,12 GB,64,16,365.08,599688000,12097088000
1461583752,etcd,S (sleeping),19632,19606,365.43 %,606 MB,12 GB,64,16,365.43,605896000,12101580000
1461583753,etcd,R (running),19632,19606,365.18 %,606 MB,12 GB,64,16,365.18,606424000,12101836000
1461583754,etcd,S (sleeping),19632,19606,365.75 %,608 MB,12 GB,64,16,365.75,607940000,12108176000
1461583755,etcd,S (sleeping),19632,19606,365.31 %,611 MB,12 GB,64,16,365.31,610684000,12108176000
1461583756,etcd,R (running),19632,19606,366.12 %,626 MB,12 GB,64,16,366.12,626268000,12131432000
1461583757,etcd,S (sleeping),19632,19606,366.04 %,639 MB,12 GB,64,16,366.04,638964000,12131688000
1461583758,etcd,S (sleeping),19632,19606,366.73 %,642 MB,12 GB,64,16,366.73,641840000,12137228000
1461583759,etcd,R (running),19632,19606,366.50 %,647 MB,12 GB,64,16,366.50,646588000,12138484000
1461583760,etcd,S (sleeping),19632,19606,366.20 %,647 MB,12 GB,64,16,366.20,647096000,12142076000
1461583761,etcd,S (sleeping),19632,19606,366.02 %,657 MB,12 GB,64,16,366.02,657204000,12148680000
1461583762,etcd,R (running),19632,19606,366.67 %,658 MB,12 GB,64,16,366.67,658480000,12149740000
1461583763,etcd,R (running),19632,19606,367.15 %,667 MB,12 GB,64,16,367.15,667292000,12160900000
1461583764,etcd,S (sleeping),19632,19606,366.93 %,672 MB,12 GB,64,16,366.93,671912000,12163016000
1461583765,etcd,S (sleeping),19632,19606,366.83 %,676 MB,12 GB,64,16,366.83,676036000,12170616000
1461583766,etcd,S (sleeping),19632,19606,366.64 %,679 MB,12 GB,64,16,366.64,678748000,12170616000
1461583767,etcd,S (sleeping),19632,19606,366.43 %,686 MB,12 GB,64,16,366.43,686196000,12173784000
1461583768,etcd,S (sleeping),19632,19606,366.40 %,691 MB,12 GB,64,16,366.40,691104000,12188584000
1461583769,etcd,R (running),19632,19606,366.88 %,703 MB,12 GB,64,16,366.88,703448000,12195984000
1461583770,etcd,S (sleeping),19632,19606,367.23 %,704 MB,12 GB,64,16,367.23,704424000,12195984000
1461583771,etcd,S (sleeping),19632,19606,367.49 %,718 MB,12 GB,64,16,367.49,717488000,12205496000
1461583772,etcd,D (disk sleep),19632,19606,367.82 %,719 MB,12 GB,64,16,367.82,719120000,12205496000
1461583773,etcd,S (sleeping),19632,19606,367.93 %,726 MB,12 GB,64,16,367.93,725732000,12211836000
1461583774,etcd,S (sleeping),19632,19606,368.19 %,728 MB,12 GB,64,16,368.19,728124000,12211836000
1461583775,etcd,S (sleeping),19632,19606,368.46 %,734 MB,12 GB,64,16,368.46,733780000,12220804000
1461583776,etcd,S (sleeping),19632,19606,368.79 %,745 MB,12 GB,64,16,368.79,744592000,12227412000
1461583777,etcd,S (sleeping),19632,19606,368.34 %,745 MB,12 GB,64,16,368.34,744592000,12227412000
1461583778,etcd,S (sleeping),19632,19606,368.63 %,748 MB,12 GB,64,16,368.63,748404000,12244588000
1461583779,etcd,R (running),19632,19606,368.76 %,760 MB,12 GB,64,16,368.76,760180000,12244588000
1461583780,etcd,R (running),19632,19606,368.66 %,765 MB,12 GB,64,16,368.66,764588000,12245644000
1461583781,etcd,R (running),19632,19606,368.94 %,768 MB,12 GB,64,16,368.94,767556000,12258120000
1461583782,etcd,S (sleeping),19632,19606,369.15 %,781 MB,12 GB,64,16,369.15,781340000,12265776000
1461583783,etcd,S (sleeping),19632,19606,369.04 %,788 MB,12 GB,64,16,369.04,787836000,12271572000
1461583784,etcd,D (disk sleep),19632,19606,369.31 %,794 MB,12 GB,64,16,369.31,793732000,12273688000
1461583785,etcd,R (running),19632,19606,369.39 %,794 MB,12 GB,64,16,369.39,794144000,12273688000
1461583786,etcd,S (sleeping),19632,19606,369.91 %,800 MB,12 GB,64,16,369.91,800532000,12288684000
1461583787,etcd,S (sleeping),19632,19606,370.39 %,815 MB,12 GB,64,16,370.39,815380000,12304012000
1461583788,etcd,S (sleeping),19632,19606,370.94 %,819 MB,12 GB,64,16,370.94,818844000,12304012000
