unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1461583669,49.184851,2774,2774,3.74,25.14,2.71,23.47,2.99,26.06,3.15,24.89
1461583670,44.823821,21354,24128,49.39,69.67,42.64,69.68,48.86,72.93,46.96,70.76
1461583671,45.299715,21165,45293,89.43,80.63,78.16,78.98,89.03,82.27,85.54,80.63
1461583672,44.514078,21651,66944,128.01,90.30,112.16,87.13,126.02,91.42,122.06,89.62
1461583673,45.391027,21300,88244,160.80,95.96,139.62,97.60,157.13,99.27,152.52,97.61
1461583674,47.682085,20065,108309,189.80,106.03,162.71,103.04,184.22,108.96,178.91,106.01
1461583675,49.737395,19349,127658,213.18,111.12,183.05,117.18,203.99,114.09,200.07,114.13
1461583676,51.402726,18628,146286,233.49,120.18,199.22,126.24,222.01,119.89,218.24,122.10
1461583677,49.529013,19490,165776,251.40,125.78,213.95,133.44,237.08,126.00,234.14,128.41
1461583678,51.004507,18909,184685,267.53,131.19,227.35,140.92,251.23,132.86,248.70,134.99
1461583679,51.441699,18506,203191,283.83,140.33,239.59,148.84,262.80,148.60,262.07,145.92
1461583680,50.074605,19464,222655,297.69,145.89,249.00,150.50,272.11,152.43,272.93,149.61
1461583681,50.522055,19008,241663,310.41,154.64,257.92,163.41,282.40,161.49,283.58,159.85
1461583682,49.737627,19472,261135,322.87,161.03,266.95,168.19,290.98,170.53,293.60,166.58
1461583683,51.567872,18605,279740,334.06,169.84,274.19,174.90,298.90,178.19,302.38,174.31
1461583684,50.832103,19278,299018,344.48,180.02,280.90,184.12,305.36,184.05,310.25,182.73
1461583685,53.435080,18245,317263,354.77,182.92,287.06,190.20,311.18,193.05,317.67,188.72
1461583686,54.520894,17639,334902,363.68,189.87,291.50,196.02,314.60,199.00,323.26,194.96
1461583687,53.554223,18230,353132,371.12,198.29,296.74,207.80,320.38,204.21,329.41,203.43
1461583688,52.717993,18708,371840,379.68,203.28,300.19,211.47,324.90,211.96,334.92,208.90
1461583689,54.324967,17738,389578,386.92,210.82,304.13,218.03,328.39,222.08,339.81,216.98
1461583690,55.414877,17706,407284,393.24,218.12,307.25,225.03,330.69,227.24,343.73,223.46
1461583691,57.383914,16953,424237,398.57,226.30,310.40,232.43,333.36,231.34,347.44,230.02
1461583692,55.184755,17511,441748,404.11,233.35,313.34,239.18,336.20,239.15,351.22,237.23
1461583693,59.626947,16538,458286,407.84,236.95,316.21,247.83,337.04,244.45,353.70,243.08
1461583694,60.861149,16130,474416,411.18,245.91,317.85,251.17,338.31,250.30,355.78,249.13
1461583695,56.017213,16954,491370,415.00,249.45,320.66,259.10,340.63,255.68,358.76,254.74
1461583696,58.114741,16535,507905,419.03,259.74,322.83,268.90,342.11,262.49,361.32,263.71
1461583697,64.781428,15067,522972,421.12,267.16,323.49,269.24,342.78,273.85,362.46,270.08
1461583698,62.244066,16035,539007,422.08,268.71,325.46,275.86,343.73,274.79,363.76,273.12
1461583699,62.326770,15030,554037,423.04,270.26,326.14,282.24,344.43,281.27,364.54,277.92
1461583700,66.807499,15050,569087,425.47,275.82,327.76,284.03,345.82,288.69,366.35,282.85
1461583701,61.950124,15922,585009,427.01,281.71,328.63,291.61,345.94,292.69,367.19,288.67
1461583702,62.226409,15453,600462,428.87,288.84,330.12,299.97,346.65,300.24,368.55,296.35
1461583703,63.307670,15241,615703,430.51,294.78,331.63,307.48,347.29,304.26,369.81,302.17
1461583704,61.021277,15613,631316,432.41,300.96,332.29,310.51,347.95,309.24,370.88,306.90
1461583705,58.466861,17266,648582,434.75,312.14,333.60,315.79,348.61,314.22,372.32,314.05
1461583706,59.772574,16288,664870,436.98,320.08,334.53,322.82,349.73,317.46,373.75,320.12
1461583707,57.704622,16622,681492,439.18,325.06,335.31,326.10,350.83,324.52,375.11,325.23
1461583708,59.861836,15708,697200,441.65,332.09,336.10,329.38,351.74,327.96,376.50,329.81
1461583709,60.715668,16621,713821,443.14,341.03,337.13,337.28,352.98,334.22,377.75,337.51
1461583710,58.408218,16297,730118,445.79,347.65,338.23,343.84,353.34,341.82,379.12,344.44
1461583711,63.463873,15770,745888,447.81,351.59,338.72,349.95,354.07,351.78,380.20,351.11
1461583712,56.695777,16834,762722,449.09,354.06,340.30,354.53,354.65,353.89,381.35,354.16
1461583713,61.016132,15619,778341,451.94,362.56,341.14,363.73,356.23,359.58,383.10,361.96
1461583714,60.843422,16523,794864,452.38,366.28,342.09,365.15,356.39,365.08,383.62,365.50
1461583715,58.496264,16156,811020,454.16,377.38,343.52,376.29,357.07,374.28,384.92,375.98
1461583716,58.948654,16506,827526,456.26,383.54,344.28,380.59,357.32,377.97,385.95,380.70
1461583717,61.499511,15137,842663,458.40,391.92,344.70,386.12,358.94,386.42,387.35,388.15
1461583718,63.379993,15896,858559,459.76,395.90,345.23,394.00,359.60,391.36,388.20,393.75
1461583719,58.159846,16631,875190,461.44,402.33,345.97,403.26,358.94,397.66,388.78,401.08
1461583720,60.633908,16697,891887,463.77,412.24,346.21,405.84,359.51,401.93,389.83,406.67
1461583721,63.451688,14617,906504,465.11,415.43,346.21,408.67,360.08,408.58,390.47,410.89
1461583722,65.542248,15300,921804,466.64,419.75,346.88,415.28,360.08,417.10,391.20,417.38
1461583723,68.704612,14829,936633,466.70,422.25,347.64,423.70,360.76,420.98,391.70,422.31
1461583724,56.883692,17222,953855,467.88,430.52,348.04,426.10,360.71,425.49,392.21,427.37
1461583725,60.394052,15436,969291,469.57,438.21,348.52,431.73,361.05,435.19,393.05,435.04
1461583726,61.509239,16069,985360,471.02,443.67,349.08,439.23,360.96,439.84,393.69,440.91
1461583727,63.819035,15255,1000615,473.04,450.09,349.18,451.87,361.11,446.76,394.44,449.57
1461583728,58.573848,17403,1018018,474.45,452.39,349.17,462.62,361.92,453.24,395.18,456.08
1461583729,76.705039,12896,1030914,475.23,460.09,349.56,463.15,362.01,453.66,395.60,458.97
1461583730,58.925347,16410,1047324,475.65,462.66,349.22,463.15,362.84,462.44,395.90,462.75
1461583731,56.485187,16828,1064152,477.37,472.98,350.46,468.74,363.17,469.39,397.00,470.37
1461583732,58.180588,16833,1080985,479.11,480.77,350.59,477.65,363.96,476.54,397.89,478.32
1461583733,62.423508,15855,1096840,480.71,485.02,350.74,482.71,363.84,480.80,398.43,482.84
1461583734,57.708850,16000,1112840,482.16,491.86,351.27,486.81,363.87,488.33,399.10,489.00
1461583735,67.828119,14657,1127497,483.42,496.26,351.47,497.79,364.47,495.30,399.79,496.45
1461583736,62.125119,15462,1142959,482.37,496.90,351.44,497.79,364.32,497.74,399.38,497.48
1461583737,61.473294,16021,1158980,483.81,511.25,351.72,505.31,364.79,502.40,400.11,506.32
1461583738,60.138792,15680,1174660,484.81,515.08,351.28,511.71,364.66,510.68,400.25,512.49
1461583739,61.626727,16838,1191498,486.19,517.98,351.69,516.85,365.17,515.97,401.02,516.93
1461583740,57.549902,16277,1207775,487.11,528.46,351.74,521.71,364.99,520.65,401.28,523.61
1461583741,62.141686,14954,1222729,488.30,533.16,352.05,523.94,365.48,527.68,401.94,528.26
1461583742,62.750433,16617,1239346,489.38,541.74,352.07,533.02,364.95,531.05,402.13,535.27
1461583743,71.239592,13173,1252519,489.95,542.91,352.42,542.06,364.17,539.38,402.18,541.45
1461583744,60.218510,15952,1268471,489.67,543.33,352.30,551.93,364.30,551.70,402.09,548.99
1461583745,65.090837,15708,1284179,491.24,556.40,352.77,554.60,364.61,554.30,402.87,555.10
1461583746,56.799585,17212,1301391,492.69,564.27,353.06,561.25,364.22,559.30,403.32,561.61
1461583747,56.233187,16891,1318282,493.89,566.06,353.68,566.10,365.09,572.62,404.22,568.26
1461583748,57.114303,16682,1334964,495.08,577.48,353.24,573.33,365.48,574.84,404.60,575.22
1461583749,59.765714,15989,1350953,496.93,584.48,353.83,583.48,365.07,579.96,405.28,582.64
1461583750,59.251823,16379,1367332,497.97,591.51,354.35,586.12,365.43,589.83,405.92,589.15
1461583751,59.137277,16142,1383474,499.29,596.54,353.81,588.64,365.08,599.69,406.06,594.96
1461583752,58.846361,17324,1400798,500.31,601.65,353.79,600.17,365.43,605.90,406.51,602.57
1461583753,58.558127,17321,1418119,501.74,609.76,354.38,608.76,365.18,606.42,407.10,608.31
1461583754,57.689506,16797,1434916,503.02,615.37,354.69,618.65,365.75,607.94,407.82,613.99
1461583755,62.639726,15526,1450442,504.03,621.43,354.86,621.30,365.31,610.68,408.07,617.80
1461583756,55.591383,16704,1467146,505.20,626.94,354.49,621.61,366.12,626.27,408.60,624.94
1461583757,55.626956,18791,1485937,506.33,637.26,355.39,628.95,366.04,638.96,409.25,635.06
1461583758,60.281342,16217,1502154,507.53,643.23,355.51,640.30,366.73,641.84,409.92,641.79
1461583759,57.665763,15399,1517553,508.55,646.36,356.02,642.10,366.50,646.59,410.36,645.02
1461583760,76.319399,13899,1531452,508.84,649.86,356.35,648.71,366.20,647.10,410.46,648.56
1461583761,58.021718,16924,1548376,507.86,653.02,356.46,653.26,366.02,657.20,410.11,654.49
1461583762,70.703659,13922,1562298,508.36,658.73,357.14,660.08,366.67,658.48,410.72,659.10
1461583763,60.404144,15067,1577365,509.18,667.18,357.43,668.56,367.15,667.29,411.25,667.68
1461583764,68.452342,14295,1591660,508.49,672.78,357.29,673.65,366.93,671.91,410.90,672.78
1461583765,54.447666,17964,1609624,508.98,684.12,357.91,679.59,366.83,676.04,411.24,679.92
1461583766,65.025456,15613,1625237,510.21,695.67,358.45,682.35,366.64,678.75,411.77,685.59
1461583767,56.948306,16107,1641344,511.15,698.95,358.71,688.76,366.43,686.20,412.10,691.30
1461583768,64.920189,16243,1657587,512.11,710.46,358.26,698.30,366.40,691.10,412.26,699.95
1461583769,54.669169,16103,1673690,513.25,710.46,358.48,699.09,366.88,703.45,412.87,704.33
1461583770,62.377627,16000,1689690,514.18,717.42,358.16,704.38,367.23,704.42,413.19,708.74
1461583771,71.671535,14531,1704221,513.86,717.68,358.39,718.16,367.49,717.49,413.25,717.78
1461583772,53.886089,16292,1720513,514.30,724.23,358.32,719.95,367.82,719.12,413.48,721.10
1461583773,66.206419,14509,1735022,514.68,734.85,357.25,720.33,367.93,725.73,413.29,726.97
1461583774,62.077816,14794,1749816,514.93,735.68,357.63,734.32,368.19,728.12,413.58,732.71
