unix_ts,avg_latency_ms,throughput
1461583669,49.184851,2774
1461583670,44.823821,21354
1461583671,45.299715,21165
1461583672,44.514078,21651
1461583673,45.391027,21300
1461583674,47.682085,20065
1461583675,49.737395,19349
1461583676,51.402726,18628
1461583677,49.529013,19490
1461583678,51.004507,18909
1461583679,51.441699,18506
1461583680,50.074605,19464
1461583681,50.522055,19008
1461583682,49.737627,19472
1461583683,51.567872,18605
1461583684,50.832103,19278
1461583685,53.435080,18245
1461583686,54.520894,17639
1461583687,53.554223,18230
1461583688,52.717993,18708
1461583689,54.324967,17738
1461583690,55.414877,17706
1461583691,57.383914,16953
1461583692,55.184755,17511
1461583693,59.626947,16538
1461583694,60.861149,16130
1461583695,56.017213,16954
1461583696,58.114741,16535
1461583697,64.781428,15067
1461583698,62.244066,16035
1461583699,62.326770,15030
1461583700,66.807499,15050
1461583701,61.950124,15922
1461583702,62.226409,15453
1461583703,63.307670,15241
1461583704,61.021277,15613
1461583705,58.466861,17266
1461583706,59.772574,16288
1461583707,57.704622,16622
1461583708,59.861836,15708
1461583709,60.715668,16621
1461583710,58.408218,16297
1461583711,63.463873,15770
1461583712,56.695777,16834
1461583713,61.016132,15619
1461583714,60.843422,16523
1461583715,58.496264,16156
1461583716,58.948654,16506
1461583717,61.499511,15137
1461583718,63.379993,15896
1461583719,58.159846,16631
1461583720,60.633908,16697
1461583721,63.451688,14617
1461583722,65.542248,15300
1461583723,68.704612,14829
1461583724,56.883692,17222
1461583725,60.394052,15436
1461583726,61.509239,16069
1461583727,63.819035,15255
1461583728,58.573848,17403
1461583729,76.705039,12896
1461583730,58.925347,16410
1461583731,56.485187,16828
1461583732,58.180588,16833
1461583733,62.423508,15855
1461583734,57.708850,16000
1461583735,67.828119,14657
1461583736,62.125119,15462
1461583737,61.473294,16021
1461583738,60.138792,15680
1461583739,61.626727,16838
1461583740,57.549902,16277
1461583741,62.141686,14954
1461583742,62.750433,16617
1461583743,71.239592,13173
1461583744,60.218510,15952
1461583745,65.090837,15708
1461583746,56.799585,17212
1461583747,56.233187,16891
1461583748,57.114303,16682
1461583749,59.765714,15989
1461583750,59.251823,16379
1461583751,59.137277,16142
1461583752,58.846361,17324
1461583753,58.558127,17321
1461583754,57.689506,16797
1461583755,62.639726,15526
1461583756,55.591383,16704
1461583757,55.626956,18791
1461583758,60.281342,16217
1461583759,57.665763,15399
1461583760,76.319399,13899
1461583761,58.021718,16924
1461583762,70.703659,13922
1461583763,60.404144,15067
1461583764,68.452342,14295
1461583765,54.447666,17964
1461583766,65.025456,15613
1461583767,56.948306,16107
1461583768,64.920189,16243
1461583769,54.669169,16103
1461583770,62.377627,16000
1461583771,71.671535,14531
1461583772,53.886089,16292
1461583773,66.206419,14509
1461583774,62.077816,14794
1461583775,66.205555,15499
1461583776,64.369906,16173
1461583777,60.286660,15741
1461583778,63.801703,15492
1461583779,60.233412,16625
1461583780,59.570544,16331
1461583781,66.315263,15302
1461583782,57.316582,15530
1461583783,66.253896,16074
1461583784,63.830872,15382
1461583785,58.301662,17302
1461583786,61.879084,16082
1461583787,67.256271,13730
1461583788,61.493400,16934
1461583789,65.882702,13601
1461583790,72.311443,14386
