second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
0,29.995083,19861,19861,2.45,25.07,29.953455,29592,29592,9.83,33.37
1,30.461709,32502,52363,50.07,91.54,32.617533,29309,58901,51.30,89.87
2,33.619075,29633,81996,90.93,106.92,35.683975,27598,86499,90.77,100.34
3,34.357141,28943,110939,122.91,115.57,36.269241,26810,113309,125.31,112.45
4,35.162439,28470,139409,151.25,134.47,36.276258,27444,140753,154.24,126.10
5,33.995673,29055,168464,175.40,144.58,36.974012,26522,167275,178.94,135.02
6,35.383990,28219,196683,196.26,159.63,38.332450,25812,193087,199.47,147.20
7,35.451962,28173,224856,212.88,173.30,37.905881,25517,218604,216.87,161.37
8,39.092018,25520,250376,226.99,181.52,39.480126,25224,243828,231.77,173.21
9,35.613843,27434,277810,238.98,191.13,38.112233,25952,269780,244.42,186.78
10,38.387757,26417,304227,250.67,206.91,37.763392,25440,295220,256.45,195.97
11,37.984474,26101,330328,259.47,217.96,36.980197,26823,322043,266.98,207.35
12,35.715894,27258,357586,269.15,230.98,38.501789,25628,347671,277.08,219.78
13,37.260513,27151,384737,277.14,239.43,37.984685,25293,372964,285.82,232.72
14,35.346607,27926,412663,284.82,251.35,37.689367,26402,399366,293.65,242.99
15,36.306291,27350,440013,291.94,263.90,38.675315,25046,424412,300.76,248.95
16,36.141478,27895,467908,298.03,277.25,39.635671,25603,450015,307.43,261.74
17,37.116024,26687,494595,304.03,285.75,40.253115,24567,474582,313.22,273.40
18,35.427511,28206,522801,309.39,297.62,39.349865,24910,499492,318.33,290.76
19,36.792569,26249,549050,314.16,306.43,39.053380,25304,524796,323.11,298.11
20,37.153566,26933,575983,318.95,320.35,38.693376,25443,550239,327.89,311.33
21,36.169159,28088,604071,323.11,337.09,40.746275,24298,574537,332.14,320.60
22,37.969190,26435,630506,326.64,346.59,37.781755,25235,599772,335.71,329.45
23,37.009277,26692,657198,330.89,353.92,39.412643,25674,625446,339.87,342.74
24,36.426527,27104,684302,334.22,369.40,41.832392,22728,648174,342.88,351.65
25,37.311130,26291,710593,337.51,384.37,41.386648,24807,672981,345.60,363.63
26,38.712166,26606,737199,340.88,391.51,38.153036,25847,698828,348.87,376.64
27,36.251894,27090,764289,344.07,399.28,41.781049,23515,722343,351.93,387.42
28,38.384177,26450,790739,346.23,415.96,42.546270,22548,744891,354.23,397.75
29,36.877549,26363,817102,348.71,430.05,43.194549,23685,768576,356.44,407.13
30,36.870413,26537,843639,350.80,435.71,40.549853,24282,792858,358.48,415.79
31,38.254524,26645,870284,352.87,446.74,40.775059,24088,816946,360.65,426.06
32,37.240872,26507,896791,354.63,460.64,43.289874,23066,840012,362.76,435.00
33,37.441832,27269,924060,357.13,475.18,36.914541,25450,865462,364.59,449.52
34,35.833803,26785,950845,359.06,485.17,41.910771,24564,890026,366.93,458.55
35,38.562000,26470,977315,361.24,497.96,41.311872,22681,912707,368.78,464.20
36,40.624454,22685,,,,43.125193,24057,936764,370.13,479.80
37,,,,,,42.658105,21831,958595,371.60,489.09
38,,,,,,44.602167,22025,980620,372.85,503.73
39,,,,,,42.092999,19380,,,
