2016-04-25 13:10:55.566254 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 13:10:55.566330 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 13:10:55.566337 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 13:10:55.566342 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 13:10:55.566348 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 13:10:55.566413 I | etcdmain: listening for peers on http://10.240.0.25:2380
2016-04-25 13:10:55.566440 I | etcdmain: listening for client requests on 10.240.0.25:2379
2016-04-25 13:10:55.572253 I | etcdserver: name = etcd-1
2016-04-25 13:10:55.572271 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 13:10:55.572278 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 13:10:55.572284 I | etcdserver: heartbeat = 100ms
2016-04-25 13:10:55.572289 I | etcdserver: election = 1000ms
2016-04-25 13:10:55.572294 I | etcdserver: snapshot count = 10000
2016-04-25 13:10:55.572309 I | etcdserver: advertise client URLs = http://10.240.0.25:2379
2016-04-25 13:10:55.572316 I | etcdserver: initial advertise peer URLs = http://10.240.0.25:2380
2016-04-25 13:10:55.572330 I | etcdserver: initial cluster = etcd-1=http://10.240.0.25:2380,etcd-2=http://10.240.0.27:2380,etcd-3=http://10.240.0.28:2380
2016-04-25 13:10:55.574871 I | etcdserver: starting member 902178d022a9e690 in cluster adacd1b4ae27d481
2016-04-25 13:10:55.574917 I | raft: 902178d022a9e690 became follower at term 0
2016-04-25 13:10:55.574930 I | raft: newRaft 902178d022a9e690 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 13:10:55.574936 I | raft: 902178d022a9e690 became follower at term 1
2016-04-25 13:10:55.575115 I | etcdserver: enabling compression snappy
2016-04-25 13:10:55.588524 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 13:10:55.589296 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 13:10:55.589311 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 13:10:55.589419 N | etcdmain: serving insecure client requests on 10.240.0.25:2379, this is strongly discouraged!
2016-04-25 13:10:55.589550 N | etcdserver: added member 36850f32386ac2a [http://10.240.0.27:2380] to cluster adacd1b4ae27d481
2016-04-25 13:10:55.589650 N | etcdserver: added member 8cda4bbd5d1feaab [http://10.240.0.28:2380] to cluster adacd1b4ae27d481
2016-04-25 13:10:55.589738 N | etcdserver: added local member 902178d022a9e690 [http://10.240.0.25:2380] to cluster adacd1b4ae27d481
2016-04-25 13:10:56.575300 I | raft: 902178d022a9e690 is starting a new election at term 1
2016-04-25 13:10:56.575382 I | raft: 902178d022a9e690 became candidate at term 2
2016-04-25 13:10:56.575392 I | raft: 902178d022a9e690 received vote from 902178d022a9e690 at term 2
2016-04-25 13:10:56.575403 I | raft: 902178d022a9e690 [logterm: 1, index: 3] sent vote request to 36850f32386ac2a at term 2
2016-04-25 13:10:56.575413 I | raft: 902178d022a9e690 [logterm: 1, index: 3] sent vote request to 8cda4bbd5d1feaab at term 2
2016-04-25 13:10:56.606857 I | rafthttp: the connection with 36850f32386ac2a became active
2016-04-25 13:10:57.593734 I | raft: 902178d022a9e690 [logterm: 1, index: 3, vote: 902178d022a9e690] rejected vote from 36850f32386ac2a [logterm: 1, index: 3] at term 2
2016-04-25 13:10:57.606402 I | rafthttp: the connection with 8cda4bbd5d1feaab became active
2016-04-25 13:10:57.609123 I | raft: 902178d022a9e690 became follower at term 2
2016-04-25 13:10:57.609162 I | raft: raft.node: 902178d022a9e690 elected leader 36850f32386ac2a at term 2
2016-04-25 13:10:57.613553 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.25:2379]} to cluster adacd1b4ae27d481
2016-04-25 13:10:57.613842 N | membership: set the initial cluster version to 2.3
2016-04-25 13:10:58.089623 I | v2http: enabled capabilities for version 2.3.0
2016-04-25 13:11:20.763035 I | etcdserver: start to snapshot (applied: 10009, lastsnap: 0)
2016-04-25 13:11:20.778969 I | etcdserver: saved snapshot at index 10009
2016-04-25 13:11:20.779140 I | etcdserver: compacted raft log at 5009
2016-04-25 13:11:22.424954 I | etcdserver: start to snapshot (applied: 20019, lastsnap: 10009)
2016-04-25 13:11:22.446400 I | etcdserver: saved snapshot at index 20019
2016-04-25 13:11:22.446658 I | etcdserver: compacted raft log at 15019
2016-04-25 13:11:24.103611 I | etcdserver: start to snapshot (applied: 30082, lastsnap: 20019)
2016-04-25 13:11:24.111688 I | etcdserver: saved snapshot at index 30082
2016-04-25 13:11:24.112025 I | etcdserver: compacted raft log at 25082
2016-04-25 13:11:25.784873 I | etcdserver: start to snapshot (applied: 40117, lastsnap: 30082)
2016-04-25 13:11:25.805730 I | etcdserver: saved snapshot at index 40117
2016-04-25 13:11:25.806071 I | etcdserver: compacted raft log at 35117
2016-04-25 13:11:27.451818 I | etcdserver: start to snapshot (applied: 50118, lastsnap: 40117)
2016-04-25 13:11:27.459796 I | etcdserver: saved snapshot at index 50118
2016-04-25 13:11:27.459976 I | etcdserver: compacted raft log at 45118
2016-04-25 13:11:29.109959 I | etcdserver: start to snapshot (applied: 60120, lastsnap: 50118)
2016-04-25 13:11:29.143366 I | etcdserver: saved snapshot at index 60120
2016-04-25 13:11:29.143751 I | etcdserver: compacted raft log at 55120
2016-04-25 13:11:30.787210 I | etcdserver: start to snapshot (applied: 70139, lastsnap: 60120)
2016-04-25 13:11:30.794951 I | etcdserver: saved snapshot at index 70139
2016-04-25 13:11:30.795116 I | etcdserver: compacted raft log at 65139
2016-04-25 13:11:30.976287 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-000000000001166f.wal is created
2016-04-25 13:11:32.465996 I | etcdserver: start to snapshot (applied: 80196, lastsnap: 70139)
2016-04-25 13:11:32.477159 I | etcdserver: saved snapshot at index 80196
2016-04-25 13:11:32.477379 I | etcdserver: compacted raft log at 75196
2016-04-25 13:11:34.127577 I | etcdserver: start to snapshot (applied: 90200, lastsnap: 80196)
2016-04-25 13:11:34.135684 I | etcdserver: saved snapshot at index 90200
2016-04-25 13:11:34.135943 I | etcdserver: compacted raft log at 85200
2016-04-25 13:11:35.788337 I | etcdserver: start to snapshot (applied: 100248, lastsnap: 90200)
2016-04-25 13:11:35.800492 I | etcdserver: saved snapshot at index 100248
2016-04-25 13:11:35.800757 I | etcdserver: compacted raft log at 95248
2016-04-25 13:11:37.498480 I | etcdserver: start to snapshot (applied: 110348, lastsnap: 100248)
2016-04-25 13:11:37.509095 I | etcdserver: saved snapshot at index 110348
2016-04-25 13:11:37.509333 I | etcdserver: compacted raft log at 105348
2016-04-25 13:11:39.173705 I | etcdserver: start to snapshot (applied: 120412, lastsnap: 110348)
2016-04-25 13:11:39.192972 I | etcdserver: saved snapshot at index 120412
2016-04-25 13:11:39.193187 I | etcdserver: compacted raft log at 115412
2016-04-25 13:11:40.853169 I | etcdserver: start to snapshot (applied: 130424, lastsnap: 120412)
2016-04-25 13:11:40.870909 I | etcdserver: saved snapshot at index 130424
2016-04-25 13:11:40.871128 I | etcdserver: compacted raft log at 125424
2016-04-25 13:11:42.550323 I | etcdserver: start to snapshot (applied: 140443, lastsnap: 130424)
2016-04-25 13:11:42.575838 I | etcdserver: saved snapshot at index 140443
2016-04-25 13:11:42.576050 I | etcdserver: compacted raft log at 135443
2016-04-25 13:11:42.885076 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000022cb5.wal is created
2016-04-25 13:11:44.221728 I | etcdserver: start to snapshot (applied: 150457, lastsnap: 140443)
2016-04-25 13:11:44.248491 I | etcdserver: saved snapshot at index 150457
2016-04-25 13:11:44.248852 I | etcdserver: compacted raft log at 145457
2016-04-25 13:11:45.898321 I | etcdserver: start to snapshot (applied: 160458, lastsnap: 150457)
2016-04-25 13:11:45.957461 I | etcdserver: saved snapshot at index 160458
2016-04-25 13:11:45.957929 I | etcdserver: compacted raft log at 155458
2016-04-25 13:11:47.609930 I | etcdserver: start to snapshot (applied: 170492, lastsnap: 160458)
2016-04-25 13:11:47.614803 I | etcdserver: saved snapshot at index 170492
2016-04-25 13:11:47.614995 I | etcdserver: compacted raft log at 165492
2016-04-25 13:11:49.298966 I | etcdserver: start to snapshot (applied: 180515, lastsnap: 170492)
2016-04-25 13:11:49.313110 I | etcdserver: saved snapshot at index 180515
2016-04-25 13:11:49.313302 I | etcdserver: compacted raft log at 175515
2016-04-25 13:11:50.979602 I | etcdserver: start to snapshot (applied: 190525, lastsnap: 180515)
2016-04-25 13:11:51.005638 I | etcdserver: saved snapshot at index 190525
2016-04-25 13:11:51.005868 I | etcdserver: compacted raft log at 185525
2016-04-25 13:11:52.665192 I | etcdserver: start to snapshot (applied: 200582, lastsnap: 190525)
2016-04-25 13:11:52.677962 I | etcdserver: saved snapshot at index 200582
2016-04-25 13:11:52.678183 I | etcdserver: compacted raft log at 195582
2016-04-25 13:11:54.350713 I | etcdserver: start to snapshot (applied: 210584, lastsnap: 200582)
2016-04-25 13:11:54.367442 I | etcdserver: saved snapshot at index 210584
2016-04-25 13:11:54.367650 I | etcdserver: compacted raft log at 205584
2016-04-25 13:11:54.905607 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-0000000000034339.wal is created
2016-04-25 13:11:55.589206 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000002719.snap successfully
2016-04-25 13:11:55.589263 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000004e33.snap successfully
2016-04-25 13:11:55.589297 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000007582.snap successfully
2016-04-25 13:11:55.589326 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000009cb5.snap successfully
2016-04-25 13:11:55.589361 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000c3c6.snap successfully
2016-04-25 13:11:55.589391 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000ead8.snap successfully
2016-04-25 13:11:55.589421 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000111fb.snap successfully
2016-04-25 13:11:55.589452 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000013944.snap successfully
2016-04-25 13:11:55.589480 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000016058.snap successfully
2016-04-25 13:11:55.589508 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000018798.snap successfully
2016-04-25 13:11:55.589537 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001af0c.snap successfully
2016-04-25 13:11:55.589565 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001d65c.snap successfully
2016-04-25 13:11:55.589592 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001fd78.snap successfully
2016-04-25 13:11:55.589619 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002249b.snap successfully
2016-04-25 13:11:55.589646 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000024bb9.snap successfully
2016-04-25 13:11:55.589682 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000272ca.snap successfully
