2016-04-25 13:30:38.777732 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 13:30:38.777818 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 13:30:38.777825 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 13:30:38.777831 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 13:30:38.777836 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 13:30:38.777905 I | etcdmain: listening for peers on http://10.240.0.22:2380
2016-04-25 13:30:38.777930 I | etcdmain: listening for client requests on 10.240.0.22:2379
2016-04-25 13:30:38.783734 I | etcdserver: name = etcd-2
2016-04-25 13:30:38.783770 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 13:30:38.783779 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 13:30:38.783784 I | etcdserver: heartbeat = 100ms
2016-04-25 13:30:38.783789 I | etcdserver: election = 1000ms
2016-04-25 13:30:38.783794 I | etcdserver: snapshot count = 10000
2016-04-25 13:30:38.783804 I | etcdserver: advertise client URLs = http://10.240.0.22:2379
2016-04-25 13:30:38.783810 I | etcdserver: initial advertise peer URLs = http://10.240.0.22:2380
2016-04-25 13:30:38.783829 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-04-25 13:30:38.786383 I | etcdserver: starting member 21d3c625100d5241 in cluster e05fb31d21672c21
2016-04-25 13:30:38.786438 I | raft: 21d3c625100d5241 became follower at term 0
2016-04-25 13:30:38.786450 I | raft: newRaft 21d3c625100d5241 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 13:30:38.786455 I | raft: 21d3c625100d5241 became follower at term 1
2016-04-25 13:30:38.786626 I | etcdserver: no compression enabled
2016-04-25 13:30:38.799308 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-04-25 13:30:38.799501 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 13:30:38.800396 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-04-25 13:30:38.800469 N | etcdserver: added local member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-04-25 13:30:38.800545 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 13:30:38.800835 N | etcdserver: added member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-04-25 13:30:38.801139 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 13:30:38.801370 N | etcdmain: serving insecure client requests on 10.240.0.22:2379, this is strongly discouraged!
2016-04-25 13:30:39.286842 I | raft: 21d3c625100d5241 is starting a new election at term 1
2016-04-25 13:30:39.286944 I | raft: 21d3c625100d5241 became candidate at term 2
2016-04-25 13:30:39.286958 I | raft: 21d3c625100d5241 received vote from 21d3c625100d5241 at term 2
2016-04-25 13:30:39.286970 I | raft: 21d3c625100d5241 [logterm: 1, index: 3] sent vote request to 3e07e8086be420d2 at term 2
2016-04-25 13:30:39.286984 I | raft: 21d3c625100d5241 [logterm: 1, index: 3] sent vote request to 2087a91b2ccc6d93 at term 2
2016-04-25 13:30:39.289163 I | raft: 21d3c625100d5241 received vote rejection from 2087a91b2ccc6d93 at term 2
2016-04-25 13:30:39.289199 I | raft: 21d3c625100d5241 [quorum:2] has received 1 votes and 1 vote rejections
2016-04-25 13:30:39.794527 I | rafthttp: the connection with 3e07e8086be420d2 became active
2016-04-25 13:30:39.993241 I | raft: 21d3c625100d5241 [term: 2] received a MsgVote message with higher term from 2087a91b2ccc6d93 [term: 3]
2016-04-25 13:30:39.993326 I | raft: 21d3c625100d5241 became follower at term 3
