second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_mvccpatch,throughput_etcd_v3_mvccpatch,cumulative_throughput_etcd_v3_mvccpatch,avg_cpu_etcd_v3_mvccpatch,avg_memory_mb_etcd_v3_mvccpatch
0,26.963951,4310,4310,2.46,16.38,22.024949,3462,3462,2.71,17.54
1,26.319121,37638,41948,54.50,69.94,24.122509,41089,44551,52.39,71.86
2,29.607781,33798,75746,97.34,82.56,26.908204,36677,81228,91.31,87.12
3,30.561177,32450,108196,134.28,96.76,25.361087,39451,120679,125.61,100.27
4,31.843936,31313,139509,162.94,105.36,25.595176,38374,159053,153.21,110.72
5,33.013465,30505,170014,187.39,118.18,27.374747,36759,195812,175.40,123.40
6,32.642150,29910,199924,208.00,129.51,27.591246,35431,231243,194.22,138.66
7,36.443078,27493,227417,224.10,141.28,27.063254,36779,268022,210.68,150.60
8,34.040508,29712,257129,239.20,152.93,28.794151,35086,303108,224.38,164.95
9,34.315971,28995,286124,252.62,163.58,28.461286,34743,337851,235.94,178.07
10,34.766408,28736,314860,263.73,172.99,29.287763,33680,371531,246.60,190.38
11,35.134208,28146,343006,273.58,183.21,27.631647,36464,407995,256.38,204.49
12,34.704990,28960,371966,282.41,194.54,29.572743,33039,441034,264.90,217.61
13,34.963520,27867,399833,291.02,205.40,28.576700,35351,476385,273.17,228.95
14,36.120574,27581,427414,297.70,214.33,27.141324,36866,513251,280.01,243.47
15,34.609885,29210,456624,304.87,224.59,28.617774,34805,548056,286.37,257.19
16,34.008919,29404,486028,311.45,237.04,27.356342,36360,584416,292.35,271.51
17,32.772849,29957,515985,318.24,248.62,31.371097,31276,615692,296.46,284.70
18,34.013419,29571,545556,323.80,256.58,31.743115,31769,647461,300.33,291.78
19,34.054444,29585,575141,329.11,271.57,32.765793,30470,677931,303.73,302.70
20,33.036828,28957,604098,334.48,280.69,31.440438,31702,709633,307.01,314.50
21,35.777981,28908,633006,338.61,291.98,29.024955,32342,741975,310.52,327.93
22,34.360343,29040,662046,342.66,301.00,30.333544,34563,776538,313.83,338.44
23,34.685222,28911,690957,346.99,311.51,33.546823,29320,805858,316.02,353.45
24,35.190479,28393,719350,350.06,318.91,28.462709,34400,840258,318.65,363.04
25,32.121011,30441,749791,354.24,335.38,31.953827,32222,872480,320.23,369.21
26,35.291796,28498,778289,357.12,344.05,29.808120,32427,904907,323.32,379.61
27,33.501032,29102,807391,360.32,357.61,27.854833,36879,941786,325.81,392.98
28,37.672224,27200,834591,363.05,365.15,29.001289,34336,976122,328.27,400.62
29,34.900385,28467,863058,364.54,374.19,26.345587,37817,1013939,331.70,422.19
30,34.779805,28721,891779,366.71,383.46,29.466402,33733,1047672,334.24,430.35
31,35.910722,27355,919134,368.83,392.46,27.368272,36278,1083950,336.56,444.24
32,37.553243,27005,946139,370.06,397.14,27.373191,34372,1118322,338.57,459.08
33,36.788768,27318,973457,371.41,407.72,30.361438,34152,1152474,340.54,467.81
34,33.766015,27491,1000948,373.55,417.62,25.761645,37773,1190247,343.16,479.52
35,40.075956,26441,1027389,375.05,426.11,27.912586,35809,1226056,345.20,497.46
36,39.209726,25764,1053153,376.27,439.20,29.081531,34481,1260537,346.93,509.50
37,32.246089,29581,1082734,377.94,447.22,28.136749,34907,1295444,349.04,523.30
38,38.313592,25926,1108660,380.34,456.18,26.809444,36918,1332362,350.89,535.86
39,37.249407,27984,1136644,381.72,467.26,29.017398,35378,1367740,352.71,544.65
40,35.663547,26379,1163023,382.74,477.03,28.818389,34758,1402498,354.01,557.16
41,36.425866,28615,1191638,384.18,490.82,31.586100,31589,1434087,355.02,567.40
42,34.253726,27989,1219627,385.56,495.17,30.953505,32074,1466161,356.04,580.74
43,37.757242,26825,1246452,386.95,510.36,28.029292,34174,1500335,357.17,595.11
44,34.261748,29658,1276110,388.33,517.86,29.435328,35356,1535691,358.49,608.27
45,36.091280,27635,1303745,389.97,527.52,27.102353,36588,1572279,359.17,613.15
46,34.764251,28207,1331952,390.86,538.88,31.214907,32126,1604405,361.03,624.93
47,36.131401,27774,1359726,391.92,549.66,30.751382,32487,1636892,361.94,638.16
48,34.809499,26677,1386403,393.16,558.66,30.827061,31335,1668227,363.08,652.03
49,37.268407,27578,1413981,394.41,569.31,30.674014,33297,1701524,363.53,660.12
50,37.387732,27156,1441137,395.09,582.26,29.691156,33649,1735173,364.31,669.87
51,37.968963,27328,1468465,395.69,592.17,26.805545,36891,1772064,365.38,683.76
52,36.928733,26982,1495447,396.46,599.13,28.384449,34927,1806991,366.96,705.58
