2016-04-30 16:59:52.874295 I | etcdmain: etcd Version: 2.3.0+git
2016-04-30 16:59:52.874387 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-30 16:59:52.874396 I | etcdmain: Go Version: devel +a20fd1f Sat Apr 30 16:49:54 2016 +0000
2016-04-30 16:59:52.874402 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-30 16:59:52.874425 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-30 16:59:52.874515 I | etcdmain: listening for peers on http://10.240.0.17:2380
2016-04-30 16:59:52.874539 I | etcdmain: listening for client requests on 10.240.0.17:2379
2016-04-30 16:59:52.880503 I | etcdserver: name = etcd-1
2016-04-30 16:59:52.880540 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-30 16:59:52.880549 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-30 16:59:52.880555 I | etcdserver: heartbeat = 100ms
2016-04-30 16:59:52.880560 I | etcdserver: election = 1000ms
2016-04-30 16:59:52.880566 I | etcdserver: snapshot count = 10000
2016-04-30 16:59:52.880578 I | etcdserver: advertise client URLs = http://10.240.0.17:2379
2016-04-30 16:59:52.880585 I | etcdserver: initial advertise peer URLs = http://10.240.0.17:2380
2016-04-30 16:59:52.880601 I | etcdserver: initial cluster = etcd-1=http://10.240.0.17:2380,etcd-2=http://10.240.0.18:2380,etcd-3=http://10.240.0.19:2380
2016-04-30 16:59:52.883819 I | etcdserver: starting member 8b1cff98eebdba1d in cluster d01df2c6b3269be0
2016-04-30 16:59:52.883893 I | raft: 8b1cff98eebdba1d became follower at term 0
2016-04-30 16:59:52.883910 I | raft: newRaft 8b1cff98eebdba1d [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-30 16:59:52.883926 I | raft: 8b1cff98eebdba1d became follower at term 1
2016-04-30 16:59:52.897317 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-30 16:59:52.899180 N | etcdserver: added member 66358a82ef379101 [http://10.240.0.18:2380] to cluster d01df2c6b3269be0
2016-04-30 16:59:52.899296 N | etcdserver: added local member 8b1cff98eebdba1d [http://10.240.0.17:2380] to cluster d01df2c6b3269be0
