unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1462035600,22.024949,3462,3462,3.24,22.63,2.57,15.08,2.33,14.91,2.71,17.54
1462035601,24.122509,41089,44551,57.48,75.69,48.13,70.03,51.57,69.87,52.39,71.86
1462035602,26.908204,36677,81228,102.79,89.67,82.48,86.31,88.67,85.38,91.31,87.12
1462035603,25.361087,39451,120679,140.89,100.80,112.57,105.27,123.37,94.74,125.61,100.27
1462035604,25.595176,38374,159053,173.09,114.02,136.99,110.53,149.55,107.60,153.21,110.72
1462035605,27.374747,36759,195812,199.08,129.70,156.11,118.68,171.01,121.81,175.40,123.40
1462035606,27.591246,35431,231243,221.87,140.19,172.91,138.20,187.87,137.60,194.22,138.66
1462035607,27.063254,36779,268022,241.86,151.88,187.11,148.32,203.07,151.60,210.68,150.60
1462035608,28.794151,35086,303108,258.44,169.64,199.47,164.03,215.22,161.18,224.38,164.95
1462035609,28.461286,34743,337851,272.43,183.08,209.77,176.98,225.63,174.14,235.94,178.07
1462035610,29.287763,33680,371531,286.05,196.66,218.75,187.75,234.99,186.72,246.60,190.38
1462035611,27.631647,36464,407995,297.90,212.26,227.77,202.92,243.47,198.28,256.38,204.49
1462035612,29.572743,33039,441034,308.67,225.28,235.46,215.08,250.58,212.48,264.90,217.61
1462035613,28.576700,35351,476385,318.13,235.00,242.96,225.56,258.42,226.29,273.17,228.95
1462035614,27.141324,36866,513251,327.82,251.00,248.86,238.59,263.35,240.83,280.01,243.47
1462035615,28.617774,34805,548056,336.70,264.80,254.39,246.76,268.03,260.02,286.37,257.19
1462035616,27.356342,36360,584416,344.21,269.32,259.96,269.14,272.88,276.06,292.35,271.51
1462035617,31.371097,31276,615692,350.80,284.48,263.96,287.72,274.62,281.90,296.46,284.70
1462035618,31.743115,31769,647461,356.44,294.04,267.26,289.38,277.30,291.91,300.33,291.78
1462035619,32.765793,30470,677931,361.93,308.73,268.98,299.93,280.28,299.44,303.73,302.70
1462035620,31.440438,31702,709633,367.02,320.75,272.20,314.54,281.80,308.21,307.01,314.50
1462035621,29.024955,32342,741975,371.64,339.34,274.93,317.21,284.99,327.23,310.52,327.93
1462035622,30.333544,34563,776538,376.01,340.06,278.47,337.21,287.02,338.06,313.83,338.44
1462035623,33.546823,29320,805858,380.25,360.19,279.52,347.44,288.29,352.72,316.02,353.45
1462035624,28.462709,34400,840258,382.34,365.16,282.56,358.98,291.04,364.99,318.65,363.04
1462035625,31.953827,32222,872480,384.42,370.13,284.01,364.24,292.26,373.25,320.23,369.21
