unix_ts,avg_latency_ms,throughput
1462035600,22.024949,3462
1462035601,24.122509,41089
1462035602,26.908204,36677
1462035603,25.361087,39451
1462035604,25.595176,38374
1462035605,27.374747,36759
1462035606,27.591246,35431
1462035607,27.063254,36779
1462035608,28.794151,35086
1462035609,28.461286,34743
1462035610,29.287763,33680
1462035611,27.631647,36464
1462035612,29.572743,33039
1462035613,28.576700,35351
1462035614,27.141324,36866
1462035615,28.617774,34805
1462035616,27.356342,36360
1462035617,31.371097,31276
1462035618,31.743115,31769
1462035619,32.765793,30470
1462035620,31.440438,31702
1462035621,29.024955,32342
1462035622,30.333544,34563
1462035623,33.546823,29320
1462035624,28.462709,34400
1462035625,31.953827,32222
1462035626,29.808120,32427
1462035627,27.854833,36879
1462035628,29.001289,34336
1462035629,26.345587,37817
1462035630,29.466402,33733
1462035631,27.368272,36278
1462035632,27.373191,34372
1462035633,30.361438,34152
1462035634,25.761645,37773
1462035635,27.912586,35809
1462035636,29.081531,34481
1462035637,28.136749,34907
1462035638,26.809444,36918
1462035639,29.017398,35378
1462035640,28.818389,34758
1462035641,31.586100,31589
1462035642,30.953505,32074
1462035643,28.029292,34174
1462035644,29.435328,35356
1462035645,27.102353,36588
1462035646,31.214907,32126
1462035647,30.751382,32487
1462035648,30.827061,31335
1462035649,30.674014,33297
1462035650,29.691156,33649
1462035651,26.805545,36891
1462035652,28.384449,34927
1462035653,28.696687,32587
1462035654,27.662290,38209
1462035655,26.519245,36227
1462035656,29.286711,35680
1462035657,30.054770,33012
1462035658,22.879283,17294
