unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1462033517,26.963951,4310,4310,2.62,17.32,2.42,14.91,2.33,16.92,2.46,16.38
1462033518,26.319121,37638,41948,56.98,72.56,51.12,68.51,55.41,68.74,54.50,69.94
1462033519,29.607781,33798,75746,102.79,83.48,91.36,83.94,97.88,80.26,97.34,82.56
1462033520,30.561177,32450,108196,142.07,98.46,126.52,94.75,134.26,97.07,134.28,96.76
1462033521,31.843936,31313,139509,173.23,107.00,153.49,106.60,162.11,102.48,162.94,105.36
1462033522,33.013465,30505,170014,200.46,119.07,175.66,117.88,186.05,117.58,187.39,118.18
1462033523,32.642150,29910,199924,223.86,131.61,195.33,127.01,204.82,129.92,208.00,129.51
1462033524,36.443078,27493,227417,242.72,138.52,210.18,146.03,219.39,139.29,224.10,141.28
1462033525,34.040508,29712,257129,261.25,151.59,224.05,157.44,232.31,149.76,239.20,152.93
1462033526,34.315971,28995,286124,277.71,165.94,234.83,161.34,245.32,163.46,252.62,163.58
1462033527,34.766408,28736,314860,291.09,173.29,245.43,171.97,254.67,173.71,263.73,172.99
1462033528,35.134208,28146,343006,303.46,186.48,253.32,182.62,263.97,180.52,273.58,183.21
1462033529,34.704990,28960,371966,313.85,192.01,261.49,199.98,271.90,191.62,282.41,194.54
1462033530,34.963520,27867,399833,324.05,209.70,268.81,202.96,280.19,203.54,291.02,205.40
1462033531,36.120574,27581,427414,333.33,212.86,274.70,218.50,285.06,211.63,297.70,214.33
1462033532,34.609885,29210,456624,341.60,225.25,281.48,225.24,291.52,223.28,304.87,224.59
1462033533,34.008919,29404,486028,350.54,239.60,286.49,234.22,297.33,237.30,311.45,237.04
1462033534,32.772849,29957,515985,358.66,247.60,294.02,247.06,302.03,251.21,318.24,248.62
1462033535,34.013419,29571,545556,366.53,255.83,297.09,258.47,307.79,255.43,323.80,256.58
1462033536,34.054444,29585,575141,373.89,271.13,302.76,269.32,310.67,274.27,329.11,271.57
1462033537,33.036828,28957,604098,380.44,278.04,306.72,281.09,316.27,282.94,334.48,280.69
1462033538,35.777981,28908,633006,386.61,291.45,310.03,298.14,319.20,286.34,338.61,291.98
1462033539,34.360343,29040,662046,392.10,300.05,313.64,302.13,322.25,300.82,342.66,301.00
1462033540,34.685222,28911,690957,397.59,310.08,316.54,312.58,326.84,311.88,346.99,311.51
1462033541,35.190479,28393,719350,402.12,320.65,319.50,319.91,328.57,316.17,350.06,318.91
1462033542,32.121011,30441,749791,407.00,333.93,324.05,333.02,331.66,339.19,354.24,335.38
1462033543,35.291796,28498,778289,412.12,349.11,325.02,337.18,334.21,345.87,357.12,344.05
1462033544,33.501032,29102,807391,416.38,350.95,327.40,357.36,337.19,364.51,360.32,357.61
1462033545,37.672224,27200,834591,420.79,365.87,330.65,364.24,337.72,365.35,363.05,365.15
1462033546,34.900385,28467,863058,422.81,368.76,331.29,374.36,339.53,379.44,364.54,374.19
1462033547,34.779805,28721,891779,424.83,371.65,332.83,387.56,342.48,391.17,366.71,383.46
1462033548,35.910722,27355,919134,428.39,383.86,335.24,401.10,342.86,392.41,368.83,392.46
1462033549,37.553243,27005,946139,431.65,392.58,335.30,405.19,343.23,393.64,370.06,397.14
1462033550,36.788768,27318,973457,434.84,402.58,335.36,409.27,344.04,411.32,371.41,407.72
1462033551,33.766015,27491,1000948,437.48,409.72,336.79,423.62,346.38,419.51,373.55,417.62
1462033552,40.075956,26441,1027389,440.51,428.44,338.38,427.30,346.27,422.60,375.05,426.11
1462033553,39.209726,25764,1053153,442.31,440.66,339.82,437.93,346.67,439.02,376.27,439.20
1462033554,32.246089,29581,1082734,445.16,444.93,339.88,444.13,348.79,452.60,377.94,447.22
1462033555,38.313592,25926,1108660,447.52,451.92,342.25,459.51,351.24,457.11,380.34,456.18
1462033556,37.249407,27984,1136644,450.14,462.43,343.99,473.97,351.03,465.37,381.72,467.26
1462033557,35.663547,26379,1163023,451.92,473.80,344.57,478.19,351.72,479.10,382.74,477.03
1462033558,36.425866,28615,1191638,454.43,492.23,344.63,485.20,353.48,495.03,384.18,490.82
1462033559,34.253726,27989,1219627,456.38,493.76,345.87,492.88,354.42,498.87,385.56,495.17
1462033560,37.757242,26825,1246452,458.04,506.76,347.87,507.08,354.95,517.24,386.95,510.36
1462033561,34.261748,29658,1276110,460.24,513.15,348.90,518.98,355.86,521.46,388.33,517.86
1462033562,36.091280,27635,1303745,462.28,524.02,349.27,528.27,358.35,530.26,389.97,527.52
1462033563,34.764251,28207,1331952,463.99,536.32,349.80,542.58,358.79,537.74,390.86,538.88
1462033564,36.131401,27774,1359726,465.71,546.16,350.83,550.70,359.22,552.13,391.92,549.66
1462033565,34.809499,26677,1386403,467.64,558.50,352.17,557.52,359.67,559.96,393.16,558.66
