second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
0,23.865313,20,20,2.37,17.82,26.208295,26,26,2.17,22.10,34.034411,13,13,2.20,16.25
1,22.457910,44,64,7.13,139.89,25.620602,39,65,6.65,136.66,31.858623,31,44,6.28,111.01
2,23.621107,42,106,10.88,227.88,26.261847,38,103,9.90,215.84,31.909195,31,75,9.39,191.65
3,23.796613,43,149,14.01,338.27,26.041999,37,140,12.85,301.58,37.730717,27,102,11.67,261.78
4,23.132237,43,192,16.34,407.07,26.409630,39,179,15.17,407.63,34.155093,29,131,13.88,344.47
5,24.835892,40,232,18.44,517.56,26.332896,38,217,16.97,482.82,32.921126,31,162,15.53,414.47
6,24.556868,41,273,20.18,626.76,26.280233,38,255,18.58,564.20,33.167267,29,191,17.10,486.15
7,23.078107,43,316,21.65,721.12,26.863121,37,292,19.81,643.50,35.574074,29,220,18.30,556.59
8,23.218241,43,359,22.91,790.69,26.930797,37,329,21.06,753.79,35.582238,28,248,19.29,628.96
9,23.567660,43,402,24.11,874.45,27.299270,37,366,22.11,836.28,34.080742,29,277,20.22,710.68
10,23.700522,42,444,25.24,1006.58,27.598764,36,402,22.97,894.60,32.505619,31,308,20.99,765.80
11,24.970017,40,484,25.95,1067.65,27.263385,37,439,23.77,1023.47,34.532348,29,337,21.78,866.09
12,24.791983,39,523,26.87,1171.92,26.385320,38,477,24.36,1077.75,33.841356,29,366,22.30,918.54
13,25.948892,36,559,27.32,1238.42,26.681051,37,514,25.09,1206.34,34.276593,30,396,22.97,1017.41
14,113.236355,9,568,27.05,1323.21,28.098184,29,543,25.48,1240.46,34.111536,29,425,23.41,1050.34
15,134.918716,8,576,26.25,1367.96,149.307378,8,551,25.30,1323.55,34.480008,29,454,23.93,1153.49
16,141.056600,7,583,25.58,1393.49,148.399657,6,557,24.64,1352.55,32.502081,31,485,24.33,1194.95
17,103.695047,8,591,24.92,1396.36,126.165868,7,564,23.96,1369.89,33.365725,29,514,24.86,1336.10
18,126.932568,9,600,24.28,1405.44,121.887271,9,573,23.36,1390.76,33.061598,31,545,25.20,1389.77
19,145.391198,7,607,23.63,1409.62,137.424859,8,581,22.79,1400.37,73.577986,10,555,24.98,1404.22
20,104.090547,8,615,23.18,1415.36,112.453493,7,588,22.29,1430.17,158.096290,8,563,24.39,1415.27
21,127.035320,9,624,22.72,1422.09,121.956235,9,597,21.75,1437.32,116.668305,7,570,23.90,1451.24
22,145.516337,7,631,22.21,1434.77,126.991469,9,606,21.27,1442.47,163.440051,6,576,23.47,1508.57
23,103.927126,8,639,21.80,1485.11,124.749581,6,612,20.85,1455.79,164.196863,7,583,23.07,1554.40
24,126.828157,9,648,21.52,1535.84,122.046078,9,621,20.42,1474.57,145.626594,7,590,22.63,1564.37
25,175.354022,5,653,21.15,1576.08,126.770659,9,630,20.15,1501.19,155.656906,6,596,22.20,1570.42
26,166.943364,6,659,20.82,1597.51,145.267032,7,637,19.92,1532.16,156.115710,6,602,21.78,1572.72
27,169.833761,6,665,20.46,1606.59,103.652940,8,645,19.61,1582.99,165.175561,7,609,21.41,1578.59
28,171.381504,6,671,20.10,1616.68,128.226219,9,654,19.30,1607.78,158.434021,5,614,21.02,1585.76
29,170.368364,6,677,19.77,1620.25,144.965618,7,661,19.03,1633.00,151.614398,8,622,20.71,1606.95
