2016-05-01 07:54:01.582225 I | etcdmain: etcd Version: 2.3.0+git
2016-05-01 07:54:01.582294 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-05-01 07:54:01.582301 I | etcdmain: Go Version: devel +ca8b627 Sun May 1 06:29:57 2016 +0000
2016-05-01 07:54:01.582307 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-01 07:54:01.582312 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-01 07:54:01.582373 I | etcdmain: listening for peers on http://10.240.0.21:2380
2016-05-01 07:54:01.582396 I | etcdmain: listening for client requests on 10.240.0.21:2379
2016-05-01 07:54:01.587934 I | etcdserver: name = etcd-1
2016-05-01 07:54:01.587962 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-01 07:54:01.587973 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-01 07:54:01.587982 I | etcdserver: heartbeat = 100ms
2016-05-01 07:54:01.587990 I | etcdserver: election = 1000ms
2016-05-01 07:54:01.587996 I | etcdserver: snapshot count = 10000
2016-05-01 07:54:01.588012 I | etcdserver: advertise client URLs = http://10.240.0.21:2379
2016-05-01 07:54:01.588019 I | etcdserver: initial advertise peer URLs = http://10.240.0.21:2380
2016-05-01 07:54:01.588033 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-05-01 07:54:01.590477 I | etcdserver: starting member 2087a91b2ccc6d93 in cluster e05fb31d21672c21
2016-05-01 07:54:01.590530 I | raft: 2087a91b2ccc6d93 became follower at term 0
2016-05-01 07:54:01.590541 I | raft: newRaft 2087a91b2ccc6d93 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-01 07:54:01.590552 I | raft: 2087a91b2ccc6d93 became follower at term 1
2016-05-01 07:54:01.590679 I | etcdserver: enabling compression lz4
