unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1462089249,34.034411,13,13,2.24,17.53,1.85,14.84,2.50,16.39,2.20,16.25
1462089250,31.858623,31,44,8.20,126.44,4.36,107.06,6.27,99.54,6.28,111.01
1462089251,31.909195,31,75,12.86,216.60,6.21,177.90,9.10,180.45,9.39,191.65
1462089252,37.730717,27,102,16.14,286.24,7.78,257.74,11.09,241.35,11.67,261.78
1462089253,34.155093,29,131,19.12,352.81,9.35,340.35,13.16,340.26,13.88,344.47
1462089254,32.921126,31,162,21.70,444.79,10.47,388.05,14.42,410.57,15.53,414.47
1462089255,33.167267,29,191,24.00,523.77,11.67,467.88,15.63,466.81,17.10,486.15
1462089256,35.574074,29,220,25.93,597.82,12.47,532.10,16.49,539.86,18.30,556.59
1462089257,35.582238,28,248,27.60,646.45,13.17,616.80,17.09,623.64,19.29,628.96
1462089258,34.080742,29,277,29.15,710.23,13.78,716.54,17.74,705.28,20.22,710.68
1462089259,32.505619,31,308,30.64,817.92,14.20,743.93,18.13,735.54,20.99,765.80
1462089260,34.532348,29,337,31.90,892.81,14.86,854.12,18.59,851.34,21.78,866.09
1462089261,33.841356,29,366,33.00,965.21,15.07,905.77,18.83,884.64,22.30,918.54
1462089262,34.276593,30,396,34.00,1044.88,15.61,1008.30,19.31,999.04,22.97,1017.41
1462089263,34.111536,29,425,34.98,1101.78,15.77,1036.70,19.49,1012.54,23.41,1050.34
1462089264,34.480008,29,454,35.72,1147.65,16.18,1157.13,19.89,1155.70,23.93,1153.49
1462089265,32.502081,31,485,36.56,1232.75,16.39,1179.78,20.03,1172.33,24.33,1194.95
1462089266,33.365725,29,514,37.24,1328.72,16.87,1350.82,20.46,1328.76,24.86,1336.10
1462089267,33.061598,31,545,37.92,1428.82,17.03,1372.39,20.64,1368.11,25.20,1389.77
1462089268,73.577986,10,555,37.74,1447.00,16.84,1380.29,20.37,1385.36,24.98,1404.22
1462089269,158.096290,8,563,36.87,1455.46,16.41,1395.74,19.90,1394.60,24.39,1415.27
1462089270,116.668305,7,570,36.05,1465.33,16.15,1454.46,19.49,1433.94,23.90,1451.24
1462089271,163.440051,6,576,35.40,1522.78,15.87,1507.77,19.15,1495.16,23.47,1508.57
1462089272,164.196863,7,583,34.78,1563.95,15.67,1555.42,18.77,1543.84,23.07,1554.40
1462089273,145.626594,7,590,34.07,1564.51,15.36,1556.88,18.47,1571.72,22.63,1564.37
1462089274,155.656906,6,596,33.45,1568.93,15.04,1564.24,18.10,1578.08,22.20,1570.42
1462089275,156.115710,6,602,32.83,1569.45,14.76,1570.62,17.75,1578.08,21.78,1572.72
1462089276,165.175561,7,609,32.26,1581.88,14.53,1570.62,17.43,1583.28,21.41,1578.59
1462089277,158.434021,5,614,31.72,1593.57,14.26,1576.30,17.09,1587.42,21.02,1585.76
1462089278,151.614398,8,622,31.27,1647.32,14.03,1577.88,16.82,1595.64,20.71,1606.95
1462089279,117.642963,7,629,30.87,1674.68,13.82,1585.68,16.52,1603.62,20.40,1621.33
1462089280,125.178389,9,638,30.45,1684.99,13.66,1597.47,16.32,1606.88,20.14,1629.78
1462089281,131.344247,8,646,29.96,1690.67,13.49,1645.36,16.07,1607.27,19.84,1647.77
1462089282,111.464838,7,653,29.53,1698.96,13.41,1708.65,15.87,1654.04,19.60,1687.22
1462089283,125.004373,9,662,29.33,1704.13,13.30,1756.87,15.77,1713.45,19.47,1724.82
1462089284,122.886114,9,671,29.13,1709.30,13.22,1800.29,15.60,1778.67,19.32,1762.75
1462089285,123.088097,6,677,28.88,1796.56,13.07,1805.55,15.50,1801.31,19.15,1801.14
1462089286,125.842693,9,686,28.61,1818.26,13.00,1807.00,15.27,1801.64,18.96,1808.97
1462089287,121.172954,9,695,28.19,1823.34,12.92,1808.46,15.13,1810.91,18.75,1814.24
1462089288,123.094637,6,701,27.86,1829.01,12.74,1816.80,14.94,1817.63,18.51,1821.15
1462089289,125.521503,9,710,27.58,1843.60,12.63,1820.90,14.77,1825.79,18.33,1830.10
1462089290,121.292681,9,719,27.27,1856.08,12.51,1828.66,14.60,1831.40,18.13,1838.71
1462089291,150.319569,7,726,27.05,1922.06,12.36,1840.77,14.44,1839.48,17.95,1867.44
1462089292,102.098152,8,734,26.91,1959.60,12.27,1848.66,14.36,1845.18,17.85,1884.48
1462089293,121.258095,9,743,26.74,1964.85,12.15,1854.93,14.27,1850.87,17.72,1890.22
1462089294,136.573425,8,751,26.58,1970.10,12.05,1889.25,14.12,1852.84,17.58,1904.06
1462089295,111.272351,7,758,26.30,1978.17,12.01,1952.81,14.01,1915.60,17.44,1948.86
1462089296,121.260607,9,767,26.08,1986.40,11.97,2012.72,13.95,1979.17,17.33,1992.76
1462089297,136.165413,8,775,25.82,1999.83,11.90,2056.36,13.89,2027.34,17.20,2027.84
1462089298,118.166580,9,784,25.59,2011.98,11.81,2056.86,13.80,2077.59,17.07,2048.81
1462089299,122.331592,6,790,25.54,2113.82,11.72,2068.72,13.66,2083.40,16.97,2088.65
1462089300,121.124386,9,799,25.31,2116.71,11.64,2071.99,13.56,2089.64,16.84,2092.78
1462089301,125.104951,9,808,25.13,2125.50,11.54,2080.14,13.43,2097.96,16.70,2101.20
1462089302,144.388991,7,815,24.91,2133.66,11.45,2088.41,13.32,2106.06,16.56,2109.38
1462089303,102.782768,8,823,24.74,2139.36,11.34,2092.42,13.21,2113.02,16.43,2114.93
1462089304,125.187884,9,832,24.64,2142.79,11.25,2101.66,13.10,2118.17,16.33,2120.87
1462089305,132.097420,8,840,24.55,2146.21,11.18,2109.51,12.98,2121.26,16.24,2125.66
1462089306,111.356769,7,847,24.40,2174.52,11.09,2121.27,12.90,2132.26,16.13,2142.68
1462089307,147.482577,7,854,24.31,2283.24,11.01,2124.82,12.85,2138.11,16.06,2182.06
1462089308,132.096537,8,862,24.15,2304.80,10.97,2181.99,12.80,2143.96,15.97,2210.25
1462089309,183.453268,6,868,23.99,2306.51,10.92,2235.43,12.71,2156.20,15.87,2232.71
1462089310,130.554246,7,875,23.84,2312.75,10.91,2286.40,12.67,2215.90,15.81,2271.68
1462089311,137.164645,8,883,23.70,2323.92,10.88,2343.82,12.64,2266.19,15.74,2311.31
1462089312,146.246163,7,890,23.53,2328.24,10.85,2386.34,12.63,2322.20,15.67,2345.59
1462089313,150.291870,6,896,23.40,2336.79,10.80,2391.91,12.60,2375.73,15.60,2368.14
1462089314,127.464907,8,904,23.27,2353.22,10.73,2397.97,12.55,2391.93,15.52,2381.04
1462089315,183.872031,6,910,23.12,2362.92,10.65,2398.65,12.47,2396.09,15.41,2385.89
1462089316,130.770485,7,917,23.01,2420.07,10.60,2406.72,12.42,2400.68,15.34,2409.16
1462089317,144.799247,7,924,22.96,2470.39,10.56,2414.14,12.38,2402.26,15.30,2428.93
1462089318,129.676122,7,931,22.85,2474.78,10.49,2424.67,12.30,2410.03,15.21,2436.49
1462089319,138.009860,8,939,22.74,2479.20,10.43,2436.72,12.26,2412.65,15.14,2442.86
1462089320,145.948036,7,946,22.66,2488.51,10.37,2440.54,12.19,2423.77,15.07,2450.94
1462089321,165.556909,6,952,22.56,2494.72,10.33,2448.78,12.12,2431.79,15.00,2458.43
1462089322,217.201946,4,956,22.41,2499.37,10.26,2452.39,12.06,2440.02,14.91,2463.93
1462089323,214.145064,5,961,22.29,2509.04,10.21,2455.92,11.98,2443.47,14.83,2469.48
1462089324,173.366256,6,967,22.15,2514.47,10.16,2459.44,11.92,2447.28,14.74,2473.73
1462089325,164.154381,6,973,22.05,2524.99,10.10,2466.88,11.85,2454.37,14.67,2482.08
1462089326,144.806781,7,980,21.98,2564.96,10.10,2516.57,11.77,2461.94,14.62,2514.49
1462089327,131.378503,7,987,21.93,2647.33,10.08,2570.28,11.73,2494.64,14.58,2570.75
1462089328,137.600271,8,995,21.88,2673.88,10.05,2622.08,11.71,2548.98,14.55,2614.98
1462089329,145.575966,7,1002,21.79,2676.26,10.05,2679.68,11.69,2605.33,14.51,2653.76
1462089330,129.963294,7,1009,21.70,2679.88,10.04,2726.30,11.67,2661.36,14.47,2689.18
1462089331,185.236097,6,1015,21.60,2687.52,9.99,2731.68,11.64,2711.37,14.41,2710.19
1462089332,140.576819,7,1022,21.48,2694.99,9.94,2736.10,11.61,2745.22,14.34,2725.44
1462089333,127.777607,6,1028,21.40,2701.47,9.91,2740.31,11.55,2752.96,14.29,2731.58
1462089334,121.642100,9,1037,21.34,2713.39,9.89,2744.93,11.51,2752.96,14.25,2737.09
1462089335,125.679438,9,1046,21.28,2727.52,9.87,2749.55,11.45,2757.80,14.20,2744.96
1462089336,145.901755,7,1053,21.19,2738.50,9.83,2754.86,11.42,2766.12,14.15,2753.16
