unix_ts,avg_latency_ms,throughput
1462089205,23.865313,20
1462089206,22.457910,44
1462089207,23.621107,42
1462089208,23.796613,43
1462089209,23.132237,43
1462089210,24.835892,40
1462089211,24.556868,41
1462089212,23.078107,43
1462089213,23.218241,43
1462089214,23.567660,43
1462089215,23.700522,42
1462089216,24.970017,40
1462089217,24.791983,39
1462089218,25.948892,36
1462089219,113.236355,9
1462089220,134.918716,8
1462089221,141.056600,7
1462089222,103.695047,8
1462089223,126.932568,9
1462089224,145.391198,7
1462089225,104.090547,8
1462089226,127.035320,9
1462089227,145.516337,7
1462089228,103.927126,8
1462089229,126.828157,9
1462089230,175.354022,5
1462089231,166.943364,6
1462089232,169.833761,6
1462089233,171.381504,6
1462089234,170.368364,6
1462089235,158.120391,7
1462089236,133.021856,7
1462089237,165.403073,6
1462089238,214.784055,5
1462089239,189.685555,5
1462089240,170.220018,6
1462089241,170.875302,6
1462089242,149.402928,5
1462089243,151.595055,7
1462089244,163.458417,7
1462089245,118.366766,8
1462089246,122.321130,9
1462089247,124.005186,6
1462089248,126.447959,9
1462089249,121.871773,9
1462089250,123.689949,6
1462089251,125.968767,9
1462089252,122.128716,9
1462089253,150.872098,7
1462089254,102.970680,8
1462089255,122.833645,9
1462089256,151.158027,7
1462089257,102.824354,8
1462089258,122.536078,9
1462089259,151.052580,7
1462089260,102.633377,8
1462089261,122.094237,9
1462089262,136.944749,8
1462089263,112.404232,7
1462089264,122.224647,9
1462089265,137.371528,8
1462089266,112.312408,7
1462089267,122.357801,9
1462089268,138.625019,8
1462089269,112.486946,7
1462089270,122.577837,9
1462089271,137.954012,8
1462089272,112.120640,7
1462089273,122.246611,9
1462089274,126.282696,9
1462089275,124.316866,6
1462089276,122.479021,9
1462089277,126.358264,9
1462089278,146.534571,7
1462089279,102.731944,8
1462089280,126.868002,9
1462089281,147.001995,7
1462089282,103.121520,8
1462089283,126.636070,9
1462089284,146.702237,7
1462089285,102.960799,8
1462089286,167.079501,6
1462089287,224.222367,5
1462089288,132.728197,7
1462089289,166.120335,6
1462089290,138.948213,8
1462089291,179.920418,5
1462089292,119.076430,8
1462089293,122.767350,9
1462089294,153.015331,7
1462089295,103.728182,8
1462089296,122.857460,9
1462089297,152.139838,7
1462089298,103.721696,8
1462089299,122.912303,9
1462089300,152.554104,7
1462089301,103.381426,8
1462089302,134.859959,8
1462089303,167.567132,6
1462089304,182.196972,5
1462089305,172.949156,6
1462089306,186.446504,6
1462089307,123.867631,8
1462089308,157.564984,6
1462089309,215.389355,4
1462089310,166.247694,6
1462089311,166.280661,6
1462089312,145.984847,8
1462089313,162.777483,6
1462089314,172.859532,6
1462089315,172.038653,6
1462089316,151.853955,5
1462089317,206.135317,6
1462089318,125.523798,7
1462089319,159.749678,7
1462089320,124.487343,8
1462089321,159.340496,6
1462089322,133.124754,8
1462089323,186.557584,5
1462089324,156.946899,6
1462089325,160.340491,7
1462089326,132.953729,7
1462089327,151.863025,7
1462089328,143.611155,7
1462089329,131.845987,7
1462089330,158.710021,6
1462089331,173.606155,6
1462089332,173.198484,6
1462089333,173.331771,6
1462089334,150.578984,6
1462089335,120.317421,9
1462089336,125.642397,6
1462089337,127.272048,9
1462089338,123.000229,9
1462089339,125.808023,6
1462089340,127.728394,9
1462089341,123.315189,9
1462089342,125.906745,6
1462089343,127.817154,9
1462089344,133.810518,8
1462089345,113.078850,7
1462089346,127.572826,9
1462089347,133.981316,8
1462089348,113.644079,7
1462089349,127.822664,9
1462089350,133.631516,8
1462089351,115.051456,7
1462089352,127.590504,9
1462089353,147.961045,7
1462089354,103.860628,8
1462089355,127.572320,9
1462089356,126.194183,6
1462089357,123.558256,9
1462089358,127.552505,9
1462089359,125.466647,6
1462089360,123.477655,9
1462089361,127.757089,9
1462089362,125.432850,6
1462089363,123.627873,9
1462089364,139.278004,8
1462089365,113.086743,7
1462089366,124.120054,9
1462089367,153.553638,7
1462089368,103.855140,8
1462089369,123.925752,9
1462089370,153.799814,7
1462089371,103.954876,8
1462089372,123.687384,9
1462089373,126.365312,6
1462089374,127.786191,9
1462089375,123.617620,9
1462089376,126.141628,6
1462089377,127.623904,9
1462089378,123.896230,9
1462089379,125.864896,6
1462089380,127.893542,9
1462089381,135.809881,8
1462089382,113.573467,7
1462089383,127.682083,9
1462089384,134.580698,8
1462089385,113.546672,7
1462089386,128.001029,9
1462089387,148.355382,7
1462089388,105.918386,8
1462089389,127.910459,9
1462089390,146.000694,7
1462089391,113.098441,7
1462089392,123.680308,9
1462089393,150.734059,7
1462089394,105.825268,8
1462089395,123.858112,9
1462089396,152.793440,7
1462089397,104.294724,8
1462089398,141.357068,7
1462089399,128.506914,9
1462089400,126.115378,6
1462089401,124.016292,9
1462089402,128.095461,9
1462089403,126.387578,6
1462089404,124.179576,9
1462089405,139.375681,8
1462089406,113.844013,7
1462089407,124.658701,9
1462089408,154.334387,7
1462089409,104.258791,8
1462089410,124.488961,9
1462089411,132.998271,3
