unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1462091113,26.208295,26,26,2.37,25.26,2.14,20.60,2.00,20.45,2.17,22.10
1462091114,25.620602,39,65,8.19,150.89,5.49,126.11,6.27,132.99,6.65,136.66
1462091115,26.261847,38,103,12.36,231.48,7.98,211.33,9.35,204.70,9.90,215.84
1462091116,26.041999,37,140,16.05,325.66,9.98,284.79,12.53,294.30,12.85,301.58
1462091117,26.409630,39,179,19.04,425.48,11.89,413.68,14.57,383.74,15.17,407.63
1462091118,26.332896,38,217,21.47,489.66,13.22,494.38,16.23,464.41,16.97,482.82
1462091119,26.280233,38,255,23.86,604.38,14.35,554.72,17.54,533.49,18.58,564.20
1462091120,26.863121,37,292,25.53,655.72,15.32,655.84,18.57,618.94,19.81,643.50
1462091121,26.930797,37,329,27.23,767.58,16.23,760.81,19.73,732.98,21.06,753.79
1462091122,27.299270,37,366,28.68,841.96,16.91,821.35,20.74,845.52,22.11,836.28
1462091123,27.598764,36,402,30.25,921.30,17.55,902.35,21.12,860.15,22.97,894.60
1462091124,27.263385,37,439,31.43,1038.40,18.18,1032.87,21.70,999.13,23.77,1023.47
1462091125,26.385320,38,477,32.60,1128.50,18.54,1048.94,21.94,1055.80,24.36,1077.75
1462091126,26.681051,37,514,33.57,1214.99,19.25,1227.39,22.46,1176.64,25.09,1206.34
1462091127,28.098184,29,543,34.25,1256.74,19.52,1247.02,22.68,1217.63,25.48,1240.46
1462091128,149.307378,8,551,34.16,1361.37,19.18,1261.40,22.55,1347.88,25.30,1323.55
1462091129,148.399657,6,557,33.28,1367.10,18.79,1320.94,21.84,1369.62,24.64,1352.55
1462091130,126.165868,7,564,32.34,1371.97,18.34,1364.60,21.20,1373.10,23.96,1369.89
1462091131,121.887271,9,573,31.56,1374.24,17.96,1421.02,20.57,1377.01,23.36,1390.76
1462091132,137.424859,8,581,30.78,1383.89,17.54,1430.39,20.06,1386.84,22.79,1400.37
1462091133,112.453493,7,588,30.19,1466.44,17.15,1431.20,19.52,1392.88,22.29,1430.17
1462091134,121.956235,9,597,29.46,1473.44,16.75,1437.55,19.05,1400.96,21.75,1437.32
1462091135,126.991469,9,606,28.82,1475.84,16.41,1442.76,18.58,1408.81,21.27,1442.47
