unix_ts,avg_latency_ms,throughput
1462091113,26.208295,26
1462091114,25.620602,39
1462091115,26.261847,38
1462091116,26.041999,37
1462091117,26.409630,39
1462091118,26.332896,38
1462091119,26.280233,38
1462091120,26.863121,37
1462091121,26.930797,37
1462091122,27.299270,37
1462091123,27.598764,36
1462091124,27.263385,37
1462091125,26.385320,38
1462091126,26.681051,37
1462091127,28.098184,29
1462091128,149.307378,8
1462091129,148.399657,6
1462091130,126.165868,7
1462091131,121.887271,9
1462091132,137.424859,8
1462091133,112.453493,7
1462091134,121.956235,9
1462091135,126.991469,9
1462091136,124.749581,6
1462091137,122.046078,9
1462091138,126.770659,9
1462091139,145.267032,7
1462091140,103.652940,8
1462091141,128.226219,9
1462091142,144.965618,7
1462091143,103.782687,8
1462091144,126.701389,9
1462091145,145.860230,7
1462091146,103.736938,8
1462091147,126.597334,9
1462091148,145.023757,7
1462091149,103.663453,8
1462091150,126.974858,9
1462091151,145.288044,7
1462091152,103.591830,8
1462091153,127.122169,9
1462091154,132.272908,8
1462091155,112.750823,7
1462091156,126.873082,9
1462091157,132.686857,8
1462091158,114.100779,7
1462091159,127.096100,9
1462091160,132.342515,8
1462091161,112.947363,7
1462091162,127.255030,9
1462091163,132.579979,8
1462091164,112.843311,7
1462091165,127.239006,9
1462091166,132.310569,8
1462091167,113.033998,7
1462091168,127.108212,9
1462091169,132.163345,8
1462091170,113.804937,7
1462091171,127.493680,9
1462091172,132.552743,8
1462091173,112.845348,7
1462091174,127.205323,9
1462091175,132.261576,8
1462091176,113.024713,7
1462091177,127.256612,9
1462091178,132.318955,8
1462091179,113.611259,7
1462091180,127.004902,9
1462091181,129.801683,8
1462091182,146.112314,7
1462091183,102.999418,8
1462091184,126.087853,9
1462091185,132.471152,8
1462091186,111.876078,7
1462091187,126.785924,9
1462091188,132.473577,8
1462091189,112.012189,7
1462091190,126.222305,9
1462091191,122.222260,9
1462091192,124.472035,6
1462091193,126.226224,9
1462091194,122.471515,9
1462091195,124.578265,6
1462091196,126.894903,9
1462091197,122.220232,9
1462091198,124.599693,6
1462091199,126.433658,9
1462091200,122.568856,9
1462091201,124.475497,6
1462091202,126.451349,9
1462091203,122.691035,9
1462091204,125.065105,6
1462091205,126.306893,9
1462091206,122.748558,9
1462091207,124.740468,6
1462091208,126.530572,9
1462091209,122.488679,9
1462091210,151.705772,7
1462091211,102.853409,8
1462091212,122.466074,9
1462091213,152.477306,7
1462091214,102.807409,8
1462091215,122.633414,9
1462091216,152.759659,7
1462091217,102.759218,8
1462091218,124.199386,9
1462091219,152.300132,7
1462091220,105.121709,8
1462091221,123.055768,9
1462091222,125.559956,6
1462091223,126.694770,9
1462091224,134.782930,8
1462091225,148.128188,7
1462091226,136.823796,7
1462091227,157.963593,5
1462091228,126.945989,9
1462091229,122.769321,9
1462091230,125.572123,6
1462091231,127.271928,9
1462091232,122.748978,9
1462091233,125.166843,6
1462091234,127.319109,9
1462091235,123.038228,9
1462091236,124.877629,6
1462091237,127.202441,9
1462091238,122.791920,9
1462091239,125.338358,6
1462091240,127.104745,9
1462091241,123.203483,9
1462091242,124.949672,6
1462091243,127.260756,9
1462091244,123.363769,9
1462091245,125.786791,6
1462091246,128.699470,9
1462091247,123.416454,9
1462091248,125.173002,6
1462091249,127.466556,9
1462091250,123.332507,9
1462091251,125.516328,6
1462091252,127.370343,9
1462091253,122.837892,9
1462091254,125.274149,6
1462091255,128.261676,9
1462091256,133.610543,8
1462091257,112.664100,7
1462091258,127.171296,9
1462091259,133.674527,8
1462091260,112.848928,7
1462091261,127.522781,9
1462091262,133.769926,8
1462091263,112.870272,7
1462091264,127.595185,9
1462091265,133.793371,8
1462091266,113.028869,7
1462091267,127.769018,9
1462091268,147.567832,7
1462091269,166.751457,5
1462091270,149.746006,8
1462091271,112.641389,7
1462091272,127.554328,9
1462091273,148.119476,7
1462091274,167.434693,5
1462091275,119.891848,8
1462091276,123.859062,9
1462091277,138.740355,8
1462091278,114.097701,7
1462091279,123.359192,9
1462091280,151.962549,7
1462091281,104.068922,8
1462091282,123.661275,9
1462091283,152.559442,7
1462091284,104.437392,8
1462091285,187.200544,6
1462091286,167.681056,6
1462091287,149.844958,7
1462091288,114.129543,7
1462091289,208.652596,5
1462091290,155.556506,7
1462091291,134.096100,8
1462091292,125.796181,6
1462091293,123.737979,9
1462091294,138.800902,8
1462091295,113.214807,7
1462091296,131.279849,8
1462091297,123.413681,9
1462091298,150.870969,7
1462091299,104.857969,8
1462091300,123.539035,9
1462091301,126.091878,6
1462091302,127.479945,9
1462091303,123.552251,9
1462091304,125.640092,6
1462091305,127.781827,9
1462091306,135.194330,8
1462091307,131.907042,8
1462091308,126.976712,6
1462091309,124.203328,9
1462091310,139.354495,8
1462091311,113.487397,7
1462091312,124.307392,9
1462091313,132.364121,3
