unix_ts,avg_latency_ms,throughput
1462090977,37.348654,18
1462090978,31.847274,31
1462090979,34.498984,29
1462090980,33.896538,30
1462090981,33.562527,29
1462090982,37.874385,27
1462090983,35.216088,28
1462090984,35.341079,29
1462090985,32.963595,30
1462090986,34.326341,29
1462090987,36.908360,27
1462090988,34.941357,29
1462090989,34.271937,29
1462090990,34.729038,29
1462090991,37.320038,26
1462090992,37.210301,27
1462090993,37.393265,27
1462090994,37.720769,26
1462090995,36.307657,28
1462090996,58.601854,16
1462090997,131.233683,8
1462090998,110.251973,7
1462090999,141.566939,7
1462091000,156.537163,8
1462091001,168.322670,6
1462091002,130.231765,6
1462091003,139.630510,7
1462091004,162.007330,7
1462091005,175.284844,6
1462091006,168.963871,6
1462091007,168.971473,6
1462091008,128.578232,7
1462091009,137.427325,8
1462091010,143.634533,7
1462091011,129.994956,7
1462091012,136.742855,8
1462091013,142.781329,7
1462091014,131.071912,7
1462091015,136.955765,8
1462091016,137.470213,6
1462091017,156.958908,7
1462091018,155.490285,6
1462091019,164.569296,7
1462091020,155.633623,6
1462091021,145.914107,7
1462091022,171.480874,5
1462091023,169.530898,6
1462091024,145.600302,7
1462091025,170.071161,6
1462091026,170.037041,6
1462091027,176.320998,6
1462091028,157.777936,6
1462091029,142.914163,7
1462091030,182.693290,6
1462091031,104.552423,8
1462091032,146.617271,6
1462091033,136.080258,8
1462091034,118.943738,9
1462091035,145.003756,7
1462091036,138.504135,7
1462091037,165.096846,6
1462091038,164.376071,7
1462091039,156.593282,6
1462091040,146.878456,7
1462091041,155.469816,6
1462091042,156.034753,6
1462091043,165.454539,7
1462091044,156.017533,6
1462091045,146.754200,7
1462091046,155.543137,6
1462091047,156.775235,6
1462091048,164.824642,7
1462091049,156.051549,6
1462091050,158.089330,6
1462091051,137.043883,8
1462091052,143.655913,7
1462091053,131.196890,7
1462091054,137.652416,8
1462091055,163.082149,6
1462091056,143.823964,7
1462091057,130.487787,7
1462091058,138.077689,8
1462091059,137.337075,6
1462091060,137.332477,8
1462091061,144.587717,7
1462091062,130.088563,7
1462091063,138.091237,8
1462091064,145.148946,7
1462091065,129.862436,7
1462091066,137.934975,8
1462091067,145.488795,7
1462091068,130.140626,7
1462091069,145.600261,7
1462091070,151.599388,7
1462091071,149.555730,5
1462091072,184.382666,6
1462091073,140.086997,7
1462091074,128.640896,8
1462091075,125.655772,9
1462091076,144.390907,7
1462091077,103.304476,8
1462091078,125.409833,9
1462091079,144.736059,7
1462091080,103.430835,8
1462091081,125.633361,9
1462091082,133.592049,8
1462091083,111.345821,7
1462091084,126.264559,9
1462091085,121.922405,9
1462091086,123.692624,6
1462091087,125.967749,9
1462091088,121.895353,9
1462091089,123.991757,6
1462091090,125.812094,9
1462091091,122.337096,9
1462091092,124.053548,6
1462091093,137.893807,8
1462091094,143.961231,8
1462091095,128.499005,8
1462091096,112.521252,7
1462091097,122.569859,9
1462091098,137.971628,8
1462091099,113.125484,7
1462091100,122.447893,9
1462091101,138.340046,8
1462091102,112.724754,7
1462091103,122.363574,9
1462091104,137.943732,8
1462091105,112.658720,7
1462091106,122.502434,9
1462091107,126.816166,9
1462091108,125.169179,6
1462091109,122.447013,9
1462091110,127.638241,9
1462091111,124.955671,6
1462091112,122.453076,9
1462091113,175.975697,6
1462091114,139.165003,6
1462091115,142.206938,7
1462091116,123.002968,9
1462091117,127.826906,9
1462091118,125.502227,6
1462091119,123.663743,9
1462091120,138.755455,8
1462091121,113.148739,7
1462091122,123.105744,9
1462091123,138.389560,8
1462091124,113.638365,7
1462091125,123.123869,9
1462091126,138.361192,8
1462091127,113.709374,7
1462091128,130.907589,8
1462091129,122.494065,9
1462091130,147.142037,7
1462091131,143.680548,7
1462091132,142.929490,7
1462091133,103.588719,8
1462091134,122.499022,9
1462091135,150.938517,7
1462091136,104.056414,8
1462091137,122.863766,9
1462091138,150.852819,7
1462091139,103.800977,8
1462091140,122.599772,9
1462091141,152.134083,7
1462091142,104.567844,8
1462091143,122.891767,9
1462091144,151.984079,7
1462091145,129.485470,8
1462091146,133.166473,6
1462091147,142.035650,7
1462091148,209.336367,5
1462091149,144.872925,8
1462091150,120.094337,8
1462091151,147.518599,7
1462091152,103.784845,8
1462091153,127.439104,9
1462091154,125.954808,6
1462091155,123.630131,9
1462091156,127.863918,9
1462091157,125.546185,6
1462091158,123.276224,9
1462091159,138.947274,8
1462091160,112.940770,7
1462091161,123.259319,9
1462091162,138.553131,8
1462091163,113.762338,7
1462091164,123.361134,9
1462091165,138.802625,8
1462091166,142.042404,7
1462091167,105.615385,8
1462091168,123.089877,9
1462091169,128.123060,6
1462091170,131.609286,8
1462091171,141.649564,8
1462091172,136.242109,6
1462091173,127.972294,9
1462091174,123.768026,9
1462091175,126.080860,6
1462091176,131.643859,8
1462091177,127.373633,9
1462091178,147.106982,7
1462091179,104.203107,8
1462091180,127.458426,9
1462091181,147.161484,7
1462091182,104.377894,8
1462091183,127.607449,9
1462091184,147.441181,7
1462091185,104.195870,8
1462091186,127.881754,9
1462091187,126.007070,6
1462091188,123.720935,9
1462091189,148.554167,7
1462091190,184.734586,5
1462091191,155.777861,7
1462091192,168.884592,6
1462091193,168.898354,6
