2016-05-01 08:23:37.529858 I | etcdmain: etcd Version: 2.3.0+git
2016-05-01 08:23:37.529917 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-05-01 08:23:37.529924 I | etcdmain: Go Version: devel +ca8b627 Sun May 1 06:29:57 2016 +0000
2016-05-01 08:23:37.529929 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-01 08:23:37.529935 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-01 08:23:37.529984 I | etcdmain: listening for peers on http://10.240.0.18:2380
2016-05-01 08:23:37.530007 I | etcdmain: listening for client requests on 10.240.0.18:2379
2016-05-01 08:23:37.535665 I | etcdserver: name = etcd-2
2016-05-01 08:23:37.535680 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-01 08:23:37.535687 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-01 08:23:37.535692 I | etcdserver: heartbeat = 100ms
2016-05-01 08:23:37.535697 I | etcdserver: election = 1000ms
2016-05-01 08:23:37.535702 I | etcdserver: snapshot count = 10000
2016-05-01 08:23:37.535711 I | etcdserver: advertise client URLs = http://10.240.0.18:2379
2016-05-01 08:23:37.535717 I | etcdserver: initial advertise peer URLs = http://10.240.0.18:2380
2016-05-01 08:23:37.535730 I | etcdserver: initial cluster = etcd-1=http://10.240.0.17:2380,etcd-2=http://10.240.0.18:2380,etcd-3=http://10.240.0.19:2380
2016-05-01 08:23:37.537998 I | etcdserver: starting member 66358a82ef379101 in cluster d01df2c6b3269be0
2016-05-01 08:23:37.538035 I | raft: 66358a82ef379101 became follower at term 0
2016-05-01 08:23:37.538046 I | raft: newRaft 66358a82ef379101 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-01 08:23:37.538053 I | raft: 66358a82ef379101 became follower at term 1
2016-05-01 08:23:37.538172 I | etcdserver: no compression enabled
2016-05-01 08:23:37.548874 I | rafthttp: the connection with 8b1cff98eebdba1d became active
2016-05-01 08:23:37.549618 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
