second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
0,10.467111,88,88,2.10,17.36,12.909894,24,24,2.28,18.58
1,10.092228,99,187,6.44,92.42,12.030467,83,107,6.26,89.58
2,10.293293,97,284,9.39,154.00,11.705423,85,192,9.10,133.40
3,10.182930,98,382,11.92,208.29,11.907283,84,276,11.49,187.59
4,9.916110,101,483,14.19,261.71,12.233990,82,358,13.39,237.89
5,10.145989,97,580,16.19,332.73,12.308074,80,438,15.04,288.69
6,10.371044,98,678,17.66,390.46,12.219606,83,521,16.64,342.49
7,10.272083,97,775,18.96,446.45,12.145803,82,603,17.90,392.60
8,10.294710,97,872,19.95,488.77,12.735724,79,682,19.06,441.63
9,10.167074,98,970,21.03,556.92,12.145483,82,764,20.00,485.02
10,10.147553,99,1069,21.87,621.92,12.246928,81,845,20.87,538.31
11,10.258554,97,1166,22.63,659.52,12.091708,82,927,21.65,589.38
12,10.293700,97,1263,23.34,732.34,12.186611,83,1010,22.29,640.55
13,10.104465,98,1361,24.01,785.53,11.982627,83,1093,22.91,685.43
14,10.375923,97,1458,24.53,846.37,12.012812,82,1175,23.48,740.65
15,12.112085,83,1541,25.11,900.01,12.085787,84,1259,23.97,792.24
16,10.364991,96,1637,25.46,938.11,11.918482,84,1343,24.35,835.42
17,11.121642,90,1727,25.95,1009.34,12.114004,83,1426,24.68,900.48
18,10.425141,96,1823,26.41,1076.18,12.427783,79,1505,24.93,936.28
19,11.033620,90,1913,26.68,1083.49,12.969154,78,1583,25.25,981.86
20,10.919715,87,,,,13.444201,74,1657,25.62,1044.02
21,,,,,,12.746273,79,1736,25.83,1071.67
22,,,,,,12.138352,81,1817,26.07,1131.69
23,,,,,,13.447714,75,1892,26.35,1172.50
24,,,,,,12.794320,78,1970,26.61,1239.60
25,,,,,,12.361379,30,,,
