unix_ts,avg_latency_ms,throughput
1462480744,28.075724,5416
1462480745,23.124565,37251
1462480746,25.728818,37221
1462480747,27.991129,34724
1462480748,27.115742,35445
1462480749,27.502952,35236
1462480750,28.251666,34296
1462480751,27.640146,35039
1462480752,27.791948,34801
1462480753,27.979766,34713
1462480754,29.354384,32951
1462480755,28.999149,33251
1462480756,29.257290,33379
1462480757,27.291611,34927
1462480758,27.821263,34368
1462480759,26.957482,35978
1462480760,27.333054,35206
1462480761,26.917551,35556
1462480762,28.484321,126
