unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1462488253,8.864856,11325,11325,8.35,56.53,8.84,63.55,9.15,53.94,8.78,58.01
1462488254,10.642762,27971,39296,42.02,134.65,75.56,146.47,52.35,132.74,56.64,137.95
1462488255,57.062837,22749,62045,65.17,139.85,132.15,235.72,79.43,141.44,92.25,172.34
1462488256,15.726227,64312,126357,75.50,205.44,157.23,362.09,92.13,208.23,108.29,258.59
1462488257,14.433948,69099,195456,93.93,335.59,194.74,618.97,112.87,336.03,133.85,430.20
1462488258,14.777919,67488,262944,108.67,338.38,227.76,625.22,129.67,484.52,155.37,482.71
1462488259,14.300743,69579,332523,120.17,341.95,255.52,927.34,141.81,485.03,172.50,584.77
1462488260,14.470880,68760,401283,130.34,339.89,275.14,925.60,152.26,480.92,185.91,582.14
1462488261,14.021362,70851,472134,139.24,338.65,293.16,923.55,160.66,477.33,197.69,579.84
1462488262,14.711940,67412,539546,147.12,338.64,308.41,914.99,168.46,473.74,208.00,575.79
1462488263,14.125451,59453,,,,,,,,,
