second,avg_latency_ms_zk_v3.4.8,throughput_zk_v3.4.8,cumulative_throughput_zk_v3.4.8,avg_cpu_zk_v3.4.8,avg_memory_mb_zk_v3.4.8
0,19.620737,2548,2548,28.63,104.74
1,21.050642,35146,37694,56.51,154.24
2,22.864476,47780,85474,88.81,278.74
3,16.612793,61856,147330,112.14,401.92
4,15.609787,63801,211131,132.66,616.67
5,14.976364,66503,277634,150.10,721.96
6,14.479906,68817,346451,166.96,724.29
7,14.420965,69127,415578,182.02,725.47
8,13.880921,71648,487226,194.26,726.91
9,13.826548,72233,559459,204.46,726.98
10,14.147376,70325,629784,213.76,721.36
11,13.974815,71358,701142,221.67,719.94
12,14.062440,70668,771810,228.76,718.74
13,13.953659,71527,843337,234.73,717.88
14,14.396341,69172,912509,240.53,715.83
15,14.010121,71035,983544,245.84,713.94
16,15.013982,16263,,,
