2016-05-09 21:09:01.869431 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-09 21:09:01.869499 I | etcdmain: Git SHA: 7ca3316
2016-05-09 21:09:01.869506 I | etcdmain: Go Version: devel +d88261f Mon May 9 20:31:47 2016 +0000
2016-05-09 21:09:01.869511 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-09 21:09:01.869517 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-09 21:09:01.869585 I | etcdmain: listening for peers on http://10.240.0.19:2380
2016-05-09 21:09:01.869611 I | etcdmain: listening for client requests on 10.240.0.19:2379
2016-05-09 21:09:01.874332 I | etcdserver: name = etcd-3
2016-05-09 21:09:01.874369 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-09 21:09:01.874378 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-09 21:09:01.874383 I | etcdserver: heartbeat = 100ms
2016-05-09 21:09:01.874388 I | etcdserver: election = 1000ms
2016-05-09 21:09:01.874393 I | etcdserver: snapshot count = 10000
2016-05-09 21:09:01.874406 I | etcdserver: advertise client URLs = http://10.240.0.19:2379
2016-05-09 21:09:01.874413 I | etcdserver: initial advertise peer URLs = http://10.240.0.19:2380
2016-05-09 21:09:01.874427 I | etcdserver: initial cluster = etcd-1=http://10.240.0.17:2380,etcd-2=http://10.240.0.18:2380,etcd-3=http://10.240.0.19:2380
2016-05-09 21:09:01.876853 I | etcdserver: starting member b33da349595da114 in cluster d01df2c6b3269be0
2016-05-09 21:09:01.876900 I | raft: b33da349595da114 became follower at term 0
2016-05-09 21:09:01.876912 I | raft: newRaft b33da349595da114 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-09 21:09:01.876919 I | raft: b33da349595da114 became follower at term 1
2016-05-09 21:09:01.877131 I | etcdserver: enabling compression snappy
2016-05-09 21:09:01.890812 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-09 21:09:01.890938 I | rafthttp: the connection with 66358a82ef379101 became active
2016-05-09 21:09:01.892773 N | etcdserver: added member 66358a82ef379101 [http://10.240.0.18:2380] to cluster d01df2c6b3269be0
2016-05-09 21:09:01.893180 N | etcdserver: added member 8b1cff98eebdba1d [http://10.240.0.17:2380] to cluster d01df2c6b3269be0
2016-05-09 21:09:01.893487 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-09 21:09:01.893503 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-09 21:09:01.894275 N | etcdserver: added local member b33da349595da114 [http://10.240.0.19:2380] to cluster d01df2c6b3269be0
2016-05-09 21:09:01.894510 I | raft: b33da349595da114 [term: 1] received a MsgHeartbeat message with higher term from 8b1cff98eebdba1d [term: 3]
2016-05-09 21:09:01.894546 I | raft: b33da349595da114 became follower at term 3
2016-05-09 21:09:01.894565 I | raft: raft.node: b33da349595da114 elected leader 8b1cff98eebdba1d at term 3
2016-05-09 21:09:01.894644 I | rafthttp: the connection with 8b1cff98eebdba1d became active
2016-05-09 21:09:01.894932 N | membership: set the initial cluster version to 2.3
2016-05-09 21:09:01.899108 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.19:2379]} to cluster d01df2c6b3269be0
2016-05-09 21:09:01.899135 I | etcdmain: ready to serve client requests
2016-05-09 21:09:01.899294 N | etcdmain: serving insecure client requests on 10.240.0.19:2379, this is strongly discouraged!
2016-05-09 21:09:02.392268 I | v2http: enabled capabilities for version 2.3.0
2016-05-09 21:09:05.784064 N | membership: updated the cluster version from 2.3 to 3.0
2016-05-09 21:09:05.893500 I | v2http: enabled capabilities for version 3.0.0
2016-05-09 21:17:19.186280 E | rafthttp: failed to dial 8b1cff98eebdba1d on stream MsgApp v2 (dial tcp 10.240.0.17:2380: getsockopt: connection refused)
2016-05-09 21:17:19.186317 I | rafthttp: the connection with 8b1cff98eebdba1d became inactive
2016-05-09 21:17:20.186527 E | rafthttp: failed to dial 66358a82ef379101 on stream MsgApp v2 (dial tcp 10.240.0.18:2380: getsockopt: connection refused)
2016-05-09 21:17:20.186564 I | rafthttp: the connection with 66358a82ef379101 became inactive
2016-05-09 21:17:20.677305 I | raft: b33da349595da114 is starting a new election at term 3
2016-05-09 21:17:20.677382 I | raft: b33da349595da114 became candidate at term 4
2016-05-09 21:17:20.677390 I | raft: b33da349595da114 received vote from b33da349595da114 at term 4
2016-05-09 21:17:20.677403 I | raft: b33da349595da114 [logterm: 3, index: 1006] sent vote request to 8b1cff98eebdba1d at term 4
2016-05-09 21:17:20.677413 I | raft: b33da349595da114 [logterm: 3, index: 1006] sent vote request to 66358a82ef379101 at term 4
2016-05-09 21:17:20.677422 I | raft: raft.node: b33da349595da114 lost leader 8b1cff98eebdba1d at term 4
2016-05-09 21:17:21.085239 N | osutil: received terminated signal, shutting down...
