unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1462828141,etcd,R (running),17188,17164,0.00 %,6.6 MB,16 MB,64,5,0.00,6648000,15724000
1462828142,etcd,S (sleeping),17188,17164,7.92 %,17 MB,10 GB,64,14,7.92,16668000,10520668000
1462828143,etcd,S (sleeping),17188,17164,4.48 %,17 MB,10 GB,64,14,4.48,16668000,10520668000
1462828144,etcd,S (sleeping),17188,17164,3.65 %,17 MB,10 GB,64,14,3.65,16668000,10520668000
1462828145,etcd,S (sleeping),17188,17164,2.99 %,17 MB,10 GB,64,14,2.99,16668000,10521724000
1462828146,etcd,S (sleeping),17188,17164,2.79 %,17 MB,10 GB,64,14,2.79,16668000,10521724000
1462828147,etcd,S (sleeping),17188,17164,2.49 %,19 MB,10 GB,64,14,2.49,18612000,10522780000
1462828148,etcd,R (running),17188,17164,45.44 %,290 MB,11 GB,256,15,45.44,289932000,10806056000
1462828149,etcd,S (sleeping),17188,17164,86.28 %,323 MB,11 GB,256,15,86.28,322620000,10838824000
1462828150,etcd,S (sleeping),17188,17164,122.48 %,323 MB,11 GB,256,15,122.48,322620000,10838824000
1462828151,etcd,R (running),17188,17164,151.65 %,331 MB,11 GB,256,15,151.65,330764000,10846224000
1462828152,etcd,S (sleeping),17188,17164,175.72 %,331 MB,11 GB,256,15,175.72,331028000,10846224000
1462828153,etcd,S (sleeping),17188,17164,196.76 %,331 MB,11 GB,256,15,196.76,331280000,10846224000
1462828154,etcd,R (running),17188,17164,212.50 %,332 MB,11 GB,256,15,212.50,331536000,10846224000
1462828155,etcd,S (sleeping),17188,17164,230.27 %,332 MB,11 GB,256,15,230.27,331536000,10846224000
1462828156,etcd,R (running),17188,17164,242.92 %,332 MB,11 GB,256,15,242.92,331536000,10846224000
1462828157,etcd,R (running),17188,17164,253.86 %,334 MB,11 GB,256,15,253.86,333596000,10848336000
1462828158,etcd,R (running),17188,17164,263.19 %,338 MB,11 GB,256,15,263.19,337788000,10852564000
1462828159,etcd,R (running),17188,17164,272.00 %,338 MB,11 GB,256,15,272.00,337788000,10852564000
1462828160,etcd,S (sleeping),17188,17164,280.23 %,358 MB,11 GB,256,15,280.23,358364000,10872648000
1462828161,etcd,S (sleeping),17188,17164,277.09 %,358 MB,11 GB,256,15,277.09,358364000,10872648000
1462828162,etcd,S (sleeping),17188,17164,270.07 %,358 MB,11 GB,256,15,270.07,358364000,10872648000
1462828163,etcd,S (sleeping),17188,17164,275.92 %,358 MB,11 GB,256,15,275.92,358364000,10872648000
1462828164,etcd,R (running),17188,17164,283.07 %,358 MB,11 GB,256,15,283.07,358364000,10872648000
1462828165,etcd,S (sleeping),17188,17164,289.17 %,358 MB,11 GB,256,15,289.17,358364000,10872648000
1462828166,etcd,S (sleeping),17188,17164,294.78 %,358 MB,11 GB,256,15,294.78,358364000,10872648000
1462828167,etcd,S (sleeping),17188,17164,300.34 %,358 MB,11 GB,256,15,300.34,358364000,10872648000
1462828168,etcd,S (sleeping),17188,17164,305.16 %,359 MB,11 GB,256,15,305.16,358628000,10872648000
1462828169,etcd,S (sleeping),17188,17164,309.17 %,359 MB,11 GB,256,15,309.17,358628000,10872648000
1462828170,etcd,R (running),17188,17164,313.46 %,359 MB,11 GB,256,15,313.46,358628000,10872648000
1462828171,etcd,S (sleeping),17188,17164,317.93 %,359 MB,11 GB,256,15,317.93,358628000,10872648000
1462828172,etcd,R (running),17188,17164,321.23 %,359 MB,11 GB,256,15,321.23,358628000,10872648000
1462828173,etcd,S (sleeping),17188,17164,324.25 %,359 MB,11 GB,256,15,324.25,358628000,10872648000
1462828174,etcd,R (running),17188,17164,327.49 %,359 MB,11 GB,256,15,327.49,358628000,10872648000
1462828175,etcd,S (sleeping),17188,17164,330.29 %,359 MB,11 GB,256,15,330.29,358628000,10872648000
1462828176,etcd,R (running),17188,17164,332.93 %,359 MB,11 GB,256,15,332.93,358628000,10872648000
1462828177,etcd,S (sleeping),17188,17164,334.89 %,359 MB,11 GB,256,15,334.89,358888000,10872648000
1462828178,etcd,S (sleeping),17188,17164,337.15 %,359 MB,11 GB,256,15,337.15,358888000,10872648000
1462828179,etcd,R (running),17188,17164,338.87 %,369 MB,11 GB,256,15,338.87,368604000,10882160000
1462828180,etcd,R (running),17188,17164,340.00 %,369 MB,11 GB,256,15,340.00,368604000,10882160000
1462828181,etcd,S (sleeping),17188,17164,341.14 %,369 MB,11 GB,256,15,341.14,368604000,10882160000
1462828182,etcd,R (running),17188,17164,343.04 %,369 MB,11 GB,256,15,343.04,368604000,10882160000
1462828183,etcd,S (sleeping),17188,17164,345.26 %,369 MB,11 GB,256,15,345.26,368604000,10882160000
1462828184,etcd,S (sleeping),17188,17164,347.75 %,369 MB,11 GB,256,15,347.75,368604000,10882160000
1462828185,etcd,R (running),17188,17164,350.36 %,369 MB,11 GB,256,15,350.36,368604000,10882160000
1462828186,etcd,S (sleeping),17188,17164,351.84 %,369 MB,11 GB,256,15,351.84,368604000,10882160000
1462828187,etcd,S (sleeping),17188,17164,353.51 %,369 MB,11 GB,256,15,353.51,368604000,10882160000
1462828188,etcd,R (running),17188,17164,354.89 %,372 MB,11 GB,256,15,354.89,372268000,10882160000
1462828189,etcd,S (sleeping),17188,17164,355.93 %,372 MB,11 GB,256,15,355.93,372268000,10882160000
1462828190,etcd,S (sleeping),17188,17164,357.42 %,372 MB,11 GB,256,15,357.42,372268000,10882160000
1462828191,etcd,R (running),17188,17164,359.28 %,372 MB,11 GB,256,15,359.28,372268000,10882160000
1462828192,etcd,S (sleeping),17188,17164,360.55 %,372 MB,11 GB,256,15,360.55,372268000,10882160000
1462828193,etcd,S (sleeping),17188,17164,362.22 %,372 MB,11 GB,256,15,362.22,372268000,10882160000
1462828194,etcd,S (sleeping),17188,17164,363.33 %,372 MB,11 GB,256,15,363.33,372268000,10882160000
1462828195,etcd,S (sleeping),17188,17164,364.32 %,372 MB,11 GB,256,15,364.32,372268000,10882160000
1462828196,etcd,R (running),17188,17164,365.43 %,372 MB,11 GB,256,15,365.43,372268000,10882160000
1462828197,etcd,R (running),17188,17164,366.80 %,372 MB,11 GB,256,15,366.80,372268000,10882160000
1462828198,etcd,S (sleeping),17188,17164,367.91 %,378 MB,11 GB,256,15,367.91,378116000,10882160000
1462828199,etcd,S (sleeping),17188,17164,368.75 %,378 MB,11 GB,256,15,368.75,378116000,10882160000
1462828200,etcd,R (running),17188,17164,369.36 %,378 MB,11 GB,256,15,369.36,378116000,10882160000
1462828201,etcd,S (sleeping),17188,17164,370.51 %,378 MB,11 GB,256,15,370.51,378116000,10882160000
1462828202,etcd,S (sleeping),17188,17164,371.11 %,378 MB,11 GB,256,15,371.11,378116000,10882160000
1462828203,etcd,S (sleeping),17188,17164,371.77 %,378 MB,11 GB,256,15,371.77,378116000,10882160000
1462828204,etcd,R (running),17188,17164,372.92 %,378 MB,11 GB,256,15,372.92,378116000,10882160000
1462828205,etcd,S (sleeping),17188,17164,373.71 %,378 MB,11 GB,256,15,373.71,378116000,10882160000
1462828206,etcd,S (sleeping),17188,17164,374.62 %,378 MB,11 GB,256,15,374.62,378116000,10882160000
1462828207,etcd,S (sleeping),17188,17164,375.32 %,378 MB,11 GB,256,15,375.32,378116000,10882160000
1462828208,etcd,R (running),17188,17164,376.05 %,387 MB,11 GB,256,15,376.05,386844000,10882160000
1462828209,etcd,R (running),17188,17164,377.14 %,387 MB,11 GB,256,15,377.14,386844000,10882160000
1462828210,etcd,R (running),17188,17164,378.04 %,387 MB,11 GB,256,15,378.04,386844000,10882160000
1462828211,etcd,S (sleeping),17188,17164,378.45 %,387 MB,11 GB,256,15,378.45,386844000,10882160000
1462828212,etcd,S (sleeping),17188,17164,379.25 %,387 MB,11 GB,256,15,379.25,386844000,10882160000
1462828213,etcd,S (sleeping),17188,17164,379.41 %,387 MB,11 GB,256,15,379.41,386844000,10882160000
1462828214,etcd,S (sleeping),17188,17164,380.56 %,387 MB,11 GB,256,15,380.56,386844000,10882160000
1462828215,etcd,S (sleeping),17188,17164,381.11 %,387 MB,11 GB,256,16,381.11,386844000,10882160000
1462828216,etcd,S (sleeping),17188,17164,381.64 %,387 MB,11 GB,256,16,381.64,386844000,10882160000
1462828217,etcd,S (sleeping),17188,17164,382.31 %,389 MB,11 GB,256,16,382.31,388592000,10882160000
1462828218,etcd,R (running),17188,17164,382.87 %,389 MB,11 GB,256,16,382.87,388608000,10882160000
1462828219,etcd,R (running),17188,17164,383.49 %,389 MB,11 GB,256,16,383.49,388608000,10882160000
1462828220,etcd,S (sleeping),17188,17164,384.24 %,389 MB,11 GB,256,16,384.24,388608000,10882160000
1462828221,etcd,S (sleeping),17188,17164,384.82 %,389 MB,11 GB,256,16,384.82,388608000,10882160000
1462828222,etcd,S (sleeping),17188,17164,385.38 %,389 MB,11 GB,256,16,385.38,388608000,10882160000
1462828223,etcd,S (sleeping),17188,17164,385.83 %,389 MB,11 GB,256,16,385.83,388608000,10882160000
1462828224,etcd,S (sleeping),17188,17164,385.92 %,389 MB,11 GB,256,16,385.92,388608000,10882160000
1462828225,etcd,R (running),17188,17164,386.48 %,389 MB,11 GB,256,16,386.48,388608000,10882160000
1462828226,etcd,S (sleeping),17188,17164,386.98 %,389 MB,11 GB,256,16,386.98,388608000,10882160000
1462828227,etcd,R (running),17188,17164,387.38 %,389 MB,11 GB,256,16,387.38,388648000,10882160000
1462828228,etcd,S (sleeping),17188,17164,388.03 %,389 MB,11 GB,256,16,388.03,388648000,10882160000
1462828229,etcd,S (sleeping),17188,17164,388.53 %,389 MB,11 GB,256,16,388.53,388648000,10882160000
1462828230,etcd,R (running),17188,17164,388.56 %,389 MB,11 GB,256,16,388.56,388648000,10882160000
1462828231,etcd,S (sleeping),17188,17164,389.23 %,389 MB,11 GB,256,16,389.23,388648000,10882160000
1462828232,etcd,S (sleeping),17188,17164,389.64 %,389 MB,11 GB,256,16,389.64,388648000,10882160000
1462828233,etcd,S (sleeping),17188,17164,390.04 %,389 MB,11 GB,256,16,390.04,388884000,10882160000
1462828234,etcd,R (running),17188,17164,390.49 %,389 MB,11 GB,256,16,390.49,388884000,10882160000
1462828235,etcd,S (sleeping),17188,17164,390.58 %,389 MB,11 GB,256,16,390.58,388884000,10882160000
1462828236,etcd,S (sleeping),17188,17164,391.06 %,389 MB,11 GB,256,16,391.06,388884000,10882160000
1462828237,etcd,S (sleeping),17188,17164,391.26 %,389 MB,11 GB,256,16,391.26,389096000,10882160000
1462828238,etcd,R (running),17188,17164,391.48 %,389 MB,11 GB,256,16,391.48,389096000,10882160000
1462828239,etcd,R (running),17188,17164,391.56 %,389 MB,11 GB,256,16,391.56,389096000,10882160000
1462828240,etcd,S (sleeping),17188,17164,392.04 %,389 MB,11 GB,256,16,392.04,389096000,10882160000
1462828241,etcd,R (running),17188,17164,392.36 %,389 MB,11 GB,256,16,392.36,389096000,10882160000
