second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
0,1469.087963,129,129,33.01,1099.16,581.325377,331,331,51.91,791.74
1,2328.113591,867,996,45.08,1666.27,1452.196779,927,1258,87.44,1378.29
2,927.831542,1130,2126,65.61,1725.26,884.301488,1098,2356,123.50,1458.40
3,756.392177,1260,3386,84.62,1736.04,862.769051,1066,3422,158.42,1459.28
4,753.679213,1319,4705,102.55,1746.48,911.125219,1067,4489,183.08,1459.63
5,789.115903,1275,5980,118.60,1750.68,870.513934,1100,5589,204.64,1467.47
6,772.109970,1273,7253,130.98,1753.50,922.346355,1062,6651,223.28,1479.07
7,791.696995,1269,8522,141.66,1763.29,885.912041,1099,7750,239.50,1479.16
8,780.969075,1268,9790,151.19,1763.29,897.640954,1074,8824,252.31,1490.17
9,793.028858,1267,11057,159.73,1763.29,887.177064,1070,9894,264.58,1490.43
10,764.927739,1315,12372,167.81,1769.61,936.027588,1076,10970,274.28,1498.02
11,803.521019,1233,13605,174.53,1769.61,895.280222,1077,12047,283.49,1498.37
12,757.162262,1295,14900,181.03,1770.66,895.794008,1070,13117,289.98,1503.17
13,780.476692,1270,16170,186.39,1770.66,906.715676,1123,14240,298.78,1503.26
14,630.317580,1278,17448,191.02,1770.66,873.768276,1103,15343,306.03,1506.73
15,767.057735,1246,18694,194.48,1771.96,897.227440,1080,16423,312.65,1506.73
16,875.161986,1291,19985,200.59,1774.88,905.172499,1039,17462,316.90,1506.73
17,815.375237,1279,21264,205.11,1774.88,904.104411,1118,18580,321.56,1506.73
18,792.086338,1302,22566,209.84,1774.88,838.458251,1087,19667,325.55,1506.73
19,780.452670,1297,23863,214.10,1774.88,857.523358,1076,20743,331.05,1506.73
20,770.266481,1246,25109,217.31,1774.88,988.276701,1134,21877,338.30,1507.86
21,802.869459,1256,26365,219.67,1776.52,867.513756,1095,22972,343.16,1507.86
22,790.469732,1293,27658,221.91,1778.07,855.326042,1108,24080,346.54,1507.95
23,781.433904,1272,28930,223.77,1778.07,873.099342,1072,25152,350.66,1507.95
24,764.650538,1286,30216,225.92,1778.07,889.309610,1117,26269,353.90,1507.95
25,781.258913,1333,31549,228.32,1778.07,861.320515,1114,27383,356.91,1507.95
26,754.076416,1266,32815,230.74,1778.07,884.776893,1094,28477,359.40,1507.95
27,783.741575,1279,34094,233.03,1780.22,860.889409,1099,29576,362.60,1507.95
28,792.504440,1276,35370,234.98,1780.22,858.026274,1150,30726,364.90,1507.95
29,757.787028,1270,36640,236.81,1780.22,876.269086,1121,31847,366.98,1507.95
30,768.009469,1331,37971,238.74,1780.22,858.334466,1081,32928,370.28,1507.95
31,785.187239,1307,39278,240.57,1780.22,881.960738,1122,34050,372.48,1507.95
32,756.505959,1265,40543,242.37,1780.30,847.880987,1116,35166,374.45,1507.95
33,787.952979,1268,41811,243.89,1780.30,887.689897,1096,36262,376.39,1507.95
34,767.185238,1306,43117,245.42,1780.30,852.417091,1101,37363,378.92,1507.95
35,762.988664,1326,44443,246.81,1780.30,870.785320,1124,38487,380.89,1507.95
36,803.248926,1232,45675,248.06,1780.30,862.463943,1087,39574,382.57,1508.38
37,781.603136,1277,46952,249.15,1782.33,878.497858,1139,40713,384.11,1508.38
38,788.322699,1292,48244,250.23,1782.33,852.301821,1130,41843,386.23,1508.38
39,757.721906,1264,49508,251.44,1782.33,902.452051,1154,42997,387.74,1508.38
40,784.731990,1303,50811,252.33,1782.33,855.266922,1060,44057,389.27,1508.38
41,772.359219,1282,52093,253.52,1782.33,885.345518,1109,45166,389.93,1508.38
42,774.668547,1317,53410,254.62,1782.34,888.773752,1101,46267,391.72,1508.38
43,779.157484,1232,54642,255.63,1782.34,884.698252,1073,47340,392.48,1508.38
44,767.861242,1336,55978,256.60,1782.34,899.303726,1076,48416,393.85,1508.38
45,788.296797,1258,57236,257.67,1782.41,835.053960,1084,49500,394.90,1509.83
46,780.506629,1228,58464,258.60,1784.94,922.995436,1104,50604,395.73,1509.92
47,792.786642,1323,59787,259.33,1786.84,894.061593,1072,51676,396.93,1509.92
48,750.064794,1305,61092,260.11,1786.84,903.020319,1091,52767,397.89,1509.92
49,775.012451,1291,62383,260.99,1786.84,874.377558,1081,53848,398.52,1509.92
50,778.429131,1308,63691,261.81,1786.84,923.215101,1098,54946,399.28,1509.92
51,784.596009,1234,64925,262.51,1786.84,875.586106,1122,56068,399.96,1509.92
52,792.220532,1234,66159,263.00,1786.84,862.091281,1108,57176,401.46,1509.92
53,782.297858,1283,67442,263.54,1792.06,845.088625,1126,58302,402.15,1509.92
54,781.882039,1279,68721,264.13,1792.06,812.038005,1111,59413,403.48,1509.92
55,799.661417,1257,69978,264.72,1792.06,901.474933,1124,60537,404.02,1509.92
56,806.053202,1231,71209,265.18,1792.06,887.153597,1141,61678,404.72,1509.92
57,771.953262,1295,72504,265.64,1794.99,850.555096,1055,62733,405.64,1509.92
58,771.856317,1296,73800,266.25,1794.99,876.285236,1151,63884,406.70,1521.52
