2016-05-10 13:58:30.889385 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-10 13:58:30.889451 I | etcdmain: Git SHA: 7ca3316
2016-05-10 13:58:30.889457 I | etcdmain: Go Version: devel +42b647b Tue May 10 06:05:48 2016 +0000
2016-05-10 13:58:30.889462 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-10 13:58:30.889468 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-10 13:58:30.889557 I | etcdmain: listening for peers on http://10.240.0.18:2380
2016-05-10 13:58:30.889584 I | etcdmain: listening for client requests on 10.240.0.18:2379
2016-05-10 13:58:30.895242 I | etcdserver: name = etcd-2
2016-05-10 13:58:30.895278 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-10 13:58:30.895290 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-10 13:58:30.895299 I | etcdserver: heartbeat = 100ms
2016-05-10 13:58:30.895304 I | etcdserver: election = 1000ms
2016-05-10 13:58:30.895309 I | etcdserver: snapshot count = 10000
2016-05-10 13:58:30.895319 I | etcdserver: advertise client URLs = http://10.240.0.18:2379
2016-05-10 13:58:30.895326 I | etcdserver: initial advertise peer URLs = http://10.240.0.18:2380
2016-05-10 13:58:30.895339 I | etcdserver: initial cluster = etcd-1=http://10.240.0.17:2380,etcd-2=http://10.240.0.18:2380,etcd-3=http://10.240.0.19:2380
2016-05-10 13:58:30.897826 I | etcdserver: starting member 66358a82ef379101 in cluster d01df2c6b3269be0
2016-05-10 13:58:30.897876 I | raft: 66358a82ef379101 became follower at term 0
2016-05-10 13:58:30.897902 I | raft: newRaft 66358a82ef379101 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-10 13:58:30.897915 I | raft: 66358a82ef379101 became follower at term 1
2016-05-10 13:58:30.898312 I | etcdserver: no compression enabled
2016-05-10 13:58:30.911406 I | rafthttp: the connection with 8b1cff98eebdba1d became active
2016-05-10 13:58:30.912571 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-10 13:58:30.913917 N | etcdserver: added local member 66358a82ef379101 [http://10.240.0.18:2380] to cluster d01df2c6b3269be0
2016-05-10 13:58:30.913965 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-10 13:58:30.913983 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-10 13:58:30.914098 N | etcdserver: added member 8b1cff98eebdba1d [http://10.240.0.17:2380] to cluster d01df2c6b3269be0
2016-05-10 13:58:30.914260 N | etcdserver: added member b33da349595da114 [http://10.240.0.19:2380] to cluster d01df2c6b3269be0
2016-05-10 13:58:31.794365 I | raft: 66358a82ef379101 [term: 1] received a MsgVote message with higher term from 8b1cff98eebdba1d [term: 3]
2016-05-10 13:58:31.794424 I | raft: 66358a82ef379101 became follower at term 3
2016-05-10 13:58:31.794438 I | raft: 66358a82ef379101 [logterm: 1, index: 3, vote: 0] voted for 8b1cff98eebdba1d [logterm: 1, index: 3] at term 3
2016-05-10 13:58:31.796318 I | raft: raft.node: 66358a82ef379101 elected leader 8b1cff98eebdba1d at term 3
2016-05-10 13:58:31.800372 I | etcdserver: published {Name:etcd-2 ClientURLs:[http://10.240.0.18:2379]} to cluster d01df2c6b3269be0
2016-05-10 13:58:31.800400 I | etcdmain: ready to serve client requests
2016-05-10 13:58:31.800528 N | etcdmain: serving insecure client requests on 10.240.0.18:2379, this is strongly discouraged!
2016-05-10 13:58:31.800542 N | membership: set the initial cluster version to 2.3
2016-05-10 13:58:31.913347 I | v2http: enabled capabilities for version 2.3.0
2016-05-10 13:58:31.913414 I | rafthttp: the connection with b33da349595da114 became active
2016-05-10 13:58:35.802858 N | membership: updated the cluster version from 2.3 to 3.0
2016-05-10 13:58:35.914977 I | v2http: enabled capabilities for version 3.0.0
2016-05-10 14:25:05.359908 E | rafthttp: failed to dial 8b1cff98eebdba1d on stream Message (dial tcp 10.240.0.17:2380: getsockopt: connection refused)
2016-05-10 14:25:05.359961 I | rafthttp: the connection with 8b1cff98eebdba1d became inactive
2016-05-10 14:25:06.257950 N | osutil: received terminated signal, shutting down...
2016-05-10 14:25:06.259274 E | rafthttp: failed to read b33da349595da114 on stream MsgApp v2 (net/http: request canceled)
2016-05-10 14:25:06.259296 I | rafthttp: the connection with b33da349595da114 became inactive
