second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,14.467535,7106,7106,8.40,57.98,13.231921,15323,15323,58.78,152.74,24.185591,21479,21479,2.50,18.15,26.205165,7526,7526,2.86,20.81,24.496947,11063,11063,2.80,21.83,273.831120,679,679,1.03,6.56,77.226301,8961,8961,1.56,16.69
1,22.253519,20235,27341,61.06,154.41,40.905029,22801,38124,90.16,224.32,23.676323,41765,63244,52.00,72.03,25.480399,38148,45674,51.30,74.63,24.190815,39912,50975,52.96,75.52,318.894068,1507,2186,3.51,19.75,105.091724,10944,19905,33.09,52.21
2,78.411348,14810,42151,104.07,234.30,57.724097,19471,57595,105.18,301.46,27.947794,35478,98722,90.81,85.70,27.613328,35595,81269,90.71,85.53,26.240420,37478,88453,95.49,91.00,349.607769,2242,4428,5.15,24.65,108.178888,9088,28993,57.74,72.83
3,28.439954,36396,78547,118.92,305.84,26.119300,38347,95942,131.51,407.36,25.408223,38992,137714,123.28,97.93,28.937715,33908,115177,125.87,99.33,30.589553,32565,121018,129.76,102.19,251.277492,1971,6399,7.03,29.68,105.944987,9399,38392,75.31,92.24
4,24.025571,41821,120368,146.69,424.62,26.845314,37345,133287,149.19,520.35,26.605074,37140,174854,152.57,111.15,28.547624,34244,149421,153.68,109.94,30.140808,32290,153308,158.28,117.41,369.580236,1892,8291,8.32,33.09,111.554199,8841,47233,91.60,99.43
5,26.266452,38023,158391,165.72,521.25,24.873724,40098,173385,165.12,717.03,26.067876,38209,213063,176.78,126.49,30.036291,32981,182402,176.12,125.20,30.353117,33096,186404,182.69,125.87,288.563586,1950,10241,9.47,48.06,110.132021,9024,56257,103.70,118.92
6,24.864502,40166,198557,186.46,721.81,26.629420,37570,210955,178.75,819.44,26.401483,37547,250610,196.87,138.76,29.401003,33624,216026,195.90,134.11,32.260163,29901,216305,201.41,138.02,330.044108,2582,12823,10.11,51.23,106.501981,9716,65973,114.50,137.91
7,24.599844,40385,238942,205.58,875.74,25.772949,38780,249735,189.24,869.09,26.558519,37222,287832,214.28,156.31,30.002237,32413,248439,212.72,146.68,31.521615,31546,247851,218.71,149.67,345.441462,1417,14240,10.68,51.75,110.430304,9078,75051,124.32,134.77
8,23.167076,43497,282439,219.57,878.45,24.627801,40625,290360,200.15,954.09,26.852570,36926,324758,228.96,165.27,29.711380,33718,282157,227.23,157.14,29.984052,32250,280101,233.56,163.06,381.840068,2302,16542,10.87,52.01,102.552408,9686,84737,132.06,151.35
9,23.184011,42877,325316,233.98,1117.32,23.587051,42335,332695,211.14,1114.90,27.248106,36442,361200,241.72,177.84,31.380326,31425,313582,239.52,166.02,31.562175,32074,312175,246.46,170.14,242.942312,2621,19163,11.48,52.94,108.591847,9280,94017,139.76,173.85
