2016-05-14 21:51:54.695142 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-14 21:51:54.695203 I | etcdmain: Git SHA: 46481b1
2016-05-14 21:51:54.695211 I | etcdmain: Go Version: go1.6
2016-05-14 21:51:54.695217 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-14 21:51:54.695223 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-14 21:51:54.695288 I | etcdmain: listening for peers on http://10.240.0.30:2380
2016-05-14 21:51:54.695318 I | etcdmain: listening for client requests on 10.240.0.30:2379
2016-05-14 21:51:54.703983 I | etcdserver: name = etcd-2
2016-05-14 21:51:54.704009 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-14 21:51:54.704018 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-14 21:51:54.704025 I | etcdserver: heartbeat = 100ms
2016-05-14 21:51:54.704030 I | etcdserver: election = 1000ms
2016-05-14 21:51:54.704036 I | etcdserver: snapshot count = 10000
2016-05-14 21:51:54.704053 I | etcdserver: advertise client URLs = http://10.240.0.30:2379
2016-05-14 21:51:54.704061 I | etcdserver: initial advertise peer URLs = http://10.240.0.30:2380
2016-05-14 21:51:54.704081 I | etcdserver: initial cluster = etcd-1=http://10.240.0.29:2380,etcd-2=http://10.240.0.30:2380,etcd-3=http://10.240.0.31:2380
2016-05-14 21:51:54.706481 I | etcdserver: starting member ae3b7ee5c615ef3e in cluster cd66007c5b2956b8
2016-05-14 21:51:54.706538 I | raft: ae3b7ee5c615ef3e became follower at term 0
2016-05-14 21:51:54.706552 I | raft: newRaft ae3b7ee5c615ef3e [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-14 21:51:54.706559 I | raft: ae3b7ee5c615ef3e became follower at term 1
2016-05-14 21:51:54.722335 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-14 21:51:54.723681 I | rafthttp: the connection with 50bb6dbcc32550d5 became active
2016-05-14 21:51:54.723831 N | etcdserver: added member 31ac03f352a1427e [http://10.240.0.31:2380] to cluster cd66007c5b2956b8
2016-05-14 21:51:54.723945 N | etcdserver: added member 50bb6dbcc32550d5 [http://10.240.0.29:2380] to cluster cd66007c5b2956b8
2016-05-14 21:51:54.724034 N | etcdserver: added local member ae3b7ee5c615ef3e [http://10.240.0.30:2380] to cluster cd66007c5b2956b8
2016-05-14 21:51:54.906027 I | raft: ae3b7ee5c615ef3e [term: 1] received a MsgVote message with higher term from 50bb6dbcc32550d5 [term: 3]
2016-05-14 21:51:54.906104 I | raft: ae3b7ee5c615ef3e became follower at term 3
2016-05-14 21:51:54.906147 I | raft: ae3b7ee5c615ef3e [logterm: 1, index: 3, vote: 0] voted for 50bb6dbcc32550d5 [logterm: 1, index: 3] at term 3
2016-05-14 21:51:54.908297 I | raft: raft.node: ae3b7ee5c615ef3e elected leader 50bb6dbcc32550d5 at term 3
2016-05-14 21:51:54.911368 I | etcdserver: published {Name:etcd-2 ClientURLs:[http://10.240.0.30:2379]} to cluster cd66007c5b2956b8
2016-05-14 21:51:54.911387 I | etcdmain: ready to serve client requests
2016-05-14 21:51:54.911505 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-14 21:51:54.911521 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-14 21:51:54.911679 N | etcdmain: serving insecure client requests on 10.240.0.30:2379, this is strongly discouraged!
2016-05-14 21:51:54.912444 N | membership: set the initial cluster version to 2.3
2016-05-14 21:51:55.223488 I | v2http: enabled capabilities for version 2.3.0
2016-05-14 21:51:55.722550 I | rafthttp: the connection with 31ac03f352a1427e became active
2016-05-14 21:51:58.914723 N | membership: updated the cluster version from 2.3 to 3.0
2016-05-14 21:51:59.225027 I | v2http: enabled capabilities for version 3.0.0
2016-05-14 21:52:02.013745 I | etcdserver: start to snapshot (applied: 10039, lastsnap: 0)
2016-05-14 21:52:02.025966 I | etcdserver: saved snapshot at index 10039
2016-05-14 21:52:02.026124 I | etcdserver: compacted raft log at 5039
2016-05-14 21:52:02.282681 I | etcdserver: start to snapshot (applied: 20058, lastsnap: 10039)
2016-05-14 21:52:02.293511 I | etcdserver: saved snapshot at index 20058
2016-05-14 21:52:02.293785 I | etcdserver: compacted raft log at 15058
2016-05-14 21:52:02.541130 I | etcdserver: start to snapshot (applied: 30386, lastsnap: 20058)
2016-05-14 21:52:02.551378 I | etcdserver: saved snapshot at index 30386
2016-05-14 21:52:02.551565 I | etcdserver: compacted raft log at 25386
2016-05-14 21:52:02.812796 I | etcdserver: start to snapshot (applied: 40736, lastsnap: 30386)
2016-05-14 21:52:02.842821 I | etcdserver: saved snapshot at index 40736
2016-05-14 21:52:02.843152 I | etcdserver: compacted raft log at 35736
2016-05-14 21:52:03.114683 I | etcdserver: start to snapshot (applied: 50765, lastsnap: 40736)
2016-05-14 21:52:03.128551 I | etcdserver: saved snapshot at index 50765
2016-05-14 21:52:03.129056 I | etcdserver: compacted raft log at 45765
2016-05-14 21:52:03.373831 I | etcdserver: start to snapshot (applied: 61041, lastsnap: 50765)
2016-05-14 21:52:03.395814 I | etcdserver: saved snapshot at index 61041
2016-05-14 21:52:03.395997 I | etcdserver: compacted raft log at 56041
2016-05-14 21:52:03.665397 I | etcdserver: start to snapshot (applied: 71107, lastsnap: 61041)
2016-05-14 21:52:03.675603 I | etcdserver: saved snapshot at index 71107
2016-05-14 21:52:03.680709 I | etcdserver: compacted raft log at 66107
2016-05-14 21:52:03.936819 I | etcdserver: start to snapshot (applied: 81203, lastsnap: 71107)
2016-05-14 21:52:03.949721 I | etcdserver: saved snapshot at index 81203
2016-05-14 21:52:03.949888 I | etcdserver: compacted raft log at 76203
2016-05-14 21:52:04.242755 I | etcdserver: start to snapshot (applied: 91356, lastsnap: 81203)
2016-05-14 21:52:04.256018 I | etcdserver: saved snapshot at index 91356
2016-05-14 21:52:04.256235 I | etcdserver: compacted raft log at 86356
2016-05-14 21:52:04.524423 I | etcdserver: start to snapshot (applied: 101431, lastsnap: 91356)
2016-05-14 21:52:04.533332 I | etcdserver: saved snapshot at index 101431
2016-05-14 21:52:04.533474 I | etcdserver: compacted raft log at 96431
2016-05-14 21:52:04.840503 I | etcdserver: start to snapshot (applied: 111524, lastsnap: 101431)
2016-05-14 21:52:04.850513 I | etcdserver: saved snapshot at index 111524
2016-05-14 21:52:04.851113 I | etcdserver: compacted raft log at 106524
2016-05-14 21:52:05.139910 I | etcdserver: start to snapshot (applied: 121635, lastsnap: 111524)
2016-05-14 21:52:05.153511 I | etcdserver: saved snapshot at index 121635
2016-05-14 21:52:05.153661 I | etcdserver: compacted raft log at 116635
2016-05-14 21:52:05.432125 I | etcdserver: start to snapshot (applied: 131956, lastsnap: 121635)
2016-05-14 21:52:05.442340 I | etcdserver: saved snapshot at index 131956
2016-05-14 21:52:05.442503 I | etcdserver: compacted raft log at 126956
2016-05-14 21:52:05.714470 I | etcdserver: start to snapshot (applied: 142056, lastsnap: 131956)
2016-05-14 21:52:05.721461 I | etcdserver: saved snapshot at index 142056
2016-05-14 21:52:05.721609 I | etcdserver: compacted raft log at 137056
2016-05-14 21:52:06.010457 I | etcdserver: start to snapshot (applied: 152103, lastsnap: 142056)
2016-05-14 21:52:06.039656 I | etcdserver: saved snapshot at index 152103
2016-05-14 21:52:06.039909 I | etcdserver: compacted raft log at 147103
2016-05-14 21:52:06.347852 I | etcdserver: start to snapshot (applied: 162366, lastsnap: 152103)
2016-05-14 21:52:06.358606 I | etcdserver: saved snapshot at index 162366
2016-05-14 21:52:06.358755 I | etcdserver: compacted raft log at 157366
2016-05-14 21:52:06.635946 I | etcdserver: start to snapshot (applied: 172584, lastsnap: 162366)
2016-05-14 21:52:06.646228 I | etcdserver: saved snapshot at index 172584
2016-05-14 21:52:06.646506 I | etcdserver: compacted raft log at 167584
2016-05-14 21:52:06.957870 I | etcdserver: start to snapshot (applied: 182588, lastsnap: 172584)
2016-05-14 21:52:06.968001 I | etcdserver: saved snapshot at index 182588
2016-05-14 21:52:06.968208 I | etcdserver: compacted raft log at 177588
2016-05-14 21:52:07.265879 I | etcdserver: start to snapshot (applied: 192988, lastsnap: 182588)
2016-05-14 21:52:07.279940 I | etcdserver: saved snapshot at index 192988
2016-05-14 21:52:07.280337 I | etcdserver: compacted raft log at 187988
2016-05-14 21:52:07.568502 I | etcdserver: start to snapshot (applied: 202998, lastsnap: 192988)
2016-05-14 21:52:07.577564 I | etcdserver: saved snapshot at index 202998
2016-05-14 21:52:07.577778 I | etcdserver: compacted raft log at 197998
2016-05-14 21:52:07.591984 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031bdf.wal is created
2016-05-14 21:52:07.877927 I | etcdserver: start to snapshot (applied: 213237, lastsnap: 202998)
2016-05-14 21:52:07.887918 I | etcdserver: saved snapshot at index 213237
2016-05-14 21:52:07.888056 I | etcdserver: compacted raft log at 208237
2016-05-14 21:52:08.169106 I | etcdserver: start to snapshot (applied: 223471, lastsnap: 213237)
2016-05-14 21:52:08.183384 I | etcdserver: saved snapshot at index 223471
2016-05-14 21:52:08.183655 I | etcdserver: compacted raft log at 218471
2016-05-14 21:52:08.497474 I | etcdserver: start to snapshot (applied: 233505, lastsnap: 223471)
2016-05-14 21:52:08.515987 I | etcdserver: saved snapshot at index 233505
2016-05-14 21:52:08.516204 I | etcdserver: compacted raft log at 228505
2016-05-14 21:52:08.794080 I | etcdserver: start to snapshot (applied: 243616, lastsnap: 233505)
2016-05-14 21:52:08.801810 I | etcdserver: saved snapshot at index 243616
2016-05-14 21:52:08.801955 I | etcdserver: compacted raft log at 238616
2016-05-14 21:52:09.098388 I | etcdserver: start to snapshot (applied: 253738, lastsnap: 243616)
2016-05-14 21:52:09.106341 I | etcdserver: saved snapshot at index 253738
2016-05-14 21:52:09.106542 I | etcdserver: compacted raft log at 248738
2016-05-14 21:52:09.378392 I | etcdserver: start to snapshot (applied: 263847, lastsnap: 253738)
2016-05-14 21:52:09.389748 I | etcdserver: saved snapshot at index 263847
2016-05-14 21:52:09.389912 I | etcdserver: compacted raft log at 258847
2016-05-14 21:52:09.686036 I | etcdserver: start to snapshot (applied: 273972, lastsnap: 263847)
2016-05-14 21:52:09.696105 I | etcdserver: saved snapshot at index 273972
2016-05-14 21:52:09.696274 I | etcdserver: compacted raft log at 268972
2016-05-14 21:52:10.029754 I | etcdserver: start to snapshot (applied: 284138, lastsnap: 273972)
2016-05-14 21:52:10.044272 I | etcdserver: saved snapshot at index 284138
2016-05-14 21:52:10.044448 I | etcdserver: compacted raft log at 279138
2016-05-14 21:52:10.349664 I | etcdserver: start to snapshot (applied: 294162, lastsnap: 284138)
2016-05-14 21:52:10.366713 I | etcdserver: saved snapshot at index 294162
2016-05-14 21:52:10.366905 I | etcdserver: compacted raft log at 289162
2016-05-14 21:52:10.660049 I | etcdserver: start to snapshot (applied: 304266, lastsnap: 294162)
2016-05-14 21:52:10.670413 I | etcdserver: saved snapshot at index 304266
2016-05-14 21:52:10.670624 I | etcdserver: compacted raft log at 299266
2016-05-14 21:52:10.966765 I | etcdserver: start to snapshot (applied: 314355, lastsnap: 304266)
2016-05-14 21:52:10.992650 I | etcdserver: saved snapshot at index 314355
2016-05-14 21:52:10.992886 I | etcdserver: compacted raft log at 309355
2016-05-14 21:52:11.292326 I | etcdserver: start to snapshot (applied: 324370, lastsnap: 314355)
2016-05-14 21:52:11.306991 I | etcdserver: saved snapshot at index 324370
2016-05-14 21:52:11.307169 I | etcdserver: compacted raft log at 319370
2016-05-14 21:52:11.603447 I | etcdserver: start to snapshot (applied: 334400, lastsnap: 324370)
2016-05-14 21:52:11.614531 I | etcdserver: saved snapshot at index 334400
2016-05-14 21:52:11.614676 I | etcdserver: compacted raft log at 329400
2016-05-14 21:52:11.911983 I | etcdserver: start to snapshot (applied: 344451, lastsnap: 334400)
2016-05-14 21:52:11.915483 I | etcdserver: saved snapshot at index 344451
2016-05-14 21:52:11.915623 I | etcdserver: compacted raft log at 339451
2016-05-14 21:52:12.249519 I | etcdserver: start to snapshot (applied: 355050, lastsnap: 344451)
2016-05-14 21:52:12.257705 I | etcdserver: saved snapshot at index 355050
2016-05-14 21:52:12.258339 I | etcdserver: compacted raft log at 350050
2016-05-14 21:52:12.529518 I | etcdserver: start to snapshot (applied: 365132, lastsnap: 355050)
2016-05-14 21:52:12.563779 I | etcdserver: saved snapshot at index 365132
2016-05-14 21:52:12.580434 I | etcdserver: compacted raft log at 360132
2016-05-14 21:52:12.858292 I | etcdserver: start to snapshot (applied: 375210, lastsnap: 365132)
2016-05-14 21:52:12.866337 I | etcdserver: saved snapshot at index 375210
2016-05-14 21:52:12.866590 I | etcdserver: compacted raft log at 370210
2016-05-14 21:52:13.174362 I | etcdserver: start to snapshot (applied: 385262, lastsnap: 375210)
2016-05-14 21:52:13.189217 I | etcdserver: saved snapshot at index 385262
2016-05-14 21:52:13.189407 I | etcdserver: compacted raft log at 380262
2016-05-14 21:52:13.485447 I | etcdserver: start to snapshot (applied: 395302, lastsnap: 385262)
2016-05-14 21:52:13.492334 I | etcdserver: saved snapshot at index 395302
2016-05-14 21:52:13.492548 I | etcdserver: compacted raft log at 390302
2016-05-14 21:52:13.841458 I | etcdserver: start to snapshot (applied: 406449, lastsnap: 395302)
2016-05-14 21:52:13.841484 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-000000000006378f.wal is created
2016-05-14 21:52:13.858266 I | etcdserver: saved snapshot at index 406449
2016-05-14 21:52:13.858493 I | etcdserver: compacted raft log at 401449
2016-05-14 21:52:14.150257 I | etcdserver: start to snapshot (applied: 416946, lastsnap: 406449)
2016-05-14 21:52:14.155465 I | etcdserver: saved snapshot at index 416946
2016-05-14 21:52:14.155645 I | etcdserver: compacted raft log at 411946
2016-05-14 21:52:14.489095 I | etcdserver: start to snapshot (applied: 427317, lastsnap: 416946)
2016-05-14 21:52:14.499376 I | etcdserver: saved snapshot at index 427317
2016-05-14 21:52:14.499518 I | etcdserver: compacted raft log at 422317
2016-05-14 21:52:14.781041 I | etcdserver: start to snapshot (applied: 437375, lastsnap: 427317)
2016-05-14 21:52:14.787585 I | etcdserver: saved snapshot at index 437375
2016-05-14 21:52:14.787774 I | etcdserver: compacted raft log at 432375
2016-05-14 21:52:15.120871 I | etcdserver: start to snapshot (applied: 448199, lastsnap: 437375)
2016-05-14 21:52:15.129809 I | etcdserver: saved snapshot at index 448199
2016-05-14 21:52:15.130349 I | etcdserver: compacted raft log at 443199
2016-05-14 21:52:15.404190 I | etcdserver: start to snapshot (applied: 458218, lastsnap: 448199)
2016-05-14 21:52:15.416068 I | etcdserver: saved snapshot at index 458218
2016-05-14 21:52:15.416270 I | etcdserver: compacted raft log at 453218
2016-05-14 21:52:15.709953 I | etcdserver: start to snapshot (applied: 468406, lastsnap: 458218)
2016-05-14 21:52:15.727525 I | etcdserver: saved snapshot at index 468406
2016-05-14 21:52:15.727742 I | etcdserver: compacted raft log at 463406
2016-05-14 21:52:16.064885 I | etcdserver: start to snapshot (applied: 478466, lastsnap: 468406)
2016-05-14 21:52:16.075633 I | etcdserver: saved snapshot at index 478466
2016-05-14 21:52:16.076061 I | etcdserver: compacted raft log at 473466
2016-05-14 21:52:16.342005 I | etcdserver: start to snapshot (applied: 488470, lastsnap: 478466)
2016-05-14 21:52:16.346534 I | etcdserver: saved snapshot at index 488470
2016-05-14 21:52:16.346688 I | etcdserver: compacted raft log at 483470
2016-05-14 21:52:16.640432 I | etcdserver: start to snapshot (applied: 498593, lastsnap: 488470)
2016-05-14 21:52:16.656020 I | etcdserver: saved snapshot at index 498593
2016-05-14 21:52:16.656187 I | etcdserver: compacted raft log at 493593
2016-05-14 21:52:17.026053 I | etcdserver: start to snapshot (applied: 509730, lastsnap: 498593)
2016-05-14 21:52:17.035825 I | etcdserver: saved snapshot at index 509730
2016-05-14 21:52:17.036035 I | etcdserver: compacted raft log at 504730
2016-05-14 21:52:17.332365 I | etcdserver: start to snapshot (applied: 519822, lastsnap: 509730)
2016-05-14 21:52:17.338230 I | etcdserver: saved snapshot at index 519822
2016-05-14 21:52:17.338371 I | etcdserver: compacted raft log at 514822
2016-05-14 21:52:17.637973 I | etcdserver: start to snapshot (applied: 529868, lastsnap: 519822)
2016-05-14 21:52:17.658593 I | etcdserver: saved snapshot at index 529868
2016-05-14 21:52:17.658801 I | etcdserver: compacted raft log at 524868
2016-05-14 21:52:17.912824 I | etcdserver: start to snapshot (applied: 539903, lastsnap: 529868)
2016-05-14 21:52:17.925326 I | etcdserver: saved snapshot at index 539903
2016-05-14 21:52:17.925682 I | etcdserver: compacted raft log at 534903
2016-05-14 21:52:18.239207 I | etcdserver: start to snapshot (applied: 549965, lastsnap: 539903)
2016-05-14 21:52:18.245646 I | etcdserver: saved snapshot at index 549965
2016-05-14 21:52:18.245788 I | etcdserver: compacted raft log at 544965
2016-05-14 21:52:18.603628 I | etcdserver: start to snapshot (applied: 560252, lastsnap: 549965)
2016-05-14 21:52:18.614539 I | etcdserver: saved snapshot at index 560252
2016-05-14 21:52:18.615027 I | etcdserver: compacted raft log at 555252
2016-05-14 21:52:18.844935 I | etcdserver: start to snapshot (applied: 570491, lastsnap: 560252)
2016-05-14 21:52:18.855046 I | etcdserver: saved snapshot at index 570491
2016-05-14 21:52:18.855228 I | etcdserver: compacted raft log at 565491
2016-05-14 21:52:19.199684 I | etcdserver: start to snapshot (applied: 580584, lastsnap: 570491)
2016-05-14 21:52:19.217077 I | etcdserver: saved snapshot at index 580584
2016-05-14 21:52:19.217354 I | etcdserver: compacted raft log at 575584
2016-05-14 21:52:19.521238 I | etcdserver: start to snapshot (applied: 590621, lastsnap: 580584)
2016-05-14 21:52:19.532228 I | etcdserver: saved snapshot at index 590621
2016-05-14 21:52:19.532405 I | etcdserver: compacted raft log at 585621
2016-05-14 21:52:19.815353 I | etcdserver: start to snapshot (applied: 600780, lastsnap: 590621)
2016-05-14 21:52:19.827392 I | etcdserver: saved snapshot at index 600780
2016-05-14 21:52:19.827576 I | etcdserver: compacted raft log at 595780
2016-05-14 21:52:20.139544 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-00000000000952f6.wal is created
2016-05-14 21:52:20.141480 I | etcdserver: start to snapshot (applied: 610940, lastsnap: 600780)
2016-05-14 21:52:20.151791 I | etcdserver: saved snapshot at index 610940
2016-05-14 21:52:20.156948 I | etcdserver: compacted raft log at 605940
2016-05-14 21:52:20.473961 I | etcdserver: start to snapshot (applied: 621108, lastsnap: 610940)
2016-05-14 21:52:20.483648 I | etcdserver: saved snapshot at index 621108
2016-05-14 21:52:20.483893 I | etcdserver: compacted raft log at 616108
2016-05-14 21:52:20.875034 I | etcdserver: start to snapshot (applied: 632661, lastsnap: 621108)
2016-05-14 21:52:20.881834 I | etcdserver: saved snapshot at index 632661
2016-05-14 21:52:20.882003 I | etcdserver: compacted raft log at 627661
2016-05-14 21:52:21.131388 I | etcdserver: start to snapshot (applied: 642729, lastsnap: 632661)
