unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1463262721,26.205165,7526,7526,2.74,24.40,2.85,20.60,2.99,17.43,2.86,20.81
1463262722,25.480399,38148,45674,54.55,74.34,44.07,71.69,55.27,77.86,51.30,74.63
1463262723,27.613328,35595,81269,99.80,87.83,76.83,84.53,95.51,84.22,90.71,85.53
1463262724,28.937715,33908,115177,138.71,103.54,108.98,96.46,129.93,97.98,125.87,99.33
1463262725,28.547624,34244,149421,170.91,113.09,134.30,109.47,155.83,107.25,153.68,109.94
1463262726,30.036291,32981,182402,199.08,125.54,153.58,128.10,175.70,121.96,176.12,125.20
1463262727,29.401003,33624,216026,222.31,135.38,171.12,136.87,194.26,130.08,195.90,134.11
1463262728,30.002237,32413,248439,242.89,153.61,185.60,141.77,209.67,144.65,212.72,146.68
1463262729,29.711380,33718,282157,260.87,164.74,198.60,157.89,222.22,148.79,227.23,157.14
1463262730,31.380326,31425,313582,276.89,171.92,209.30,164.26,232.38,161.88,239.52,166.02
1463262731,30.465347,31804,345386,290.97,181.66,219.26,178.15,242.39,179.67,250.87,179.83
1463262732,30.095052,33328,378714,303.83,194.29,228.06,193.02,251.12,193.34,261.00,193.55
1463262733,30.291855,32231,410945,315.99,207.88,234.87,202.17,257.67,198.11,269.51,202.72
1463262734,31.099669,32171,443116,326.80,219.95,242.51,210.52,263.62,212.52,277.64,214.33
1463262735,29.356653,32656,475772,337.23,228.40,248.95,236.67,270.22,223.58,285.47,229.55
1463262736,31.403200,32188,507960,346.10,245.98,254.69,247.15,275.89,238.94,292.23,244.02
1463262737,29.610271,33208,541168,354.73,256.20,259.74,260.66,279.84,248.87,298.10,255.24
1463262738,31.607419,30798,571966,361.98,262.88,265.25,273.59,283.93,254.22,303.72,263.56
1463262739,31.555899,32211,604177,368.49,270.86,269.71,280.46,288.33,278.45,308.84,276.59
1463262740,30.626685,32175,636352,375.34,288.36,273.47,298.70,292.46,285.82,313.76,290.96
1463262741,29.948233,32242,668594,381.60,306.75,277.77,308.66,295.25,294.22,318.21,303.21
1463262742,30.000362,31878,700472,387.22,319.84,281.63,325.97,299.08,317.02,322.64,320.94
1463262743,31.683563,32285,732757,392.72,332.37,284.36,327.46,301.03,326.43,326.04,328.75
1463262744,32.864938,30879,763636,397.20,341.62,287.44,347.39,304.26,342.29,329.63,343.77
1463262745,33.206805,30118,793754,400.97,346.70,290.22,353.94,306.41,355.84,332.53,352.16
1463262746,31.818718,30716,824470,405.35,359.95,292.27,363.92,308.26,360.13,335.29,361.33
1463262747,32.012898,31114,855584,407.80,376.96,296.53,379.90,312.05,378.71,338.79,378.52
1463262748,29.404974,33813,889397,411.47,393.56,298.18,393.20,313.83,381.84,341.16,389.53
1463262749,32.751766,30229,919626,414.58,396.52,300.94,395.48,315.94,390.36,343.82,394.12
1463262750,31.002767,31722,951348,418.39,406.50,302.05,402.27,316.94,398.56,345.79,402.44
1463262751,31.116238,31649,982997,421.63,419.00,304.47,424.33,318.71,416.56,348.27,419.96
1463262752,33.503713,29472,1012469,425.19,434.29,306.27,431.59,319.42,429.24,350.29,431.71
1463262753,30.331951,32919,1045388,428.22,444.10,308.08,441.74,321.84,439.46,352.71,441.77
1463262754,29.646319,33591,1078979,431.28,453.65,309.97,462.92,323.43,460.87,354.89,459.15
1463262755,34.498202,28722,1107701,433.93,472.08,311.74,469.29,324.89,463.68,356.85,468.35
1463262756,30.180066,32764,1140465,437.24,482.73,312.55,480.03,326.47,471.84,358.75,478.20
1463262757,29.647855,33335,1173800,439.62,486.31,315.09,483.08,327.59,487.03,360.77,485.47
1463262758,30.518283,32606,1206406,442.20,495.02,316.65,496.20,329.02,498.36,362.62,496.53
1463262759,30.835889,31281,1237687,444.38,514.25,318.14,512.97,329.68,512.90,364.07,513.37
1463262760,31.582238,31599,1269286,446.84,521.26,319.65,523.04,330.21,528.77,365.57,524.36
1463262761,31.788254,29755,1299041,448.99,536.71,320.80,541.68,331.59,533.93,367.13,537.44
1463262762,31.300893,33728,1332769,451.81,546.30,322.30,547.87,332.09,544.34,368.73,546.17
1463262763,29.792751,32138,1364907,453.78,556.52,322.68,559.60,333.08,548.04,369.85,554.72
1463262764,31.546510,32285,1397192,456.11,568.84,323.82,570.39,333.99,565.48,371.31,568.24
1463262765,31.832988,31143,1428335,457.94,579.21,324.94,574.40,335.28,580.09,372.72,577.90
1463262766,30.468322,31349,1459684,459.91,589.15,326.09,591.36,335.08,590.78,373.69,590.43
1463262767,32.570055,31474,1491158,461.50,607.33,327.28,607.95,335.90,597.27,374.89,604.18
1463262768,29.946325,32069,1523227,463.31,619.35,327.20,612.58,336.80,615.00,375.77,615.64
1463262769,31.301516,31109,1554336,465.16,633.34,328.48,615.59,337.79,633.06,377.14,627.33
1463262770,28.339515,34075,1588411,466.37,639.97,329.79,634.77,339.03,637.13,378.40,637.29
1463262771,32.446662,33139,1621550,468.01,643.75,330.63,648.21,339.35,641.09,379.33,644.35
1463262772,31.346622,30760,1652310,469.59,661.45,330.45,664.38,340.23,658.42,380.09,661.42
1463262773,33.915217,29271,1681581,471.04,665.95,331.13,669.96,340.90,672.84,381.02,669.58
1463262774,30.392344,33345,1714926,472.95,682.78,333.00,682.04,340.65,673.74,382.20,679.52
1463262775,31.681144,29840,1744766,474.32,695.74,333.37,700.28,341.44,694.25,383.04,696.76
1463262776,32.251618,31758,1776524,475.77,709.14,333.69,704.86,342.74,710.05,384.07,708.02
1463262777,26.842391,37358,1813882,476.21,713.41,335.31,712.84,343.24,712.06,384.92,712.77
1463262778,32.641685,29930,1843812,476.65,717.68,336.20,732.29,344.00,735.99,385.62,728.65
1463262779,31.245112,32241,1876053,478.20,720.77,335.87,734.64,345.01,746.20,386.36,733.87
1463262780,33.647215,29705,1905758,479.78,745.74,336.96,753.94,344.31,749.29,387.02,749.66
1463262781,27.972111,30865,1936623,481.29,761.66,337.87,765.68,344.86,761.85,388.01,763.06
1463262782,30.035351,37411,1974034,482.39,764.07,339.16,769.35,345.23,763.31,388.93,765.58
1463262783,35.952236,25966,,,,,,,,,
