unix_ts,avg_latency_ms,throughput
1463262721,26.205165,7526
1463262722,25.480399,38148
1463262723,27.613328,35595
1463262724,28.937715,33908
1463262725,28.547624,34244
1463262726,30.036291,32981
1463262727,29.401003,33624
1463262728,30.002237,32413
1463262729,29.711380,33718
1463262730,31.380326,31425
1463262731,30.465347,31804
1463262732,30.095052,33328
1463262733,30.291855,32231
1463262734,31.099669,32171
1463262735,29.356653,32656
1463262736,31.403200,32188
1463262737,29.610271,33208
1463262738,31.607419,30798
1463262739,31.555899,32211
1463262740,30.626685,32175
1463262741,29.948233,32242
1463262742,30.000362,31878
1463262743,31.683563,32285
1463262744,32.864938,30879
1463262745,33.206805,30118
1463262746,31.818718,30716
1463262747,32.012898,31114
1463262748,29.404974,33813
1463262749,32.751766,30229
1463262750,31.002767,31722
1463262751,31.116238,31649
1463262752,33.503713,29472
1463262753,30.331951,32919
1463262754,29.646319,33591
1463262755,34.498202,28722
1463262756,30.180066,32764
1463262757,29.647855,33335
1463262758,30.518283,32606
1463262759,30.835889,31281
1463262760,31.582238,31599
1463262761,31.788254,29755
1463262762,31.300893,33728
1463262763,29.792751,32138
1463262764,31.546510,32285
1463262765,31.832988,31143
1463262766,30.468322,31349
1463262767,32.570055,31474
1463262768,29.946325,32069
1463262769,31.301516,31109
1463262770,28.339515,34075
1463262771,32.446662,33139
1463262772,31.346622,30760
1463262773,33.915217,29271
1463262774,30.392344,33345
1463262775,31.681144,29840
1463262776,32.251618,31758
1463262777,26.842391,37358
1463262778,32.641685,29930
1463262779,31.245112,32241
1463262780,33.647215,29705
1463262781,27.972111,30865
1463262782,30.035351,37411
1463262783,35.952236,25966
