2016-05-14 22:26:23.423230 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-14 22:26:23.423290 I | etcdmain: Git SHA: 46481b1
2016-05-14 22:26:23.423302 I | etcdmain: Go Version: devel +2699da1 Sat May 14 17:30:16 2016 +0000
2016-05-14 22:26:23.423310 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-14 22:26:23.423318 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-14 22:26:23.423377 I | etcdmain: listening for peers on http://10.240.0.27:2380
2016-05-14 22:26:23.423401 I | etcdmain: listening for client requests on 10.240.0.27:2379
2016-05-14 22:26:23.428101 I | etcdserver: name = etcd-3
2016-05-14 22:26:23.428133 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-14 22:26:23.428146 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-14 22:26:23.428152 I | etcdserver: heartbeat = 100ms
2016-05-14 22:26:23.428157 I | etcdserver: election = 1000ms
2016-05-14 22:26:23.428162 I | etcdserver: snapshot count = 10000
2016-05-14 22:26:23.428174 I | etcdserver: advertise client URLs = http://10.240.0.27:2379
2016-05-14 22:26:23.428181 I | etcdserver: initial advertise peer URLs = http://10.240.0.27:2380
2016-05-14 22:26:23.428195 I | etcdserver: initial cluster = etcd-1=http://10.240.0.25:2380,etcd-2=http://10.240.0.26:2380,etcd-3=http://10.240.0.27:2380
2016-05-14 22:26:23.430714 I | etcdserver: starting member 36850f32386ac2a in cluster 955473fb1bac9a64
2016-05-14 22:26:23.430774 I | raft: 36850f32386ac2a became follower at term 0
2016-05-14 22:26:23.430795 I | raft: newRaft 36850f32386ac2a [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-14 22:26:23.430813 I | raft: 36850f32386ac2a became follower at term 1
2016-05-14 22:26:23.444405 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-14 22:26:23.444519 I | rafthttp: the connection with 420a9eb91bb9fcb8 became active
2016-05-14 22:26:23.446250 N | etcdserver: added local member 36850f32386ac2a [http://10.240.0.27:2380] to cluster 955473fb1bac9a64
2016-05-14 22:26:23.446511 I | rafthttp: the connection with 902178d022a9e690 became active
2016-05-14 22:26:23.446948 N | etcdserver: added member 420a9eb91bb9fcb8 [http://10.240.0.26:2380] to cluster 955473fb1bac9a64
2016-05-14 22:26:23.447105 N | etcdserver: added member 902178d022a9e690 [http://10.240.0.25:2380] to cluster 955473fb1bac9a64
2016-05-14 22:26:23.447823 I | raft: 36850f32386ac2a [term: 1] received a MsgHeartbeat message with higher term from 902178d022a9e690 [term: 2]
2016-05-14 22:26:23.447867 I | raft: 36850f32386ac2a became follower at term 2
2016-05-14 22:26:23.447885 I | raft: raft.node: 36850f32386ac2a elected leader 902178d022a9e690 at term 2
2016-05-14 22:26:23.448185 N | membership: set the initial cluster version to 2.3
2016-05-14 22:26:23.451435 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.27:2379]} to cluster 955473fb1bac9a64
2016-05-14 22:26:23.451467 I | etcdmain: ready to serve client requests
2016-05-14 22:26:23.451552 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-14 22:26:23.451568 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-14 22:26:23.451614 N | etcdmain: serving insecure client requests on 10.240.0.27:2379, this is strongly discouraged!
2016-05-14 22:26:23.945749 I | v2http: enabled capabilities for version 2.3.0
2016-05-14 22:26:26.451533 N | membership: updated the cluster version from 2.3 to 3.0
2016-05-14 22:26:26.946796 I | v2http: enabled capabilities for version 3.0.0
2016-05-14 22:26:29.724406 I | etcdserver: start to snapshot (applied: 10117, lastsnap: 0)
2016-05-14 22:26:29.741926 I | etcdserver: saved snapshot at index 10117
2016-05-14 22:26:29.742820 I | etcdserver: compacted raft log at 5117
2016-05-14 22:26:29.968123 I | etcdserver: start to snapshot (applied: 20482, lastsnap: 10117)
2016-05-14 22:26:29.982262 I | etcdserver: saved snapshot at index 20482
2016-05-14 22:26:29.982485 I | etcdserver: compacted raft log at 15482
2016-05-14 22:26:30.209787 I | etcdserver: start to snapshot (applied: 30618, lastsnap: 20482)
2016-05-14 22:26:30.217773 I | etcdserver: saved snapshot at index 30618
2016-05-14 22:26:30.217951 I | etcdserver: compacted raft log at 25618
2016-05-14 22:26:30.442111 I | etcdserver: start to snapshot (applied: 40660, lastsnap: 30618)
2016-05-14 22:26:30.451534 I | etcdserver: saved snapshot at index 40660
2016-05-14 22:26:30.451739 I | etcdserver: compacted raft log at 35660
2016-05-14 22:26:30.684582 I | etcdserver: start to snapshot (applied: 50933, lastsnap: 40660)
2016-05-14 22:26:30.695177 I | etcdserver: saved snapshot at index 50933
2016-05-14 22:26:30.695396 I | etcdserver: compacted raft log at 45933
2016-05-14 22:26:30.957131 I | etcdserver: start to snapshot (applied: 61365, lastsnap: 50933)
2016-05-14 22:26:30.970500 I | etcdserver: saved snapshot at index 61365
2016-05-14 22:26:30.970817 I | etcdserver: compacted raft log at 56365
2016-05-14 22:26:31.212652 I | etcdserver: start to snapshot (applied: 71486, lastsnap: 61365)
2016-05-14 22:26:31.221304 I | etcdserver: saved snapshot at index 71486
2016-05-14 22:26:31.221472 I | etcdserver: compacted raft log at 66486
2016-05-14 22:26:31.467221 I | etcdserver: start to snapshot (applied: 81582, lastsnap: 71486)
2016-05-14 22:26:31.486841 I | etcdserver: saved snapshot at index 81582
2016-05-14 22:26:31.495883 I | etcdserver: compacted raft log at 76582
2016-05-14 22:26:31.722112 I | etcdserver: start to snapshot (applied: 91600, lastsnap: 81582)
2016-05-14 22:26:31.733090 I | etcdserver: saved snapshot at index 91600
2016-05-14 22:26:31.733278 I | etcdserver: compacted raft log at 86600
2016-05-14 22:26:32.077292 I | etcdserver: start to snapshot (applied: 101885, lastsnap: 91600)
2016-05-14 22:26:32.085771 I | etcdserver: saved snapshot at index 101885
2016-05-14 22:26:32.085955 I | etcdserver: compacted raft log at 96885
2016-05-14 22:26:32.338168 I | etcdserver: start to snapshot (applied: 111901, lastsnap: 101885)
2016-05-14 22:26:32.346282 I | etcdserver: saved snapshot at index 111901
2016-05-14 22:26:32.346559 I | etcdserver: compacted raft log at 106901
2016-05-14 22:26:32.605526 I | etcdserver: start to snapshot (applied: 121908, lastsnap: 111901)
2016-05-14 22:26:32.618882 I | etcdserver: saved snapshot at index 121908
2016-05-14 22:26:32.619309 I | etcdserver: compacted raft log at 116908
2016-05-14 22:26:32.861483 I | etcdserver: start to snapshot (applied: 131944, lastsnap: 121908)
2016-05-14 22:26:32.872120 I | etcdserver: saved snapshot at index 131944
2016-05-14 22:26:32.872341 I | etcdserver: compacted raft log at 126944
2016-05-14 22:26:33.121970 I | etcdserver: start to snapshot (applied: 142039, lastsnap: 131944)
2016-05-14 22:26:33.132357 I | etcdserver: saved snapshot at index 142039
2016-05-14 22:26:33.132566 I | etcdserver: compacted raft log at 137039
2016-05-14 22:26:33.375969 I | etcdserver: start to snapshot (applied: 152093, lastsnap: 142039)
2016-05-14 22:26:33.380628 I | etcdserver: saved snapshot at index 152093
2016-05-14 22:26:33.380840 I | etcdserver: compacted raft log at 147093
2016-05-14 22:26:33.674047 I | etcdserver: start to snapshot (applied: 162803, lastsnap: 152093)
2016-05-14 22:26:33.684767 I | etcdserver: saved snapshot at index 162803
2016-05-14 22:26:33.685015 I | etcdserver: compacted raft log at 157803
2016-05-14 22:26:33.958134 I | etcdserver: start to snapshot (applied: 172994, lastsnap: 162803)
2016-05-14 22:26:33.971200 I | etcdserver: saved snapshot at index 172994
2016-05-14 22:26:33.971422 I | etcdserver: compacted raft log at 167994
2016-05-14 22:26:34.214658 I | etcdserver: start to snapshot (applied: 183055, lastsnap: 172994)
2016-05-14 22:26:34.226123 I | etcdserver: saved snapshot at index 183055
2016-05-14 22:26:34.226335 I | etcdserver: compacted raft log at 178055
2016-05-14 22:26:34.477761 I | etcdserver: start to snapshot (applied: 193089, lastsnap: 183055)
2016-05-14 22:26:34.492274 I | etcdserver: saved snapshot at index 193089
2016-05-14 22:26:34.492510 I | etcdserver: compacted raft log at 188089
2016-05-14 22:26:34.659353 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000030fbf.wal is created
2016-05-14 22:26:34.737404 I | etcdserver: start to snapshot (applied: 203116, lastsnap: 193089)
2016-05-14 22:26:34.745351 I | etcdserver: saved snapshot at index 203116
2016-05-14 22:26:34.745542 I | etcdserver: compacted raft log at 198116
2016-05-14 22:26:35.042444 I | etcdserver: start to snapshot (applied: 213221, lastsnap: 203116)
2016-05-14 22:26:35.047098 I | etcdserver: saved snapshot at index 213221
2016-05-14 22:26:35.047277 I | etcdserver: compacted raft log at 208221
2016-05-14 22:26:35.303739 I | etcdserver: start to snapshot (applied: 223274, lastsnap: 213221)
2016-05-14 22:26:35.311710 I | etcdserver: saved snapshot at index 223274
2016-05-14 22:26:35.312015 I | etcdserver: compacted raft log at 218274
2016-05-14 22:26:35.561089 I | etcdserver: start to snapshot (applied: 233364, lastsnap: 223274)
2016-05-14 22:26:35.574510 I | etcdserver: saved snapshot at index 233364
2016-05-14 22:26:35.574701 I | etcdserver: compacted raft log at 228364
2016-05-14 22:26:35.818204 I | etcdserver: start to snapshot (applied: 243756, lastsnap: 233364)
2016-05-14 22:26:35.834081 I | etcdserver: saved snapshot at index 243756
2016-05-14 22:26:35.834297 I | etcdserver: compacted raft log at 238756
2016-05-14 22:26:36.086089 I | etcdserver: start to snapshot (applied: 253974, lastsnap: 243756)
2016-05-14 22:26:36.101875 I | etcdserver: saved snapshot at index 253974
2016-05-14 22:26:36.102048 I | etcdserver: compacted raft log at 248974
2016-05-14 22:26:36.376580 I | etcdserver: start to snapshot (applied: 263976, lastsnap: 253974)
2016-05-14 22:26:36.391094 I | etcdserver: saved snapshot at index 263976
2016-05-14 22:26:36.393114 I | etcdserver: compacted raft log at 258976
2016-05-14 22:26:36.647975 I | etcdserver: start to snapshot (applied: 274086, lastsnap: 263976)
2016-05-14 22:26:36.662969 I | etcdserver: saved snapshot at index 274086
2016-05-14 22:26:36.663195 I | etcdserver: compacted raft log at 269086
2016-05-14 22:26:36.926826 I | etcdserver: start to snapshot (applied: 284455, lastsnap: 274086)
2016-05-14 22:26:36.939619 I | etcdserver: saved snapshot at index 284455
2016-05-14 22:26:36.939825 I | etcdserver: compacted raft log at 279455
2016-05-14 22:26:37.204514 I | etcdserver: start to snapshot (applied: 294804, lastsnap: 284455)
2016-05-14 22:26:37.217692 I | etcdserver: saved snapshot at index 294804
2016-05-14 22:26:37.217920 I | etcdserver: compacted raft log at 289804
2016-05-14 22:26:37.454409 I | etcdserver: start to snapshot (applied: 304847, lastsnap: 294804)
2016-05-14 22:26:37.496049 I | etcdserver: saved snapshot at index 304847
2016-05-14 22:26:37.496243 I | etcdserver: compacted raft log at 299847
2016-05-14 22:26:37.731993 I | etcdserver: start to snapshot (applied: 314867, lastsnap: 304847)
2016-05-14 22:26:37.738132 I | etcdserver: saved snapshot at index 314867
2016-05-14 22:26:37.738444 I | etcdserver: compacted raft log at 309867
2016-05-14 22:26:38.001984 I | etcdserver: start to snapshot (applied: 325044, lastsnap: 314867)
2016-05-14 22:26:38.014912 I | etcdserver: saved snapshot at index 325044
2016-05-14 22:26:38.015079 I | etcdserver: compacted raft log at 320044
2016-05-14 22:26:38.279635 I | etcdserver: start to snapshot (applied: 335198, lastsnap: 325044)
2016-05-14 22:26:38.286753 I | etcdserver: saved snapshot at index 335198
2016-05-14 22:26:38.286970 I | etcdserver: compacted raft log at 330198
2016-05-14 22:26:38.542553 I | etcdserver: start to snapshot (applied: 345307, lastsnap: 335198)
2016-05-14 22:26:38.566734 I | etcdserver: saved snapshot at index 345307
2016-05-14 22:26:38.566979 I | etcdserver: compacted raft log at 340307
2016-05-14 22:26:38.833517 I | etcdserver: start to snapshot (applied: 355631, lastsnap: 345307)
2016-05-14 22:26:38.844780 I | etcdserver: saved snapshot at index 355631
2016-05-14 22:26:38.845008 I | etcdserver: compacted raft log at 350631
2016-05-14 22:26:39.148867 I | etcdserver: start to snapshot (applied: 366216, lastsnap: 355631)
2016-05-14 22:26:39.154152 I | etcdserver: saved snapshot at index 366216
2016-05-14 22:26:39.154495 I | etcdserver: compacted raft log at 361216
2016-05-14 22:26:39.400486 I | etcdserver: start to snapshot (applied: 376342, lastsnap: 366216)
2016-05-14 22:26:39.420277 I | etcdserver: saved snapshot at index 376342
2016-05-14 22:26:39.420493 I | etcdserver: compacted raft log at 371342
2016-05-14 22:26:39.678650 I | etcdserver: start to snapshot (applied: 386413, lastsnap: 376342)
2016-05-14 22:26:39.688996 I | etcdserver: saved snapshot at index 386413
2016-05-14 22:26:39.689152 I | etcdserver: compacted raft log at 381413
2016-05-14 22:26:39.963872 I | etcdserver: start to snapshot (applied: 396417, lastsnap: 386413)
2016-05-14 22:26:39.970517 I | etcdserver: saved snapshot at index 396417
2016-05-14 22:26:39.970706 I | etcdserver: compacted raft log at 391417
2016-05-14 22:26:40.058598 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000061dd5.wal is created
2016-05-14 22:26:40.263653 I | etcdserver: start to snapshot (applied: 406529, lastsnap: 396417)
2016-05-14 22:26:40.279161 I | etcdserver: saved snapshot at index 406529
2016-05-14 22:26:40.279408 I | etcdserver: compacted raft log at 401529
2016-05-14 22:26:40.532055 I | etcdserver: start to snapshot (applied: 416648, lastsnap: 406529)
2016-05-14 22:26:40.548147 I | etcdserver: saved snapshot at index 416648
2016-05-14 22:26:40.548423 I | etcdserver: compacted raft log at 411648
2016-05-14 22:26:40.801797 I | etcdserver: start to snapshot (applied: 426685, lastsnap: 416648)
