unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1463264789,24.185591,21479,21479,2.74,18.55,2.28,15.99,2.49,19.92,2.50,18.15
1463264790,23.676323,41765,63244,58.76,73.99,44.26,72.72,52.99,69.37,52.00,72.03
1463264791,27.947794,35478,98722,105.38,86.43,76.16,84.56,90.90,86.12,90.81,85.70
1463264792,25.408223,38992,137714,145.97,101.13,102.49,95.16,121.37,97.50,123.28,97.93
1463264793,26.605074,37140,174854,179.22,116.74,128.74,106.24,149.75,110.46,152.57,111.15
1463264794,26.067876,38209,213063,206.21,127.76,149.96,125.96,174.16,125.74,176.78,126.49
1463264795,26.401483,37547,250610,229.77,138.09,168.25,133.72,192.60,144.48,196.87,138.76
1463264796,26.558519,37222,287832,250.50,158.02,183.76,152.81,208.59,158.11,214.28,156.31
1463264797,26.852570,36926,324758,268.16,168.74,197.21,162.28,221.51,164.79,228.96,165.27
1463264798,27.248106,36442,361200,284.06,179.82,208.47,173.19,232.62,180.52,241.72,177.84
1463264799,27.056776,36695,397895,298.28,194.03,218.30,190.44,242.18,198.32,252.92,194.26
1463264800,27.032453,36891,434786,311.27,206.40,226.69,204.69,250.82,207.17,262.93,206.09
1463264801,27.141295,36493,471279,323.06,224.53,235.05,214.70,259.97,225.88,272.69,221.70
1463264802,26.455338,37635,508914,333.29,237.27,242.77,236.79,266.26,231.64,280.77,235.23
1463264803,27.372839,35957,544871,343.28,247.34,249.91,243.28,272.89,242.15,288.69,244.26
1463264804,27.026356,36961,581832,351.52,257.80,255.73,259.28,278.38,261.14,295.21,259.41
1463264805,27.718652,35568,617400,359.64,278.51,261.90,267.77,284.07,276.02,301.87,274.10
1463264806,26.521371,37696,655096,367.34,290.74,267.03,280.87,288.66,286.79,307.68,286.13
1463264807,26.471980,37638,692734,373.97,297.91,271.57,292.47,292.90,298.08,312.81,296.15
1463264808,27.526690,36076,728810,380.27,315.96,277.07,309.34,297.89,307.70,318.41,311.00
1463264809,26.369776,37451,766261,386.27,330.14,281.28,328.88,301.57,330.95,323.04,329.99
1463264810,26.886007,36845,803106,392.28,346.42,285.05,332.59,304.20,345.19,327.18,341.40
1463264811,27.937852,35106,838212,397.08,359.19,288.72,350.30,308.00,353.61,331.27,354.37
1463264812,28.814872,35210,873422,401.96,369.03,290.86,354.76,310.06,365.73,334.29,363.17
1463264813,26.624863,36788,910210,406.47,386.04,294.95,370.55,312.84,375.82,338.09,377.47
1463264814,28.394340,35422,945632,410.19,401.72,297.88,385.46,315.74,390.45,341.27,392.54
1463264815,28.993905,34314,979946,413.29,417.90,300.18,402.45,317.42,411.15,343.63,410.50
1463264816,27.916558,35545,1015491,415.38,424.81,303.75,419.54,320.88,417.81,346.67,420.72
1463264817,27.437514,33492,1048983,418.57,434.75,305.47,421.30,322.17,429.24,348.74,428.43
1463264818,32.739904,31631,1080614,421.08,451.90,308.06,438.12,324.18,442.69,351.11,444.24
1463264819,28.122924,36671,1117285,423.95,470.50,309.40,452.66,325.17,450.87,352.84,458.01
1463264820,27.584472,35089,1152374,425.71,482.31,311.51,464.61,326.96,462.72,354.73,469.88
1463264821,33.007486,30937,1183311,427.63,489.90,313.52,479.22,328.59,478.57,356.58,482.56
1463264822,25.611716,38714,1222025,430.03,511.70,315.19,494.67,330.07,492.14,358.43,499.50
1463264823,27.196166,36595,1258620,433.08,511.70,317.52,500.71,331.81,504.41,360.80,505.61
1463264824,27.588048,34831,1293451,435.62,530.54,319.40,516.58,333.45,515.76,362.82,520.96
1463264825,31.091320,33159,1326610,437.75,543.26,320.87,530.32,335.23,529.85,364.62,534.48
1463264826,28.514887,34834,1361444,439.52,553.55,322.41,551.05,336.53,538.17,366.15,547.59
1463264827,26.916103,36457,1397901,442.46,574.60,323.32,558.04,337.27,542.48,367.68,558.37
1463264828,27.884875,35629,1433530,444.77,586.57,324.07,559.20,337.92,566.92,368.92,570.90
1463264829,28.241071,35205,1468735,446.77,600.12,325.42,567.54,338.98,574.71,370.39,580.79
1463264830,26.905668,37167,1505902,448.82,609.04,326.70,578.91,340.11,589.33,371.88,592.43
1463264831,27.092961,36951,1542853,450.85,616.64,327.90,598.32,341.36,610.36,373.37,608.44
1463264832,27.990504,35423,1578276,452.67,628.56,329.31,617.37,342.40,626.31,374.79,624.08
1463264833,29.295564,34164,1612440,454.46,643.17,330.24,639.36,342.55,639.80,375.75,640.78
1463264834,27.984948,35194,1647634,456.18,653.84,330.61,651.92,343.26,644.78,376.68,650.18
1463264835,27.571825,35918,1683552,458.30,673.52,331.15,660.24,344.03,652.04,377.83,661.93
1463264836,27.275719,37065,1720617,460.11,680.85,331.97,669.60,345.51,661.74,379.20,670.73
1463264837,29.333843,34003,1754620,461.87,705.70,332.97,678.90,346.81,687.63,380.55,690.74
1463264838,29.286372,33868,1788488,463.36,712.85,334.12,704.42,346.39,688.79,381.29,702.02
1463264839,27.771546,35358,1823846,465.09,723.59,333.83,705.61,347.15,716.23,382.02,715.14
1463264840,30.018212,33652,1857498,466.49,736.62,335.12,716.92,348.28,726.10,383.30,726.55
1463264841,29.989932,33147,1890645,467.58,742.06,335.93,726.54,348.88,737.05,384.13,735.22
1463264842,24.120160,40170,1930815,469.17,754.02,335.86,752.10,349.40,742.86,384.81,749.66
