unix_ts,avg_latency_ms,throughput
1463264789,24.185591,21479
1463264790,23.676323,41765
1463264791,27.947794,35478
1463264792,25.408223,38992
1463264793,26.605074,37140
1463264794,26.067876,38209
1463264795,26.401483,37547
1463264796,26.558519,37222
1463264797,26.852570,36926
1463264798,27.248106,36442
1463264799,27.056776,36695
1463264800,27.032453,36891
1463264801,27.141295,36493
1463264802,26.455338,37635
1463264803,27.372839,35957
1463264804,27.026356,36961
1463264805,27.718652,35568
1463264806,26.521371,37696
1463264807,26.471980,37638
1463264808,27.526690,36076
1463264809,26.369776,37451
1463264810,26.886007,36845
1463264811,27.937852,35106
1463264812,28.814872,35210
1463264813,26.624863,36788
1463264814,28.394340,35422
1463264815,28.993905,34314
1463264816,27.916558,35545
1463264817,27.437514,33492
1463264818,32.739904,31631
1463264819,28.122924,36671
1463264820,27.584472,35089
1463264821,33.007486,30937
1463264822,25.611716,38714
1463264823,27.196166,36595
1463264824,27.588048,34831
1463264825,31.091320,33159
1463264826,28.514887,34834
1463264827,26.916103,36457
1463264828,27.884875,35629
1463264829,28.241071,35205
1463264830,26.905668,37167
1463264831,27.092961,36951
1463264832,27.990504,35423
1463264833,29.295564,34164
1463264834,27.984948,35194
1463264835,27.571825,35918
1463264836,27.275719,37065
1463264837,29.333843,34003
1463264838,29.286372,33868
1463264839,27.771546,35358
1463264840,30.018212,33652
1463264841,29.989932,33147
1463264842,24.120160,40170
1463264843,29.648577,34409
1463264844,30.897377,32268
1463264845,23.620694,2508
